'an'qi 氨气
'gao'xiao 高效
'gao'ya 高压
'gen'chu'ke'neng'de'shi'gu'yuan'yin 根除可能的事故原因
'geng'huan 更换
'gong'cheng'ya'li 公称压力
'gong'cheng'zhi'jing 公称直径
'gong'lv 功率
'gong'yi'zhi'biao 工艺指标
'gong'zuo'jie'zhi'zi'leng 工作介质自冷
'gong'zuo'ya'li 工作压力
'gou'jian'di 沟见底
'gu'ding'an 固定胺
'guan'cheng 管程
'guan'nei'ting'liu'de'shi'jian 罐内停留的时间
'guan'nei'ting'liu'shi'jian 罐内停留时间
'guan'shu 管束
'gun'dong 滚动
'guo'cheng'qi'huan're'qi 过程气换热器
'guo'cheng'qi'huan're'qi'pang'lu 过程气换热器旁路
'guo'jia'biao'zhun 国家标准
'guo'lv'qi 过滤器
'hang'ye'biao'zhun 行业标准
'hei'se 黑色
'hong'se 红色
'hou'ping'jia 后评价
'hua'dong 滑动
'hua'xue'yi'zhi 化学抑制
'huan're 换热
'huan'shi'ji 缓蚀剂
'hui'mang'ge'jue 回盲隔绝
'huo'zhong 火种
'ji'he'xing'zhuang 几何形状
'ji'shi 及时
'ji'tan 积炭
'ji'xing'zhong'du 急性中毒
'jia'ji'er'yi'chun'an'rong'ye 甲基二乙醇胺溶液
'jia'mang'ban 加盲板
'jia're'qi 加热器
'jian'xiao 减小
'jian'xiu 检修
'jian'ya 减压
'jiang'di 降低
'jiang'di'lao'dong'qiang'du 降低劳动强度
'jiang'di'zeng'da'hei'liu'huang 降低增大黑硫磺
'jiang'di'zeng'da'jiang'di 降低增大降低
'jiang'ye'guan 降液管
'jie'di 接地
'jie'di'bao'hu 接地保护
'jie'di'ke'kao 接地可靠
'jie'di'zhuang'zhi 接地装置
'jie'shan'qi 接闪器
'jie'zhi'fa 截止阀
'jin'kou 进口
'jing'hua'qi'ti 净化气体
'jing'mi'feng 静密封
'jing'pi'fu'xi'shou 经皮肤吸收
'jing'pi'xi'shou 经皮吸收
'jing'xiang 径向
'ju'bu 局部
'ju'du 剧毒
'jue'yuan'ban 绝缘板
'jun'yun 均匀
'kai'wa'si 开瓦斯
'ke'cheng 壳程
'ke'kao'jie'di 可靠接地
'ke'neng'xing 可能性
'ke'ran'wu 可燃物
'kong'jie'gou 孔结构
'kong'qi 空气
'kua'bu'dian'ya'chu'dian 跨步电压触电
'kuai'su 快速
'lan'se 蓝色
'lao'dong'bao'hu'yong'pin 劳动保护用品
'leng'liu 冷流
'leng'ning'qi 冷凝器
'leng'que 冷却
'leng'que'jiang'wen 冷却降温
'leng'que'qi'wen'du'sheng'gao 冷却器温度升高
'li'du'fen'bu 粒度分布
'li'xin'beng 离心泵
'lian'jie'bu'wei 连接部位
'liang'hao 良好
'liang'hao'wan'hao 良好完好
'lin'suan'gen 磷酸根
'liu'chen'ji 硫沉积
'liu'chun 硫醇
'liu'chun'er'yang'hua'liu 硫醇二氧化硫
'liu'fen'ya 硫分压
'liu'hua'qing 硫化氢
'liu'leng'que'qi 硫冷却器
'liu'liang 流量
'liu'liang'zhi'shi'xia'jiang 流量指示下降
'liu'mi 硫醚
'liu'shou'lv 硫收率
'liu'suan 硫酸
'liu'suan'xin 硫酸锌
'liu'suan'yan'hua 硫酸盐化
'lu'dian 露点
'lu'dian'fu'shi 露点腐蚀
'man'xing'zhong'du 慢性中毒
'mi'bi 密闭
'mi'du 密度
'mi'feng 密封
'mi'feng'dian 密封点
'neng'liang 能量
'nian'du 粘度
'pai'chu 排出
'pai'wu'sun'shi 排污损失
'pen'suan 喷酸
'pian'shi 偏蚀
'qi'guan 气关
'qi'hua 汽化
'qi'kai 气开
'qi'shui'shui'qi 汽水水汽
'qi'tai'ting 气态烃
'qi'tai'ting'liu'hua'qing 气态烃硫化氢
'qi'ti'ti'ji 气体体积
'qi'xiang 气相
'qi'you 汽油
'qiang'fu'shi'xing 强腐蚀性
'qiang'tuo'shui'xing 强脱水性
'qiang'yang'hua'xing 强氧化性
'qie'huan 切换
'qing'fu'you 轻浮油
'qing'qi 氢气
'qing'yang'hua'na'jian'ye 氢氧化钠碱液
'qiu'fa 球阀
'quan'kai 全开
'quan'mian'zhi'li'de'yuan'ze 全面治理的原则
'que'xian 缺陷
're'chong'ji 热冲击
're'chuan'dao 热传导
're'dui'liu 热对流
're'fu'she 热辐射
're'hong'xi 热虹吸
're'liu 热流
're'ping'heng 热平衡
'rong'ji'pei'zhi 溶剂配制
'rong'ye'xi'shi 溶液稀释
'ru'kou 入口
'run'hua 润滑
'san'fen'zhi'er 三分之二
'san'ge'yue 三个月
'san'guo'lv 三过滤
'san'huo'xing'tan'guo'lv 三活性炭过滤
'sha'jun'ji 杀菌剂
'shan'zheng'wen'du 闪蒸温度
'shan'zheng'ya'li 闪蒸压力
'she'bei'jian'ben'shai 设备见本色
'she'ji'wen'du 设计温度
'she'ji'ya'li 设计压力
'shen'lou'sun'shi 渗漏损失
'sheng'gao 升高
'sheng'wen 升温
'sheng'wu'chen'ji'wu 生物沉积物
'shi'beng'ti'wen'du'sheng'gao 使泵体温度升高
'shi'gu'ke'yi'yu'fang 事故可以预防
'shi'ru 食入
'shi'yong'bu'men 使用部门
'shi'yong'dan'wei 使用单位
'shi'yong'jie'zhi 适用介质
'shou'ming 寿命
'shu'hua 熟化
'shuang'xi'beng 双吸泵
'shuang'xi'shi 双吸式
'shui'fen 水分
'shui'gou 水垢
'shui'ji 水击
'shui'jie'lv'ming'xian'jiang'di 水解率明显降低
'shui'leng 水冷
'shui'shai'ji 水筛机
'suan'xing'qi 酸性气
'ta'ban 塔板
'ta'di'jing'hua'shui 塔底净化水
'ta'di'ye'mian'xia'jiang 塔底液面下降
'tang'bo'li 搪玻璃
'tian'liao 填料
'tian'liao'ta 填料塔
'ting'liu'shi'jian 停留时间
'ting'yong'qi'jian 停用期间
'ting'zhi 停止
'tong'feng 通风
'tong'shi'she'ji 同时设计
'tong'shi'shi'gong 同时施工
'tong'shi'tou'ru 同时投入
'tong'shi'tou'ru'sheng'chan 同时投入生产
'tui'dong 推动
'wang'fu'beng 往复泵
'wei'fen'tiao'jie 微分调节
'wen'du 温度
'wo'liu 涡流
'wo'liu'kuo'san 涡流扩散
'wu'ding 五定
'wu'ji 无机
'wu'liao'ping'heng 物料平衡
'wu'mo'jia'dai 雾沫夹带
'wu'se 无色
'xi'fu 吸附
'xi'fu'mo'xing 吸附膜型
'xi're'fang're 吸热放热
'xi'ru 吸入
'xi'shou'fan'ying 吸收反应
'xi'tong'ya'li 系统压力
'xi'yan 吸烟
'xiang'xia'bi'he'shi 向下闭合式
'xiao'yu 小于
'xiong'wai'xin'zang'an'ya'fa 胸外心脏按压法
'xiu'zhu 锈住
'xuan'zhuan'beng 旋转泵
'xun'huan'shui'beng 循环水泵
'xun'huan'shui'wu'liu'liang'zhi'shi 循环水物流量指示
'ya'ji'xing'zhong'du 亚急性中毒
'ya'li 压力
'ya'li'ping'heng 压力平衡
'ya'tou 压头
'yan'jin'zhan'ren 严禁站人
'yan'suan 盐酸
'yan'zhong'xing 严重性
'yang'cheng 扬程
'yang'hua'liu 氧化硫
'yang'hua'mo'xing 氧化膜型
'yang'hua'xin 氧化锌
'yang'wo'yin'bi'ya'xiong'fa 仰卧引臂压胸法
'yao'you'ke'ran'wu 要有可燃物
'ye'liu'fen'zi 液硫分子
'ye'mian 液面
'ye'ti 液体
'ye'wei 液位
'ye'xiang 液相
'yi'ban'shi'gu'yin'huan 一般事故隐患
'yi'ban'yin'huan 一般隐患
'yi'bao 易爆
'yi'liu 溢流
'yi'ran 易燃
'yi'ren'cao'zuo'yi'ren'jian'hu 一人操作一人监护
'yi'zhong'du 易中毒
'yin'huan'pai'cha'zhi'li 隐患排查治理
'yin'xia'xian 引下线
'ying'pei'dai'jian'yi'hu'xi'qi 应佩戴简易呼吸器
'you'ci'ji'xing 有刺激性
'you'du 有毒
'you'ji 有机
'you'leng 油冷
'you'li'an 游离氨
'you'se 有色
'you'wei 油位
'you'zhu'ran'ji 有助燃剂
'yu'ni 淤泥
'yu're 余热
'yuan'liao'liang 原料量
'yun'xing'qi'jian 运行期间
'za'zhi 杂质
'zai'sheng 再生
'zeng'da 增大
'zeng'da'jiang'di 增大降低
'zeng'jia 增加
'zeng'jia'feng'ji'yun'xing'tai'shu 增加风机运行台数
'zeng'jia'shang'ta'shui'liang 增加上塔水量
'zha'ban 闸板
'zha'fa 闸阀
'zhen'kong'beng 真空泵
'zheng'bi 正比
'zheng'fa'sun'shi 蒸发损失
'zheng'liu'zhuang'zhi'chai'you'jia'qing'zhuang'zhi'qi'gui'zhuang'zhi 蒸馏装置柴油加氢装置气柜装置
'zheng'qi 蒸汽
'zhi'huan 置换
'zhi'liang 质量
'zhi'xi 窒息
'zhong'cui 重催
'zhong'cui'zhuang'zhi 重催装置
'zhong'da'shi'gu'yin'huan 重大事故隐患
'zhong'da'yin'huan 重大隐患
'zhong'duan'huai 中断坏
'zhou'cheng'xiang 轴承箱
'zhou'gong'lv 轴功率
'zhou'jian'guang 轴见光
'zhou'wan'qu 轴弯曲
'zhu'cun 贮存
'zhu'ran'ji 助燃剂
'zhu'ran'shao'qi 主燃烧器
'zhuan'hua'lv'jiang'di 转化率降低
'zhuan'su 转速
'zi'xia'er'shang 自下而上
'zu'dang 阻挡
'zu'gou'ji 阻垢剂
'zui'da 最大
