'an'niu'mian'ban 按钮面板
'fan'ying'dui'ling'jian 反应堆零件
'fang'bao'men 防爆门
'fang'bao'men'bian 防爆门边
'fang'bao'men'dao'jiao 防爆门倒角
'fang'bao'men'jiao 防爆门角
'fang'dan'bo'li 防弹玻璃
'fang'zhuang 防撞
'fei'jin'shu 废金属
'fei'jiu'jin'shu 废旧金属
'fei'xing'zuo'yi 飞行座椅
'fen'jian'chuan'shu'ji 分拣传输机
'fen'jing'tou 分镜头
'feng'lun'ji 风轮机
'fu'zhi'zuo'biao 复制坐标
'gang'ban 钢板
'gang'zhan'qiao 钢栈桥
'gang'zhi'xiao'xing'shuang'bian'tong'dao'ban 钢制小型双边通道板
'gang'zhi'xiao'xing'tong'dao'ban 钢制小型通道板
'gang'zhi'xiao'xing'tong'dao'jiao 钢制小型通道角
'gao'ji'zhuan'zi 高级转子
'gao'ji'zhuan'zi'bu'jian 高级转子部件
'gong'cheng'shi'mao'rong'wan'ju 工程师毛绒玩具
'gong'ye'jia'shi'cang 工业驾驶舱
'gu'ding 钴锭
'gu'kuang 钴矿
'guan'li'yuan'gong'ju 管理员工具
'guan'li'yuan'jie'mian 管理员界面
'guan'xing'jian'zhen'qi 惯性减震器
'gui'dao'pao 轨道炮
'gui'kuang 硅矿
'gui'pian 硅片
'hai'dao 海盗
'han'jie'qi 焊接器
'hang'xiang 航向
'he'bing'kuai 合并块
'he'tong 合同
'hua'dong'men 滑动门
'huo'jian'fa'she'qi 火箭发射器
'huo'pao 火炮
'huo'pao'pao'dan 火炮炮弹
'huo'pao'pao'ta 火炮炮塔
'huo'sai 活塞
'ji'guang'tian'xian 激光天线
'ji'pao 机炮
'ji'pao'dan'jia 机炮弹夹
'ji'pao'pao'ta 机炮炮塔
'ji'suan'ji 计算机
'jia'shi'cang 驾驶舱
'jia'te'lin'ji'qiang 加特林机枪
'jia'te'lin'pao'ta 加特林炮塔
'jian'gu'shu'song'guan'dao 坚固输送管道
'jian'gu'wan'qu'shu'song'guan'dao 坚固弯曲输送管道
'jian'ji'ji'zuo'cang 歼击机座舱
'jian'yi'zhuang'pei'ji 简易装配机
'jiang'luo'san'kai'guan 降落伞开关
'jiao'deng 角灯
'jiao'lian 铰链
'jiao'lian'bu'jian 铰链部件
'jiao'luo'ye'jing'di'bu 角落液晶底部
'jiao'luo'ye'jing'ding 角落液晶顶
'jiao'luo'ye'jing'ping'di 角落液晶平底
'jiao'luo'ye'jing'ping'ding 角落液晶平顶
'jie'gou'ling'jian 结构零件
'jie'neng'mo'kuai 节能模块
'jin'ding 金锭
'jin'kuang 金矿
'jin'shu'wang'ge 金属网格
'jin'zhan 进展
'jing'ji 经济
'jing'lian'chang 精炼厂
'jing'lian'zeng'xiao'mo'kuai 精炼增效模块
'jing'que'mo'shi 精确模式
'jing'xiang'de'ban'yan'ti'qiang 镜像的半掩体墙
'jing'xiang'de'qing'jia'kuai'xie'guo'du 镜像的轻甲块斜过渡
'jing'xiang'de'qing'jia'kuai'xie'guo'du'hou 镜像的轻甲块斜过渡后
'jing'xiang'de'qing'jia'kuai'xie'guo'du'qian 镜像的轻甲块斜过渡前
'jing'xiang'de'zhong'jia'kuai'xie'guo'du 镜像的重甲块斜过渡
'jing'xiang'de'zhong'jia'kuai'xie'guo'du'hou 镜像的重甲块斜过渡后
'jing'xiang'de'zhong'jia'kuai'xie'guo'du'qian 镜像的重甲块斜过渡前
'ju'guang'deng 聚光灯
'ke'bian'cheng'mo'kuai 可编程模块
'ke'zhuang'tian'huo'jian'fa'she'qi 可装填火箭发射器
'kong'jian'qiu 空间球
'kong'zhi'lun'zi 控制轮子
'kong'zhi'mian'ban 控制面板
'kong'zhi'tuo'luo'yi 控制陀螺仪
'kong'zhi'zhan 控制站
'kong'zhi'zuo'yi 控制座椅
'kuan'ping'xian'shi'qi 宽屏显示器
'kuang'wu'tan'ce'qi 矿物探测器
'lian'jie'qi 连接器
'lian'jie'zuo'biao 连接坐标
'lou'ti 楼梯
'lun'zi 轮子
'ma'da 马达
'mei'fen 镁粉
'mei'kuang 镁矿
'mi'bi'shi'diao'men 密闭式吊门
'mu'biao'jia'ren 目标假人
'nei'chen'ban 内衬板
'nie'ding 镍锭
'nie'kuang 镍矿
'pai'qi'shan 排气扇
'pang'guan'zhe'gong'ju 旁观者工具
'pen'she'qi 喷射器
'piao'fu'wu'qing'chu 漂浮物清除
'pu'tong'fei'xing'mo'shi 普通飞行模式
'qi'dong'chuang'zao'mo'shi'gong'ju 启动创造模式工具
'qi'luo'jia 起落架
'qiang'lie'wei'zhi'xin'hao 强烈未知信号
'qie'ge'ji 切割机
'qing'jia'ban'mian'ban 轻甲半面板
'qing'jia'ban'mian'ban'you'hou 轻甲半面板右后
'qing'jia'ban'mian'ban'you'qian 轻甲半面板右前
'qing'jia'ban'mian'ban'zuo'hou 轻甲半面板左后
'qing'jia'ban'mian'ban'zuo'qian 轻甲半面板左前
'qing'jia'ban'xie'ji'chu 轻甲半斜基础
'qing'jia'ban'xie'jiao 轻甲半斜角
'qing'jia'ban'xie'jiao'mo'kuai 轻甲半斜角模块
'qing'jia'fang'xing'dao'jiao'mo'kuai 轻甲方形倒角模块
'qing'jia'fang'xing'xie'jiao'hou 轻甲方形斜角后
'qing'jia'fang'xing'xie'jiao'qian 轻甲方形斜角前
'qing'jia'jiao'fang'xing'mo'kuai 轻甲角方形模块
'qing'jia'kuai 轻甲块
'qing'jia'kuai'xie'guo'du 轻甲块斜过渡
'qing'jia'kuai'xie'guo'du'hou 轻甲块斜过渡后
'qing'jia'kuai'xie'guo'du'qian 轻甲块斜过渡前
'qing'jia'mian'ban 轻甲面板
'qing'jia'mian'ban'ban'xie 轻甲面板半斜
'qing'jia'mian'ban'ce'mian 轻甲面板侧面
'qing'jia'mian'ban'xie 轻甲面板斜
'qing'jia'mian'ban'xie'hou 轻甲面板斜后
'qing'jia'mian'ban'xie'qian 轻甲面板斜前
'qing'jia'mian'ban'you'hou 轻甲面板右后
'qing'jia'mian'ban'you'qian 轻甲面板右前
'qing'jia'mian'ban'zuo'hou 轻甲面板左后
'qing'jia'mian'ban'zuo'qian 轻甲面板左前
'qing'jia'sheng'gao'xie'jiao 轻甲升高斜角
'qing'jia'si'fen'zhi'yi'mian'ban 轻甲四分之一面板
'qing'jia'wan'mei'yuan'bu'jiao'kuai 轻甲完美圆补角块
'qing'jia'wan'mei'yuan'jiao'kuai 轻甲完美圆角块
'qing'jia'wan'mei'yuan'xie'kuai 轻甲完美圆斜块
'qing'jia'xie'jiao 轻甲斜角
'qing'jia'xie'jiao'ji'chu 轻甲斜角基础
'qing'qi'guan 氢气罐
'qing'qi'ping 氢气瓶
'qing'qi'tui'jin'qi 氢气推进器
'qing'qi'yin'qing 氢气引擎
'qiu'sheng'zhuang'zhi 求生装置
'qiu'xing'zhong'li'fa'sheng'qi 球形重力发生器
'qu'yu'dai'ma 区域代码
'quan'qiu'xu'ke'quan 全球许可权
'quan'yan'ti'qiang 全掩体墙
'ren'gong'zhong'li 人工重力
'san'ji'jing'ying'qie'ge'ji 三级精英切割机
'san'ji'jing'ying'shou'dian'zuan 三级精英手电钻
'san'ji'zeng'qiang'han'jie'qi 三级增强焊接器
'sha'shi 沙石
'shang'dian 商店
'she'xiang'ji 摄像机
'shi'nei'deng 室内灯
'shi'nei'pao'ta 室内炮塔
'shi'nei'qiang 室内墙
'shi'nei'zhi'cheng'zhu 室内支撑柱
'shi'ti'lie'biao 实体列表
'shi'tou 石头
'shou'dian'zuan 手电钻
'shou'ji'qi 收集器
'shou'sha 手刹
'shu'ju'ban 数据板
'shu'song'fang'kuai 输送方块
'shu'song'guan 输送管
'shu'song'ji 输送机
'shu'song'ji'kuang'jia 输送机框架
'shu'song'ji'zhuan'huan'qi 输送机转换器
'su'du'xian'zhi 速度限制
'tai'kong'huo'bi 太空货币
'tai'yang'neng'ban 太阳能板
'tai'yang'neng'dian'chi'ban 太阳能电池板
'tan'ce'che'jia'shi'cang 探测车驾驶舱
'tan'ce'qi 探测器
'ti'zi 梯子
'ti'zi'zhou 梯子轴
'tian'qi 天气
'tian'xian 天线
'tie'ding 铁锭
'tie'kuang 铁矿
'ting'che'chang 停车场
'tong'dao 通道
'tou'ying'yi 投影仪
'tu'ji'jia'nong'pao 突击加农炮
'tu'ji'jia'nong'pao'pao'dan 突击加农炮炮弹
'tu'ji'jia'nong'pao'pao'ta 突击加农炮炮塔
'tui'jin'qi'kong'zhi 推进器控制
'tui'jin'qi'ling'jian 推进器零件
'tuo'luo'yi 陀螺仪
'wan'jia'kong'zhi 玩家控制
'wan'qu'shu'song'guan'dao 弯曲输送管道
'wei'zhi'xin'hao 未知信号
'wen'ben'mian'ban 文本面板
'wu'ren'ji 无人机
'wu'xian'dian'ling'jian 无线电零件
'xian'shi'di'ping'xian'gao'du 显示地平线高度
'xian'shi'qi 显示器
'xiao'dian'chi 小电池
'xiao'gang'guan 小钢管
'xiao'xing'fan'ying'dui 小型反应堆
'xiao'xing'fen'jian'chuan'shu'ji 小型分拣传输机
'xiao'xing'gui'dao'pao'chuan'jia'dan 小型轨道炮穿甲弹
'xiao'xing'he'bing'kuai 小型合并块
'xiao'xing'huo'wu'chu'cun'xiang 小型货物储存箱
'xiao'xing'jian'gu'shu'song'guan'dao 小型坚固输送管道
'xiao'xing'jian'gu'wan'qu'shu'song'guan'dao 小型坚固弯曲输送管道
'xiao'xing'kong'qi'dong'li'tui'jin'qi 小型空气动力推进器
'xiao'xing'li'zi'tui'jin'qi 小型离子推进器
'xiao'xing'qing'qi'guan 小型氢气罐
'xiao'xing'shu'song'guan'dao 小型输送管道
'xiao'xing'shu'song'ji 小型输送机
'xiao'xing'wan'qu'shu'song'guan'dao 小型弯曲输送管道
'xiao'xing'wang'ge 小型网格
'xie'chuang 斜窗
'xie'jiao'qing'jia'jian'duan 斜角轻甲尖端
'xie'jiao'zhong'jia'jian'duan 斜角重甲尖端
'xie'po 斜坡
'xie'qing'jia'bu'jiao'kuai 斜轻甲补角块
'xie'qing'jia'bu'jiao'kuai'hou 斜轻甲补角块后
'xie'qing'jia'bu'jiao'kuai'qian 斜轻甲补角块前
'xie'qing'jia'jiao'kuai 斜轻甲角块
'xie'qing'jia'jiao'kuai'hou 斜轻甲角块后
'xie'qing'jia'jiao'kuai'qian 斜轻甲角块前
'xie'qing'jia'kuai 斜轻甲块
'xie'qing'jia'kuai'hou 斜轻甲块后
'xie'qing'jia'kuai'qian 斜轻甲块前
'xie'zhong'jia'bu'jiao'kuai 斜重甲补角块
'xie'zhong'jia'bu'jiao'kuai'hou 斜重甲补角块后
'xie'zhong'jia'bu'jiao'kuai'qian 斜重甲补角块前
'xie'zhong'jia'jiao'kuai 斜重甲角块
'xie'zhong'jia'jiao'kuai'hou 斜重甲角块后
'xie'zhong'jia'jiao'kuai'qian 斜重甲角块前
'xie'zhong'jia'kuai 斜重甲块
'xie'zhong'jia'kuai'hou 斜重甲块后
'xie'zhong'jia'kuai'qian 斜重甲块前
'xin'biao 信标
'xiu'mian'cang 休眠仓
'xun'huan'dui'xiang 循环对象
'yang'qi'guan 氧气罐
'yang'qi'nong'chang 氧气农场
'yang'qi'ping 氧气瓶
'yang'qi'qing'qi'zhi'zao'ji 氧气氢气制造机
'ye'jing'xian'shi'qi 液晶显示器
'yi'ji'zeng'qiang'han'jie'qi 一级增强焊接器
'yi'ji'zeng'qiang'qie'ge'ji 一级增强切割机
'yi'ji'zeng'qiang'shou'dian'zuan 一级增强手电钻
'yi'liao'ling'jian 医疗零件
'yi'liao'shi 医疗室
'yi'liao'xiang 医疗箱
'yin'ding 银锭
'yin'kuang 银矿
'yin'xiao'fang'kuai 音效方块
'yong'jiu'lian'jie 永久连接
'you'bang 铀棒
'you'er 诱饵
'you'ji'wu 有机物
'you'kuang 铀矿
'yu'zhou'ka'fei 宇宙咖啡
'yuan'cheng'kong'zhi 远程控制
'yue'ji'kong'zhi 越级控制
'yue'qian'yin'qing 跃迁引擎
'zhan'tie'zuo'biao 粘贴坐标
'zhong'jia'ban'mian'ban 重甲半面板
'zhong'jia'ban'mian'ban'you'hou 重甲半面板右后
'zhong'jia'ban'mian'ban'you'qian 重甲半面板右前
'zhong'jia'ban'mian'ban'zuo'hou 重甲半面板左后
'zhong'jia'ban'mian'ban'zuo'qian 重甲半面板左前
'zhong'jia'ban'xie'ji'chu 重甲半斜基础
'zhong'jia'ban'xie'jiao 重甲半斜角
'zhong'jia'ban'xie'jiao'mo'kuai 重甲半斜角模块
'zhong'jia'fang'xing'dao'jiao'mo'kuai 重甲方形倒角模块
'zhong'jia'fang'xing'xie'jiao'hou 重甲方形斜角后
'zhong'jia'fang'xing'xie'jiao'qian 重甲方形斜角前
'zhong'jia'jiao'fang'xing'mo'kuai 重甲角方形模块
'zhong'jia'kuai 重甲块
'zhong'jia'kuai'xie'guo'du 重甲块斜过渡
'zhong'jia'kuai'xie'guo'du'hou 重甲块斜过渡后
'zhong'jia'kuai'xie'guo'du'qian 重甲块斜过渡前
'zhong'jia'mian'ban 重甲面板
'zhong'jia'mian'ban'ban'xie 重甲面板半斜
'zhong'jia'mian'ban'ce'mian 重甲面板侧面
'zhong'jia'mian'ban'xie 重甲面板斜
'zhong'jia'mian'ban'xie'hou 重甲面板斜后
'zhong'jia'mian'ban'xie'qian 重甲面板斜前
'zhong'jia'mian'ban'you'hou 重甲面板右后
'zhong'jia'mian'ban'you'qian 重甲面板右前
'zhong'jia'mian'ban'zuo'hou 重甲面板左后
'zhong'jia'mian'ban'zuo'qian 重甲面板左前
'zhong'jia'sheng'gao'xie'jiao 重甲升高斜角
'zhong'jia'si'fen'zhi'yi'mian'ban 重甲四分之一面板
'zhong'jia'wan'mei'yuan'bu'jiao'kuai 重甲完美圆补角块
'zhong'jia'wan'mei'yuan'jiao'kuai 重甲完美圆角块
'zhong'jia'wan'mei'yuan'xie'kuai 重甲完美圆斜块
'zhong'jia'xie'jiao 重甲斜角
'zhong'jia'xie'jiao'ji'chu 重甲斜角基础
'zhong'kong'fang'kuai 中控方块
'zhong'li'fa'sheng'qi 重力发生器
'zhong'li'fa'sheng'qi'ling'jian 重力发生器零件
'zhong'li'pao 重力炮
'zhong'xing'huo'wu'chu'cun'xiang 中型货物储存箱
'zhu'kong'zhi'qi 主控制器
'zhuan'zi 转子
'zhuan'zi'bu'jian 转子部件
'zhuang'pei'ji 装配机
'zi'ding'yi'pao'ta'kong'zhi'qi 自定义炮塔控制器
'zi'dong'jia'shi 自动驾驶
'zi'dong'zhan'kai 自动展开
'zuan'tou 钻头
