'a'bu'ha 阿布哈
'chuan'ti'jia'gu'li'lun 船体加固理论
'ci'gu'wa 茨古瓦
'ci'gui'pao 磁轨炮
'ci'hua'fen 瓷化粉
'ci'ke'ji 刺客级
'ci'li'ji 磁力计
'ci'liu'ti'dong'li'wu'li'xue 磁流体动力物理学
'da'bu'li'de 大布里德
'da'huang'ye'xing'yu 大荒野星域
'da'lao'hui'shou'ji'shu 打捞回收技术
'da'lao'wu'ren'ji'cao'kong'li'lun 打捞无人机操控理论
'da'ma'di'er 达马迪尔
'da'sen 达森
'da'xing'ci'gui'pao'zhuan'ye'yan'jiu 大型磁轨炮专业研究
'da'xing'hun'he'pao'tai'yan'jiu 大型混合炮台研究
'da'xing'huo'pao'zhuan'ye'yan'jiu 大型火炮专业研究
'da'xing'ji'shu'ji'guang'zhuan'ye'yan'jiu 大型集束激光专业研究
'da'xing'ji'su'pao'zhuan'ye'yan'jiu 大型疾速炮专业研究
'da'xing'jun'tuan'guan'li'pei'xun 大型军团管理培训
'da'xing'mai'chong'ji'guang'zhuan'ye'yan'jiu 大型脉冲激光专业研究
'da'xing'neng'liang'pao'tai'yan'jiu 大型能量炮台研究
'da'xing'she'dan'pao'tai'yan'jiu 大型射弹炮台研究
'da'xing'zi'dong'jia'nong'pao'zhuan'ye'yan'jiu 大型自动加农炮专业研究
'da'xiu 大修
'dai'ma'po'yi'ji 代码破译机
'dai'rui'er 戴瑞尔
'dai'sa 戴萨
'dan'bai'shi'wu 蛋白食物
'dan'dao'fen'xi'xue 弹道分析学
'dan'dao'kong'zhi'xi'tong 弹道控制系统
'dan'huang 蛋黄
'dan'ti'shi 单体式
'dan'tou'sheng'ji'yan'jiu 弹头升级研究
'dan'tu'mi 丹图米
'dao'dan'da'ji'gai'lun 导弹打击概论
'dao'dan'dang 导弹党
'dao'dan'dong'li'xue 导弹动力学
'dao'dan'fa'she'kong'zhi 导弹发射控制
'dao'dan'fa'she'qi 导弹发射器
'dao'dan'fa'she'qi'cao'kong'li'lun 导弹发射器操控理论
'dao'dan'fa'she'xiao'lv'xun'lian 导弹发射效率训练
'dao'dan'fa'she'zhuang'zhi 导弹发射装置
'dao'dan'li'lun'ji'chu 导弹理论基础
'dao'dan'zhi'dao'yuan'li 导弹制导原理
'dao'hang 导航
'dao'hang'xue 导航学
'de'kang 德康
'de'la'dan 德拉丹
'de'li'ke 德里克
'de'li'ke'xing'yu 德里克星域
'deng'li'zi'wu'li'xue 等离子物理学
'di'mei'er 蒂梅尔
'di'se'er 狄塞尔
'dian'bo'jing'ti 电波晶体
'dian'ci'mai'chong'dan 电磁脉冲弹
'dian'ci'wu'li'xue 电磁物理学
'dian'ci'zhuang'jia'bu'chang'li'lun 电磁装甲补偿理论
'dian'nao'po'yi'yuan'li 电脑破译原理
'dian'rong'chong'dian'she'bei 电容充电设备
'dian'rong'dian'chi 电容电池
'dian'rong'zeng'xiao'qi 电容增效器
'dian'zi'gong'cheng'xue 电子工程学
'dian'zi'sheng'ji'yan'jiu 电子升级研究
'dian'zi'xue 电子学
'dian'zi'you'shi'gai'zhuang'ji'shu 电子优势改装技术
'dian'zi'zhan'li'lun 电子战理论
'dian'zi'zhan'wu'ren'ji'kong'zhi'xue 电子战无人机控制学
'ding'dian'ce'liang'xue 定点测量学
'ding'xiang'deng'li'zi'dan 定向等离子弹
'dong'mian'zhe'yan'jiu 冬眠者研究
'dong'neng'hu'dun'bu'chang'yan'jiu 动能护盾补偿研究
'dong'neng'zhuang'jia'bu'cuo'li'lun 动能装甲不错理论
'du'an'ni'si 杜安尼斯
'du'shen'ji 渡神级
'du'xie'ji 毒蝎级
'dui'wu'zhi'yu 对舞之域
'dun'fu 盾辅
'duo'luo'pu 多罗普
'duo'mei 多美
'duo'pu'shi'rao'duan'qi 多普式扰断器
'duo'ren'wu'chu'li'xue 多任务处理学
'duo'wo 铎沃
'duo'ze 多泽
'e'er'dai'si 厄尔戴斯
'e'er'gun'ke 厄尔衮克
'e'er'mei 厄尔梅
'e'er'pa'na 厄尔帕纳
'e'er'te'le 厄尔特勒
'e'fo'la'de 厄佛拉德
'e'la'da 厄拉达
'e'mu'la'ya 厄姆拉亚
'e'sa 俄萨
'e'sha'la 厄沙拉
'e'shen'wei'er 厄什威尔
'en'ka 恩咖
'er'peng'yin 二硼银
'fa'er'lun'te 法尔伦特
'fa'mu'zhe'ji 伐木者级
'fa'rui'ya 法瑞亚
'fa'she'qi'gai'zhuang'ji'shu 发射器改装技术
'fa'si'pei'la 法斯佩拉
'fa'ta'ni'leng 法塔尼冷
'fa'wei'si 法维斯
'fa'xie'er 法谢尔
'fan'dan'dao'dao'dan'ji'chu'xue 反弹道导弹基础学
'fan'ge'hua 钒镉化
'fan'jing'shi 凡晶石
'fan'jing'shi'chu'li'ji'shu 凡晶石处理技术
'fan'tiao 反跳
'fan'yin'shen'mai'chong 反隐身脉冲
'fan'yue'qian'rao'pin'qi 反跃迁扰频器
'fan'zui'guan'xi'yan'jiu 犯罪关系研究
'fang'da'jing 放大镜
'fang'mao'ji'shu'yuan'li 仿冒技术原理
'fei'chuan'zhi'hui 飞船指挥
'fei'er'li'la 费尔利拉
'fei'er'nai're'tie'ge'he'jin 菲尔耐热铁镉合金
'fei'li'zi 镄离子
'fei'li'zi'hua'wu 镄离子化物
'fei'li'zi'hua'wu'leng'ning 镄离子化物冷凝
'fei'lun 费伦
'fei're'le 菲惹勒
'fei'ta'kan 费塔坎
'fen'lie'zhe'ji 分裂者级
'fen'xi'xing'si'wei'xun'lian 分析性思维训练
'fen'zi'gong'cheng 分子工程
'feng'huang'ji 凤凰级
'feng'xian'tou'zi'ji'qiao'lun 风险投资技巧论
'fu'ci'cha'ge 弗茨查格
'fu'er'ge 伏尔戈
'fu'er'ge'xing'yu 伏尔戈星域
'fu'fan'jing'shi 富凡晶石
'fu'jia'zhuang'jia 附加装甲
'fu'jia'zhuang'jia'zeng'xiao'she'bei 附加装甲增效设备
'fu'la'er 夫拉尔
'fu'le'hua 富勒化
'fu'le'hua'fan'ying 富勒化反应
'fu'leng'ti'ke'si 弗冷提克斯
'fu'li'bo'di 弗里波迪
'fu'rui'ji 弗瑞吉
'fu'si'ku'lun 夫斯库仑
'fu'wei'xi 夫维希
'fu'zhi'xue'yuan'li 复制学原理
'fu'zhu'neng'yuan'he'xin 辅助能源核心
'gai'lun'te 盖伦特
'gai'lun'te'bian'jing'di'qu 盖伦特边境地区
'gai'lun'te'gong'ye'jian'cao'zuo'li'lun 盖伦特工业舰操作理论
'gai'lun'te'hai'jun'tiao'li 盖伦特海军条例
'gai'lun'te'hang'kong'mu'jian'cao'zuo'ji'shu 盖伦特航空母舰操作技术
'gai'lun'te'hu'wei'jian'cao'zuo'li'lun 盖伦特护卫舰操作理论
'gai'lun'te'huo'jian'cao'kong'li'lun 盖伦特货舰操控理论
'gai'lun'te'ke'ji 盖伦特科技
'gai'lun'te'tai'tan'yan'jiu 盖伦特泰坦研究
'gai'lun'te'wu'ren'ji'zhuan'ye'yan'jiu 盖伦特无人机专业研究
'gai'lun'te'wu'wei'ji'zhan'jian'cao'zuo'li'lun 盖伦特无畏级战舰操作理论
'gai'lun'te'xing'jian'gong'cheng'xue 盖伦特星舰工程学
'gai'lun'te'xun'yang'jian'cao'zuo'li'lun 盖伦特巡洋舰操作理论
'gai'lun'te'zhan'lie'jian'cao'zuo'li'lun 盖伦特战列舰操作理论
'gan'jiao'yan 干焦岩
'gan'jiao'yan'chu'li'ji'shu 干焦岩处理技术
'gan'ying'zeng'qiang'she'bei 感应增强设备
'gang'hua'jiao 钢化胶
'gang'shao'wu'ren'ji'cao'kong'li'lun 岗哨无人机操控理论
'gao'ji'chuan'ti'jia'gu'li'lun 高级船体加固理论
'gao'ji'dian'rong'liang'kuo'chong'li'lun 高级电容量扩充理论
'gao'ji'gan'ying'qi'sheng'ji'yan'jiu 高级感应器升级研究
'gao'ji'gou'tong'ji'qiao 高级沟通技巧
'gao'ji'ji'yi'neng'li'xun'lian 高级记忆能力训练
'gao'ji'jun'tuan'guan'li'pei'xun 高级军团管理培训
'gao'ji'jun'tuan'she'hui'xue 高级军团社会学
'gao'ji'liang'chan'ji'shu 高级量产技术
'gao'ji'neng'liang'hu'dun'ti'sheng'li'lun 高级能量护盾提升理论
'gao'ji'she'jiao'neng'li'xun'lian 高级社交能力训练
'gao'ji'shi'yan'shi'guan'li'ji'shu 高级实验室管理技术
'gao'ji'wu'qi'sheng'ji'yan'jiu 高级武器升级研究
'gao'ji'wu'ren'ji'jie'kou'ji'shu 高级无人机接口技术
'gao'neng'wu'li'xue 高能物理学
'gao'su'dang 高速党
'gao'su'dian'rong 高速电容
'gao'su'ji'dong'li'lun 高速机动理论
'gao'su'she'ji'li'lun 高速射击理论
'ge'duo'er 戈多洱
'ge'han 格汉
'ge'kun'ta'mi 格昆塔米
'ge'la'mu 戈拉姆
'ge'li'an'ka'ni 格里安卡尼
'ge'ma'ti 格马提
'ge'mo'di 格莫迪
'ge'ni 格尼
'ge'rui'te'xi'er 格瑞特西尔
'ge'se 镉铯
'gong'cheng'xue 工程学
'gong'dao 攻导
'gong'gong'guan'xi'xue 公共关系学
'gong'ji'lian'guan'li 供给链管理
'gong'ji'xue 供给学
'gong'ye 工业
'gong'ye'chuan 工业船
'gong'ye'jian'she'xue 工业建设学
'gong'ye'li'lun 工业理论
'gou'jian'gai'zhuang'ji'shu 构件改装技术
'gu'si'ta 古斯塔
'gu'si'ta'si'jia'mi'ji'shu'yuan'li 古斯塔斯加密技术原理
'guan'xi'xue 关系学
'guan'xi'yan'jiu 关系研究
'guan'xing'wen'ding'qi 惯性稳定器
'guan'yuan 官员
'guan'zhi'yun'shu'yan'jiu 管制运输研究
'gui'bi'ji'dong'li'lun 规避机动理论
'gui'dao'dan 轨道弹
'gui'suan'yan'bo'li 硅酸盐玻璃
'ha'bi'lun 哈比伦
'ha'ge'ke'en 哈格科恩
'ha'sa'di'mu 哈萨蒂姆
'ha'si'na'li 哈斯那利
'ha'te 哈特
'ha'xi'er 哈希尔
'hai'de 海德
'hai'niao 海鸟
'hai'wan 海万
'hai'wu'ya 海乌鸦
'hang'ji'yu'suan'xue 航迹预算学
'hao'fu 郝夫
'hao'la'la 郝拉拉
'he'cheng'fang'zhi'pin 合成纺织品
'he'ping'ai'ma 和平艾玛
'he'tong'gui'ze 合同规则
'he'wa'ka 赫瓦卡
'he'zi'dan 核子弹
'he'zi'wu'li'xue 核子物理学
'hei'niao'ji 黑鸟级
'hei'yuan'xing'yu 黑渊星域
'hei'zhe'shi 黑赭石
'hei'zhe'shi'chu'li'ji'shu 黑赭石处理技术
'heng'tuo'jia'la 恒托加拉
'hong'hua'dang 红花党
'hong'ji'jian'gai'lun 轰击舰概论
'hong'wai'jing'ti 红外晶体
'hou'qin'jian'li'lun 后勤舰理论
'hou'zhi'fan'jing'shi 厚质凡晶石
'hou'zi'dang 猴子党
'hu'dun 护盾
'hu'dun'chuan'ci'yan'jiu 护盾穿刺研究
'hu'dun'chuan'song 护盾传送
'hu'dun'fang'da'she'bei 护盾放大设备
'hu'er'tuo'ken 胡尔托肯
'hu'na 胡纳
'hu'wei'er'ma 胡威尔玛
'hu'wei'jian'jian'zao'yan'jiu 护卫舰建造研究
'huan'ji 獾级
'huan'ji'ma'ke 獾级马克
'huan'zhuang'tai 环状钛
'hui'neng 毁能
'hui'yan 灰岩
'hui'yan'chu'li'ji'shu 灰岩处理技术
'hui'zhan'li'lun 会战理论
'hui'zhan'she'bei 会战设备
'hui'zhan'xing 会战型
'hui'zhan'zhuan'ye'yan'jiu 会战专业研究
'hui'zhuan'wen'ding'she'bei 回转稳定设备
'hun'he'wu'qi 混合武器
'hun'he'wu'qi'gai'zhuang'ji'shu 混合武器改装技术
'huo'gui'cang 货柜舱
'huo'gui'cang'sao'miao'she'bei 货柜舱扫描设备
'huo'jian'fa'she'qi 火箭发射器
'huo'jian'gai'lun 火箭概论
'huo'jian'ke'xue 火箭科学
'huo'jian'zhuan'ye'yan'jiu 火箭专业研究
'huo'sha 霍沙
'huo'si'te'ni 霍斯特尼
'huo'te'mao'wu 霍特毛乌
'ji'an'ti 吉安提
'ji'bu'er'sha 基布尔沙
'ji'er'la'si 基尔拉斯
'ji'er'ma'de 基尔马的
'ji'er'ze'en 基尔泽恩
'ji'fu'duan'yan 基腹断岩
'ji'fu'duan'yan'chu'li'ji'shu 基腹断岩处理技术
'ji'guang 激光
'ji'guang'wu'li'xue 激光物理学
'ji'le'xi'si 吉勒西斯
'ji'neng'dang 技能党
'ji'ni'zu 基尼祖
'ji'nuo 吉诺
'ji'sa'na 基萨娜
'ji'shi'ji'yi'neng'li'xun'lian 即时记忆能力训练
'ji'shu'er 吉舒尔
'ji'si'ke'ken 吉斯克肯
'ji'su'kuai'di 疾速快递
'ji'su'pao 疾速炮
'ji'suo'jia 基索加
'ji'xie 机械
'ji'xie'gong'cheng'xue 机械工程学
'ji'xie'xue 机械学
'ji'yi'xue 记忆学
'jia'da'li 加达里
'jia'da'li'bian'jing'di'qu 加达里边境地区
'jia'da'li'gong'ye'jian'cao'zuo'li'lun 加达里工业舰操作理论
'jia'da'li'hai'jun'tiao'li 加达里海军条例
'jia'da'li'hu'wei'jian'cao'zuo'li'lun 加达里护卫舰操作理论
'jia'da'li'huo'jian'cao'kong'li'lun 加达里货舰操控理论
'jia'da'li'ke'ji 加达里科技
'jia'da'li'tai'tan'yan'jiu 加达里泰坦研究
'jia'da'li'wu'ren'ji'zhuan'ye'yan'jiu 加达里无人机专业研究
'jia'da'li'wu'wei'ji'zhan'jian'cao'zuo'li'lun 加达里无畏级战舰操作理论
'jia'da'li'xing'jian'gong'cheng'xue 加达里星舰工程学
'jia'da'li'xun'yang'jian'cao'zuo'li'lun 加达里巡洋舰操作理论
'jia'da'li'zhan'lie'jian'cao'zuo'li'lun 加达里战列舰操作理论
'jia'en'jia'er 加恩加尔
'jia'er'ke 加尔克
'jia'er'zha'la'de 加尔扎拉德
'jia'ka'na'er'wei 贾卡纳尔维
'jia'ke'le'mu 伽克勒姆
'jia'ke'mu'xi 贾科姆西
'jia'leng'de 加冷德
'jia'li'ran'liao'qi'yuan'li 加力燃料器原理
'jia'li'ran'shao'shi 加力燃烧室
'jia'ma'jing'ti 伽玛晶体
'jia'mi'si 加密斯
'jia'mo'er 加莫尔
'jia'na'si 加纳斯
'jia'ri'zha 贾日扎
'jia'shu'er'ci 加舒尔茨
'jia'su'kong'zhi'li'lun 加速控制理论
'jia'ta'te 贾塔特
'jia'te 加特
'jia'te'lin 加特林
'jian'dui'zhi'hui 舰队指挥
'jian'ren'xin'li'xue 坚韧心理学
'jian'zhu'yu'zhi'kuai 建筑预制块
'jie'gou'fen'xi'xue 结构分析学
'jie'ji'ji'cao'zuo'li'lun 截击机操作理论
'jie'ji'jian 截击舰
'jie'mei'hui 姐妹会
'jie'ni'le'bu 杰尼勒布
'jie'si'bei 杰斯贝
'jie'si'bei'kuang'chu'li'ji'shu 杰斯贝矿处理技术
'jie'ti 杰逖
'jie'ya 羯亚
'jin'na'ze 金纳泽
'jing'hua'zhi'yu 精华之域
'jing'ji'gu'xing'yu 静寂谷星域
'jing'ji'ren'guan'xi'xue 经纪人关系学
'jing'lian'chang'guan'li 精炼厂管理
'jing'lian'xiao'lv'li'lun 精炼效率理论
'jing'lian'xue'gai'lun 精炼学概论
'jing'lian'zhen'lie 精炼阵列
'jing'que'she'ji'li'lun 精确射击理论
'jing'ti'fu'he'wu 晶体复合物
'jing'zhuang'shi'ying'he'yan 晶状石英核岩
'ju'bian'dan 聚变弹
'ju'niao'ji 巨鸟级
'jun'shi'guan'xi'xue 军事关系学
'jun'tuan'guan'li 军团管理
'jun'tuan'guan'li'pei'xun 军团管理培训
'jun'tuan'he'tong'gui'ze 军团合同规则
'jun'xu'yun'shu'fang'fa 军需运输方法
'ka'bi 卡比
'ka'che'xing'yu 卡彻星域
'ka'duo'er'xing'yu 卡多尔星域
'ka'ka 卡卡
'ka'la 卡拉
'ka'la'ji'ta 卡拉吉塔
'ka'la'ji'ta'ji'tuan 卡拉吉塔集团
'ka'lan'jin 卡兰金
'ka'li 卡利
'ka'luo'er 卡罗尔
'ka'ni'di'xing'yu 卡尼迪星域
'ka'nuo'la 咖诺拉
'ka'si'la'si 卡斯拉斯
'ka'zi'na 卡兹纳
'kai'bo 凯波
'kai'cai'xian'feng'ji'shu 开采先锋技术
'kai'meng 凯蒙
'kai'nuo'kai 凯诺凯
'kai'sha'ge 凯莎戈
'kan'ke'ni'di'ya 坎克尼迪亚
'kan'ta'lun 坎塔伦
'kao'gu'xue 考古学
'kao'sa'jia 考萨贾
'ke'er'si 柯尔斯
'ke'la'la 克拉拉
'ke'la'shen'xing'fen'ji 克拉什兴奋剂
'ke'liao'te 柯廖特
'ke'long'she'shi'yun'zuo'ji'shu 克隆设施运作技术
'ke'luo'ji'chu'li'ji'shu 克洛基处理技术
'ke'luo'ji'shi 克洛基石
'ke'nuo'ba'na'la 科诺巴纳拉
'ke'shi'luo 克什罗
'ke'xi'na 克希娜
'ke'xue 科学
'ke'xue'wang'luo'xue 科学网络学
'ke'xue'yuan'li 科学原理
'ke'yi'ka'ken 科伊卡肯
'kong'jian'ding'mao 空间定锚
'kong'jian'gan'zhi'xue 空间感知学
'kong'jian'hang'xing'gong'cheng'xue 空间航行工程学
'kong'jian'hang'xing'xi'tong'gai'zhuang'ji'shu 空间航行系统改装技术
'kong'jian'jian'chuan'zhi'hui'xue 空间舰船指挥学
'kong'jian'rao'luan'qi 空间扰乱器
'kong'jian'zhan'dang 空间站党
'kong'jian'zhan'guan'li'xue 空间站管理学
'kong'zhi'lun 控制论
'ku'er'si'ji 库尔斯基
'ku'ha'la'he 库哈拉赫
'kuai'ji'xue 会计学
'kuai'zi 筷子
'kuang'wu'yun'shu'ji'qiao 矿物运输技巧
'kuang'ye'bo'chuan 矿业驳船
'kuang'ye'ti'sheng'li'lun 矿冶提升理论
'la'che'lie'si 拉彻列斯
'la'shi'xi'ya 拉什希亚
'la'xie'er 拉谢尔
'lai'dai 莱戴
'lai'rui 赖瑞
'lai'yi'sen 莱伊森
'lan'de 兰德
'lan'jie'dan'fa'she'qi 拦截弹发射器
'lan'jie'jian'yan'jiu 拦截舰研究
'lao'dong'guan'xi'xue 劳动关系学
'lao'shu 老鼠
'le'dan 乐丹
'le'mo'rui 勒莫瑞
'le'sa'wu'dun 勒萨乌敦
'le'wei'ya'tan'ji 勒维亚坦级
'le'yi 勒伊
'lei'jing'ti'jiao'kuang 类晶体胶矿
'lei'yin'chao'jin'shu 类银超金属
'li'duo'ken 利多肯
'li'er'ma'de 里尔玛的
'li'fen'da 里芬达
'li'zi'li'chang'tou'she'qi 离子力场投射器
'liang'zi'wu'li'xue 量子物理学
'liao'ji'guan'li'xue 僚机管理学
'lie'ku'li 列库里
'lie'na 列娜
'lie'ri'er 列日珥
'lin'yin'ji 林荫级
'ling'dao 领导
'ling'dao'li'lun 领导理论
'ling'shou'ji'qiao 零售技巧
'lu'ci'ji 鸬鹚级
'lu'ken 鲁肯
'lu'mi'da 鲁米达
'lue'neng'qi 掠能器
'luo'bo'le 罗伯勒
'luo'ji'si'wei'li'lun 逻辑思维理论
'luo'le'la 罗勒拉
'luo'lun'di 罗伦蒂
'luo'sa'en'ting 罗萨恩汀
'luo'xi'ya 罗西亚
'luo'xia'le'en 罗夏勒恩
'ma'de'mu 玛德姆
'ma'er 玛尔
'ma'er'ti'ya 马尔提雅
'ma'ha'di 马哈蒂
'ma'ji'li'mi 玛几利米
'ma'jia'ma'er 玛加玛尔
'ma'la'ri'ya 玛拉日雅
'ma'la'ta 玛拉塔
'ma'luo'xi'er 马洛希尔
'ma'mo'na 玛莫纳
'ma'ni 马尼
'ma'sen'de 马森德
'ma'si'pa 玛斯帕
