'an'han 暗含
'hua'yu'ce'lue'yu 话语策略语
'hua'yu'fen'xi 话语分析
'hua'yu'neng'li 话语能力
'hua'yu'xiao'pin'ci 话语小品词
'hua'yu'yi'yi 话语意义
'hua'yu'zhi'shi 话语指示
'hua'yu'zhi'shi'yu 话语指示语
'huan'he'shou'duan 缓和手段
'huan'xu 缓叙
'hui'hua'fen'xi 会话分析
'hui'hua'han'yi 会话含意
'hui'hua'he'yue 会话合约
'hui'hua'jie'gou 会话结构
'hui'hua'xiu'zheng 会话修正
'hui'hua'yin'han 会话隐涵
'hui'hua'yuan'ze 会话原则
'hui'hua'zhun'ze 会话准则
'huo'ran'xing 或然性
'ji'ben'tiao'jian 基本条件
'ji'hao 记号
'jian'jie'yan'yu'xing'wei 间接言语行为
'jiao'ji'mu'di 交际目的
'jiao'ji'neng'li 交际能力
'jiao'ji'yi'tu 交际意图
'jiao'ji'yong'yi 交际用意
'jiao'ji'yu'yan'neng'li 交际语言能力
'jiao'ji'yuan'ze 交际原则
'jie'ma 解码
'jin'xing'zhong'hua'yu 进行中话语
'jin'zhi 近指
'jing'ji'yuan'ze 经济原则
'jing'li'zhu'yu 经历主语
'jiu'xin'xi 旧信息
'ju'fa'xue 句法学
'ju'zi'yi'yi 句子意义
'kang'kai'zhun'ze 慷慨准则
'ke'da'pei'xing 可搭配性
'ke'fei'chu'xing 可废除性
'ke'fen'deng'ji'fan'yi'ci 可分等级反义词
'ke'guan'huan'jing 客观环境
'ke'jie'shou'xing 可接收性
'ke'qu'xiao'xing 可取消性
'ke'tui'dao'xing 可推导性
'ke'xing'xing 可行性
'ke'yi'yan'tan 刻意言谈
'kong'jian'zhi'shi 空间指示
'kua'wen'hua'jiao'ji 跨文化交际
'kua'wen'hua'yu'yong'xue 跨文化语用学
'kua'zhang 夸张
'kuo'chong'de'yan'yu'xing'wei'li'lun 扩充的言语行为理论
'lei'zhi 类指
'li'fa'shi'jian'dan'wei 历法时间单位
'li'ge 离格
'li'mao 礼貌
'li'mao'ce'lue 礼貌策略
'li'mao'li'lun 礼貌理论
'li'mao'yuan'ze 礼貌原则
'lian'guan 连贯
'lian'tong'lun 联通论
'liang'de'zhun'ze 量的准则
'liang'ke'xing 两可性
'liang'zhun'ze 量准则
'lin'chuang'yu'yong'xue 临床语用学
'ling'yuan'wei'yu 零元谓语
'long'tong'xing 笼统性
'lun'yan'you'suo'wei 论言有所为
'luo'ji'lian'xi'yu 逻辑联系语
'luo'ji'shi 逻辑式
'luo'ji'xin'xi 逻辑信息
'luo'ji'yu'yi'xue 逻辑语义学
'meng'ta'gu'yu'fa 蒙塔古语法
'mian'zi 面子
'mian'zi'li'lun 面子理论
'miao'shu'xing 描述性
'ming'shi 明示
'ming'shi'tui'li'guo'cheng 明示推理过程
'ming'shi'tui'li'mo'shi 明示推理模式
'ming'shuo 明说
'ming'shuo'xin'xi 明说信息
'ming'ti'nei'rong 命题内容
'ming'ti'nei'rong'tiao'jian 命题内容条件
'ming'ti'tai'du 命题态度
'ming'ti'xing'shi 命题形式
'ming'ti'xing'wei 命题行为
'mo'hu'xian'zhi'yu 模糊限制语
'mo'hu'xing 模糊性
'mo'hu'yi'yi 模糊意义
'mou'pian'bu'ju'neng'li 谋篇布局能力
'mu'biao 目标
'mu'di 目的
'nei'han 内涵
'nei'han'yi'yi 内含意义
'nei'qian'shi'wei'ju 内嵌施为句
'pian'zhang'neng'li 篇章能力
'ping'deng'guan'xi 平等关系
'ping'jia'dong'ci 评价动词
'pu'tong'yu'yong'xue 普通语用学
'qia'dang'xing 恰当性
'qian'ti 前提
'qian'ti'chu'fa'yu 前提触发语
'qian'xun'zhun'ze 谦逊准则
'qian'zhao'ying 前照应
'qian'zhao'ying'yong'fa 前照应用法
'qian'zhi 前指
'qian'zhi'hua'yu'biao'ji'yu 前指话语标记语
'qian'zhi'yong'fa 前指用法
'qiang'jia'cheng'du 强加程度
'qin'shu'cheng'wei 亲属称谓
'qing'gan'gong'xiang 情感共享
'qing'jing'yu'jing 情景语境
'qing'tai 情态
'qing'tai'deng'ji 情态等级
'qing'tai'dong'ci 情态动词
'quan'shi'guan'xi 权势关系
'qun'ti'xing'shi'wei'ju 群体性施为句
'ren'cheng'zhi'shi 人称指示
'ren'cheng'zhi'shi'yu 人称指示语
'ren'lei'wen'hua'fang'fa'lun 人类文化方法论
'ren'lei'wen'hua'xue 人类文化学
'ren'shi'qing'tai 认识情态
'ren'zhi'gong'xiang 认知共享
'ren'zhi'huan'jing 认知环境
'ren'zhi'xiao'guo 认知效果
'ren'zhi'yu'yi'xue 认知语义学
'ren'zhi'yu'yong'xue 认知语用学
'ren'zhi'yuan'ze 认知原则
'ri'chang'yu'yan'zhe'xue 日常语言哲学
'rong'yu'xin'xi 冗余信息
'ruo'an'han 弱暗含
'ruo'chen 弱陈
'san'yuan'guan'xi 三元关系
'shang'tao'xing 商讨性
'shang'xia'wen 上下文
'shang'xia'wen'min'gan'xing 上下文敏感性
'shang'xia'wen'yi'yi 上下文意义
'shang'yi'ci 上义词
'she'hui'ju'li 社会距离
'she'hui'xing'wei 社会行为
'she'hui'yu'yong'xue 社会语用学
'she'jiao'shi'jie 社交世界
'she'jiao'wen'hua'de'yu'yong'yan'jiu 社交文化的语用研究
'she'jiao'wen'hua'yu'yong'xue 社交文化语用学
'she'jiao'yu'jing 社交语境
'she'jiao'yu'yan'neng'li 社交语言能力
'she'jiao'yu'yong'xue 社交语用学
'she'jiao'zhi'shi 社交指示
'she'jiao'zhi'shi'yu 社交指示语
'shi'jian'zhi'shi 时间指示
'shi'jian'zhi'shi'yu 时间指示语
'shi'qie'tiao'jian 适切条件
'shi'wei'chen'shu 施为陈述
'shi'wei'dong'ci 施为动词
'shi'wei'jia'she 施为假设
'shi'wei'ju 施为句
'shi'wei'mu'di 施为目的
'shi'wei'neng'li 施为能力
'shi'wei'xing'wei'biao'zhi 施为行为标识
'shi'wei'xing'wei'jia'she'li'lun 施为行为假设理论
'shi'wei'xing'yan'yu'xing'wei 施为性言语行为
'shi'wei'yong'yi 施为用意
'shi'yong'zhong'de'yi'yi 使用中的意义
'shi'yong'zhu'yi 实用主义
'shou'shi'yong'fa 手势用法
'shou'yao'de'yi'yan'xing'shi'xing'wei 首要的以言行事行为
'shuang'ji'wu'dong'ci 双及物动词
'shun'jian'dong'ci 瞬间动词
'shun'jian'wan'cheng'xing'dong'ci 瞬间完成性动词
'shun'ying'li'lun 顺应理论
'shun'ying'xing 顺应性
'shuo'hua'ren'yi'tu 说话人意图
'shuo'hua'ren'yi'yi 说话人意义
'shuo'hua'yi'tu 说话意图
'shuo'ming'xing 说明性
'sui'yi'yan'tan 随意言谈
'te'shu'han'yi 特殊含意
'te'shu'hui'hua'han'yi 特殊会话含意
'tian'chong'yu 填充语
'tiao'jie'xing'gui'ze 调节性规则
'ting'hua'ren'yi'yi 听话人意义
'tong'qing'zhun'ze 同情准则
'tong'yi'fan'fu'ju 同义反复句
'tou'she 投射
'tou'she'gui'ze 投射规则
'tui'dao'xing'biao'ji'yu 推导性标记语
'tui'duan 推断
'tui'li 推理
'tui'li'li'jie'ceng 推理理解层
'tui'li'mo'shi 推理模式
'tui'li'nu'li 推理努力
'tui'lun 推论
'wai'bu'fou'ding 外部否定
'wai'yan 外延
'wei'guan'yu'yong'xue 微观语用学
'wei'wan'yu 委婉语
'wei'xie'mian'zi'de'xing'wei 威胁面子的行为
'wei'zhi'xin'xi 未知信息
'wen'hua'lian'guan 文化连贯
'wen'zhang'mai'luo 文章脉络
'wu'biao'ji'xing 无标记性
'wu'zhi'shi'jie 物质世界
'wu'zhi'yu'jing 物质语境
'wu'zhong'ti 无终体
'xia'yi'ci 下义词
'xian'jie'ji'zhi 衔接机制
'xian'ming 显明
'xian'xing'fou'ding 显性否定
'xian'xing'shi'wei'dong'ci 显性施为动词
'xian'xing'shi'wei'ju 显性施为句
'xian'yong'xian'xiang 先用现象
'xian'yu'xin'xi 羡余信息
'xiang'dui'he'shi'xing 相对合适性
'xiang'hu'ren'zhi'huan'jing 相互认知环境
'xiang'xiang'xing'xiao'guo 想象性效果
'xiang'zheng'xing'yong'fa 象征性用法
'xiang'zheng'yong'fa 象征用法
'xiao'xi'mo'shi 消息模式
'xie'zuo'xing'shi'wei'ju 协作性施为句
'xin'ge'lai'si'hui'hua'han'yi'li'lun 新格赖斯会话含意理论
'xin'ge'lai'si'yu'yong'xue 新格赖斯语用学
'xin'li'shi'jie 心理世界
'xin'xi'mo'shi 信息模式
'xin'xi'yi'tu 信息意图
'xin'xi'zhao'ying 信息照应
'xin'xin'xi 新信息
'xing'shi'hua'yu'biao'zhi 行事话语标识
'xing'shi'hua'yu'jia'she'li'lun 行事话语假设理论
'xing'shi'hua'yu'ju 行事话语句
'xing'shi'lei'yi'yan'xing'shi 行使类以言行事
'xing'shi'yu'yi'xue 形式语义学
'xing'shi'yu'yong'xue 形式语用学
'xing'yi'zhi'san'yuan'guan'xi 形义指三元关系
'xiu'ci'xue 修辞学
'xu'shi'xing'dong'ci 叙实性动词
'xuan'gao'lei 宣告类
'xuan'gao'lei'yan'yu'xing'wei 宣告类言语行为
'xuan'gao'lei'yi'yan'xing'shi 宣告类以言行事
'xuan'ze'xian'zhi 选择限制
'ya'wen'hua 亚文化
'yan'hou'xing'wei 言后行为
'yan'nei'hang'wei 言内行为
'yan'tan'ying'dui 言谈应对
'yan'tan'ying'dui'zhong'de'yi'yi 言谈应对中的意义
'yan'wai'hang'wei 言外行为
'yan'yu'jiao'ji 言语交际
'yan'yu'qing'jing 言语情景
'yan'yu'shi'jian 言语事件
'yan'yu'xing'wei 言语行为
'yan'yu'xing'wei'de'yu'yong'yan'jiu 言语行为的语用研究
'yan'yu'xing'wei'li'lun 言语行为理论
'yan'yu'xing'wei'yu'yong'xue 言语行为语用学
'yi'ban'han'yi 一般含意
'yi'ban'hui'hua'han'yi 一般会话含意
'yi'cun'jie'ci 依存介词
'yi'qing'zhi'shi 移情指示
'yi'shi'xing'shi'wei'ju 仪式性施为句
'yi'si 意思
'yi'tu 意图
'yi'wu'qing'tai 义务情态
'yi'xiang 意向
'yi'xiang'xing 意向性
'yi'yan'cheng'shi 以言成事
'yi'yan'shi'shi 以言施事
'yi'yan'xing'shi 以言行事
'yi'yan'xing'shi'mu'di 以言行事目的
'yi'yan'zhi'shi 以言指事
'yi'yi'cuo'shang 意义磋商
'yi'zhi'xin'xi 已知信息
'yi'zhi'yuan'ze 一致原则
'yin'han'jie'lun 隐含结论
'yin'han'qian'ti 隐含前提
'yin'xing'shi'wei'ju 隐性施为句
'yin'xing'xing'shi'xing'wei 隐性行事行为
'yin'yu 隐喻
'yin'yu'xing'wai'yan 隐喻性外延
'ying'she 映射
'ying'xing'luo'ji 应性逻辑
'yong'jiu'zhi'pei'quan 永久支配权
'you'ding'zhi'cheng'guan'xi 有定指称关系
'yu'bei'tiao'jian 预备条件
'yu'fa'hua 语法化
'yu'fa'neng'li 语法能力
'yu'fa'xing 语法性
'yu'ji'yu 语际语
'yu'ji'yu'yan'de'yu'yong'yan'jiu 语际语言的语用研究
'yu'ji'yu'yong'xue 语际语用学
'yu'jing 语境
'yu'jing'an'han 语境暗含
'yu'jing'cheng'fen 语境成分
'yu'jing'hua 语境化
'yu'jing'jia'she 语境假设
'yu'jing'te'zheng 语境特征
'yu'jing'xiang'guan'yin'su 语境相关因素
'yu'jing'xiao'guo 语境效果
'yu'jing'yi'yi 语境意义
'yu'jing'yin'su 语境因素
'yu'ju 语句
'yu'ju'yi'yi 语句意义
'yu'nei'jiao'ji 语内交际
'yu'pian'neng'li 语篇能力
'yu'pian'yi'yi 语篇意义
'yu'she 预设
'yu'tai 语态
'yu'yan'biao'mian'yin'yu 语言表面隐喻
'yu'yan'de'zu'zhi'neng'li 语言的组织能力
'yu'yan'gong'neng 语言功能
'yu'yan'neng'li 语言能力
'yu'yan'xin'dao 语言信道
'yu'yan'xue'zhuan'xiang 语言学转向
'yu'yan'yi'yi 语言意义
'yu'yan'yu'jing 语言语境
'yu'yan'yu'yong'xue 语言语用学
'yu'yan'zai'shi'yong'zhong'de'yi'yi 语言在使用中的意义
'yu'yan'zi'yuan 语言资源
'yu'yi'biao'zheng 语义表征
'yu'yi'qian'ti 语义前提
'yu'yi'xue 语义学
'yu'yi'yan'tan 寓意言谈
'yu'yi'yi'yi 语义意义
'yu'yi'yu'she 语义预设
'yu'yong'biao'ji'yu 语用标记语
'yu'yong'cao'zuo'yu 语用操作语
'yu'yong'ce'lue 语用策略
'yu'yong'dai'ma 语用代码
'yu'yong'fa'zhan 语用发展
'yu'yong'gong'neng'ci'yu 语用功能词语
'yu'yong'han'hu 语用含糊
'yu'yong'han'hun 语用含混
'yu'yong'han'yi 语用含意
'yu'yong'lei'shu 语用类属
'yu'yong'lian'xi'yu 语用联系语
'yu'yong'neng'li 语用能力
'yu'yong'qi'yi 语用歧义
'yu'yong'qian'ti 语用前提
'yu'yong'qian'ti'de'hu'zhi'xing 语用前提的互知性
'yu'yong'qian'yi 语用迁移
'yu'yong'shi'wu 语用失误
'yu'yong'tui'li 语用推理
'yu'yong'xi'de 语用习得
'yu'yong'xing'wei 语用行为
'yu'yong'xue 语用学
'yu'yong'yi'qing 语用移情
'yu'yong'yong'yi 语用用意
'yu'yong'yu'she 语用预设
'yu'yong'yu'yan'neng'li 语用语言能力
'yu'yong'yu'yan'xue 语用语言学
'yu'yong'yuan'ze 语用原则
'yuan'biao'zheng 元表征
'yuan'jiao'ji'xing'wei 元交际行为
'yuan'xing 原型
'yuan'xing'yi'yi 原型意义
'yuan'yi'yan'tan 原意言谈
'yuan'yu'yan'shi'wei'ju 元语言施为句
'yuan'ze 原则
'yuan'zhi 远指
'yuan'zhi'yong'fa 元指用法
'yue'lue'xing 约略性
'yun'han 蕴含
'yun'han 蕴涵
'zan'yu'zhun'ze 赞誉准则
'zhe'xue'yu'yong'xue 哲学语用学
'zhen'cheng'tiao'jian 真诚条件
'zhen'shi'xing 真实性
'zhen'zhi 真值
'zheng'mian'li'mao 正面礼貌
'zheng'mian'li'mao'ce'lue 正面礼貌策略
'zheng'mian'mian'zi 正面面子
'zheng'xiang'li'mao 正向礼貌
'zheng'xiang'mian'zi 正向面子
'zheng'xiang'zhuan'yi 正向转移
'zhi'cheng 指称
'zhi'cheng'dui'xiang 指称对象
'zhi'cheng'guan'xi 指称关系
'zhi'cheng'qi'yi 指称歧义
'zhi'de'zhun'ze 质的准则
'zhi'ling'lei 指令类
'zhi'ling'lei'yan'yu'xing'wei 指令类言语行为
'zhi'ling'lei'yi'yan'xing'shi 指令类以言行事
'zhi'shi'ci'yu 指示词语
'zhi'shi'yong'fa 指示用法
'zhi'shi'yu 指示语
'zhi'shi'yu'xian'yong'xian'xiang 指示语先用现象
'zhi'shi'zhong'xin 指示中心
'zhi'xing'luo'ji 知性逻辑
'zhi'xing'xing'rong'ci 知性形容词
'zhi'zhun'ze 质准则
'zhong'jie'yu 中介语
'zhu'ti 主题
'zhu'ti'bian'hua'biao'ji'yu 主题变化标记语
'zhu'wei 主位
'zhu'wen'hua 主文化
'zhuang'tai'bian'hua'lei'dong'ci 状态变化类动词
'zhun'ze 准则
'zi'mian'yi'yi 字面意义
'zi'mian'yong'yi 字面用意
'zi'ran'yi'yi 自然意义
'zi'wo'xiu'zheng 自我修正
'zu'zhi'neng'li 组织能力
'zui'da'guan'lian 最大关联
'zui'jia'guan'lian 最佳关联
