'a'ba'la'ti'ya 阿巴拉提亚
'ai'ma'nei'lan'de'fu'er'tang 埃马内兰德福尔唐
'ai'mo'li'ke 艾默里克
'ai'ni'ke'si'gong'si 艾尼克斯公司
'ai'ou'ze'ya 艾欧泽亚
'ai'qi'de'na 艾奇德娜
'ai'ren'ge'tie'kuang 矮人铬铁矿
'ai'ren'mian 矮人棉
'ai'ren'mian'bu 矮人棉布
'ai'ren'mian'xian 矮人棉线
'ai'ren'yin'ding 矮人银锭
'ai'ren'yin'kuai 矮人银块
'ai'ren'zhi'hua 爱人之花
'ai'ru 矮儒
'ai'si'di'ni'an 埃斯蒂尼安
'ai'si'dong'ku 哀思洞窟
'ai'si'jia'de 艾斯加德
'ai'si'tai'mu'zhu'bao'dian 艾斯泰姆珠宝店
'ai'yi'guan'tai 艾伊冠台
'an'bing'li 暗兵鳢
'an'dai'shi'ban'yu 鞍带石斑鱼
'an'dan'sha 暗淡鲨
'an'dan'zhi'yun 暗淡之云
'an'dou'yu 暗斗鱼
'an'dou'yu'miao 暗斗鱼苗
'an'fei'se'long'de'cu'pi 安菲瑟龙的粗皮
'an'fei'se'long'ge 安菲瑟龙革
'an'gao'xia'hu 暗缟虾虎
'an'hei'lie'ying 暗黑猎鹰
'an'hei'qi'shi 暗黑骑士
'an'hei'zhi'li 暗黑之力
'an'hei'zhi'yun 暗黑之云
'an'ju'an'kang 安居鮟鱇
'an'li'mu'mu'cai 暗栗木木材
'an'li'mu'yuan'mu 暗栗木原木
'an'li'shu'zhi 暗栗树枝
'an'lin'hei'long 暗鳞黑龙
'an'lu 暗鲈
'an'pa'de'shi'zhe 安帕的使者
'an'qi'shi 暗骑士
'an'tang'li 暗塘鳢
'an'xing 暗星
'an'yin'fu'mo'mo'shui 暗银附魔墨水
'an'yin'kuang 暗银矿
'an'yin'sha 暗银沙
'an'ying'he'bao 暗影核爆
'an'ying'li 暗影鲤
'an'ying'ling'long 暗影玲龙
'an'ying'shi'ying 暗影石英
'an'ying'wu'luo 暗鹦鹉螺
'an'ying'xu 暗影须
'an'zi'shan'hu 暗紫珊瑚
'ang'sa'ha'kai'er 昂萨哈凯尔
'ang'zang'de'gu'bu'liao 肮脏的古布料
'ang'zang'fei 肮脏鲱
'ao'de'sai'ji'chuan'shou 奥德赛级船首
'ao'de'sai'ji'chuan'ti 奥德赛级船体
'ao'de'sai'ji'chuan'wei 奥德赛级船尾
'ao'de'sai'ji'qi'nang 奥德赛级气囊
'ao'ding 奥丁
'ao'ding'jian'mie'zhan 奥丁歼灭战
'ao'ding'pi'feng 奥丁披风
'ao'ding'zhan'ou 奥丁战偶
'ao'er'shen'fang 奥尔什方
'ao'er'te'luo'si'ti'feng 奥尔特罗斯提丰
'ao'ge'mo'luo'he'kuang'zha 奥哥摩罗褐矿渣
'ao'ge'mo'luo'hei'kuang'zha 奥哥摩罗黑矿渣
'ao'ge'mo'luo'hong'kuang'zha 奥哥摩罗红矿渣
'ao'ge'mo'luo'huang'kuang'zha 奥哥摩罗黄矿渣
'ao'ge'mo'luo'hui'kuang'zha 奥哥摩罗灰矿渣
'ao'ge'mo'luo'huo'shan 奥哥摩罗火山
'ao'hou 奥猴
'ao'hou'bao'bao 奥猴宝宝
'ao'hou'zong'ran'ji 奥猴棕染剂
'ao'luo'ni'bu'de'bu'liao 奥罗尼部的布料
'ao'nuo'lu'wa 奥诺鲁瓦
'ao'sa'de'ci'da'lu 奥萨德次大陆
'ao'sa'de'dong'an 奥萨德东岸
'ao'sa'de'gui'yu 奥萨德鲑鱼
'ao'sa'de'luo 奥萨德螺
'ao'sa'de'mei 奥萨德梅
'ao'wen'jiu'jiao 奥温酒窖
'ao'xiu'ang 奥修昂
'ao'xiu'ang'da'qiao 奥修昂大桥
'ao'xiu'ang'huo'ju 奥修昂火炬
'ao'zhan'hong'lian'a'la'mi'ge 鏖战红莲阿拉米格
'ba'ai'sa'chang'cheng 巴埃萨长城
'ba'er'da'mu'ba'dao 巴儿达木霸道
'ba'fen'yi'guang'chang 八分仪广场
'ba'ha'mu'te 巴哈姆特
'ba'ha'mu'te'da'mi'gong'ru'qin'zhi'zhang 巴哈姆特大迷宫入侵之章
'ba'ha'mu'te'da'mi'gong'xie'hou'zhi'zhang 巴哈姆特大迷宫邂逅之章
'ba'ha'mu'te'da'mi'gong'zhen'yuan'zhi'zhang 巴哈姆特大迷宫真源之章
'ba'ha'mu'te'ling'shi'da'mi'gong'ru'qin'zhi'zhang 巴哈姆特零式大迷宫入侵之章
'ba'jiao'yu 八角鱼
'ba'jin'ding 钯金锭
'ba'jin'fu'mo'mo'shui 钯金附魔墨水
'ba'jin'kuai 钯金块
'ba'jin'kuang 钯金矿
'ba'jin'sha 钯金沙
'ba'la'ke'ta'qi'shi'tuan 巴拉克塔骑士团
'ba'mian'peng'sha 八面硼砂
'ba'mu'man 八目鳗
'ba'yan'man 八眼鳗
'ba'zi'ke'lao'ze 巴兹克劳泽
'bai'cai'yu 白彩鱼
'bai'cen'mu'mu'cai 白梣木木材
'bai'cen'mu'yuan'mu 白梣木原木
'bai'di'shen'wei 白帝神威
'bai'di'tang 白滴糖
'bai'die'bei 白蝶贝
'bai'e 白垩
'bai'feng 白风
'bai'gang'ban 白钢板
'bai'gang'bi'jia 白钢臂甲
'bai'gang'chang'jian 白钢长剑
'bai'gang'chang'qiang 白钢长枪
'bai'gang'chang'ren'fu 白钢长刃斧
'bai'gang'chang'tong'xue 白钢长筒靴
'bai'gang'chu'dao 白钢厨刀
'bai'gang'ci'bing'shuang'ren'fu 白钢刺柄双刃斧
'bai'gang'cuo'dao 白钢锉刀
'bai'gang'diao'jin'chui 白钢雕金锤
'bai'gang'diao'wen'shou'ju 白钢雕纹手锯
'bai'gang'ding 白钢钉
'bai'gang'ding 白钢锭
'bai'gang'duan'dao 白钢短刀
'bai'gang'he'zui'chu 白钢鹤嘴锄
'bai'gang'he'zui'gao 白钢鹤嘴镐
'bai'gang'heng'tou'chui 白钢横头锤
'bai'gang'hu'mu'jing 白钢护目镜
'bai'gang'hu'yao'dai 白钢护腰带
'bai'gang'huan 白钢环
'bai'gang'jian'guo 白钢煎锅
'bai'gang'jiao'kui 白钢角盔
'bai'gang'ju'fu 白钢巨斧
'bai'gang'kai'mian'kui 白钢开面盔
'bai'gang'kai'xue 白钢铠靴
'bai'gang'lian'dao 白钢镰刀
'bai'gang'lian'jia 白钢链甲
'bai'gang'lian'jie'ban 白钢连接板
'bai'gang'lian'zhi'shou'kai 白钢连指手铠
'bai'gang'lin'jing'jia 白钢鳞胫甲
'bai'gang'lin'kai 白钢鳞铠
'bai'gang'lin'zhi'tao 白钢鳞指套
'bai'gang'lu'xing'niao'shou'fu 白钢陆行鸟手斧
'bai'gang'mao'ding 白钢铆钉
'bai'gang'ni'qiu 白钢泥鳅
'bai'gang'niao'zui'chui 白钢鸟嘴锤
'bai'gang'ping'di'guo 白钢平底锅
'bai'gang'ping'zhan 白钢平斩
'bai'gang'sha 白钢鲨
'bai'gang'shou'fu 白钢手斧
'bai'gang'shou'kai 白钢手铠
'bai'gang'shou'qian 白钢手钳
'bai'gang'sui'shi'chui 白钢碎石锤
'bai'gang'tou'kui 白钢头盔
'bai'gang'wan'ren'dao 白钢弯刃刀
'bai'gang'xiong'jia 白钢胸甲
'bai'gang'yan'bo 白钢研钵
'bai'gang'yang'jiao'chui 白钢羊角锤
'bai'gang'yao'jia 白钢腰甲
'bai'gang'yuan'ge'dao 白钢圆革刀
'bai'gang'yuan'tou'chui 白钢圆头锤
'bai'gang'zhan'xue 白钢战靴
'bai'gang'zhao 白钢爪
'bai'gang'zhe'ye 白钢折叶
'bai'gang'zheng'liu'qi 白钢蒸馏器
'bai'gang'zhong'jia 白钢重甲
'bai'gang'zhong'qi'qiang 白钢重骑枪
'bai'gang'zhong'shou'kai 白钢重手铠
'bai'gang'zhong'zu'kai 白钢重足铠
'bai'gang'zhu'jia'chui 白钢铸甲锤
'bai'gang'zhuang'shi'chui 白钢装饰锤
'bai'gu'shan'hu 白骨珊瑚
'bai'gu'she'yu 白骨舌鱼
'bai'gu'yu 白姑鱼
'bai'guang'ling'sha 白光灵砂
'bai'hu 白虎
'bai'hu'shi'hun'zhan 白虎诗魂战
'bai'hu'zhen'hun'zhan 白虎镇魂战
'bai'hu'zong'mao 白虎鬃毛
'bai'hua'e 白化鳄
'bai'hua'que'shan 白化雀鳝
'bai'huo'shi'chang 百货市场
'bai'ji'zhi'yu 白鸡之羽
'bai'jin'diao'yu 白金鲷鱼
'bai'jin'ding 白金锭
'bai'jin'fei'yu 白金鲱鱼
'bai'jin'fu'mo'mo'shui 白金附魔墨水
'bai'jin'hong'jiang 白金虹鳉
'bai'jin'huan'xiang 白金幻象
'bai'jin'kuai 白金块
'bai'jin'kuang 白金矿
'bai'jin'yu 白金鱼
'bai'jing 白鲸
'bai'li'xiang 百里香
'bai'li'yu 白丽鱼
'bai'ling'ti 百灵啼
'bai'lu'qiao 白路桥
'bai'luo'bo 白萝卜
'bai'ma 白马
'bai'ma 白麻
'bai'ma'bu 白麻布
'bai'ma'xian 白麻线
'bai'miao'cao 白妙草
'bai'miao'li 白妙鲤
'bai'mo'dao'shi 白魔导师
'bai'mo'fa'shi 白魔法师
'bai'mu 百目
'bai'mu'yuan 百目螈
'bai'ou'ta 白鸥塔
'bai'qi 百鳍
'bai'qi'shi'zhi'lv 白骑士之旅
'bai'se'long'suo 白色隆索
'bai'se'shi'ruan'xie 白色石软蟹
'bai'shan'hu 白珊瑚
'bai'shan'hu'jie'zhi 白珊瑚戒指
'bai'shan'hu'wan'huan 白珊瑚腕环
'bai'shou'zhi'xue 百兽之血
'bai'song'lu 白松露
'bai'tai'ding 白钛锭
'bai'tai'kuai 白钛块
'bai'tai'kuang 白钛矿
'bai'tai'mao'ding 白钛铆钉
'bai'tian'e'zhi'yu 白天鹅之羽
'bai'tong'ding 白铜锭
'bai'tong'fu'mo'mo'shui 白铜附魔墨水
'bai'tong'kuai 白铜块
'bai'wu'kuang 白钨矿
'bai'wu'zei 白乌贼
'bai'xiang'mu'mu'cai 白橡木木材
'bai'xiang'mu'yuan'mu 白橡木原木
'bai'xiang'mu'zhi 白橡木枝
'bai'xiao'hu 白小虎
'bai'xiao'qi'shi 白小骑士
'bai'xie 白蝎
'bai'ya'chang'zhang 白牙长杖
'bai'yang'mao 白羊毛
'bai'yang'mao'xian 白羊毛线
'bai'yi'qi'shi 百一启示
'bai'yin'ban 白银板
'bai'yin'bei 白银贝
'bai'yin'cai'pi'dao 白银裁皮刀
'bai'yin'chong'feng'xiang'huan 白银冲锋项环
'bai'yin'ding 白银锭
'bai'yin'er'huan 白银耳环
'bai'yin'er'jia 白银耳夹
'bai'yin'feng'zhen 白银缝针
'bai'yin'fu'mo'mo'shui 白银附魔墨水
'bai'yin'gong'yi'xiang'huan 白银工艺项环
'bai'yin'huan 白银环
'bai'yin'ji'shi 白银集市
'bai'yin'jia'zhou'de'sui'pian 白银甲胄的碎片
'bai'yin'jie'zhi 白银戒指
'bai'yin'mao'ding 白银铆钉
'bai'yin'qiao'jiang'jie'zhi 白银巧匠戒指
'bai'yin'qiao'jiang'shou'lian 白银巧匠手链
'bai'yin'san'jiao'mao 白银三角帽
'bai'yin'shao'xing'yu'er 白银勺形鱼饵
'bai'yin'shou'lian 白银手链
'bai'yin'tou'guan'gan'lan'shi 白银头冠橄榄石
'bai'yin'tou'guan'hai'lan'bao'shi 白银头冠海蓝宝石
'bai'yin'tou'guan'jin'lv'zhu'shi 白银头冠金绿柱石
'bai'yin'tou'guan'shi'liu'shi 白银头冠石榴石
'bai'yin'tou'guan'tou'lv'zhu'shi 白银头冠透绿柱石
'bai'yin'tou'guan'zi'shui'jing 白银头冠紫水晶
'bai'yin'xiang 白银乡
'bai'yin'yan'jing 白银眼镜
'bai'yin'zhan'cha 白银战叉
'bai'yin'zheng'liu'qi 白银蒸馏器
'bai'yin'zhi'shu 白银之书
'bai'yin'zhou'zhang 白银咒杖
'bai'yin'zuo'ye'yan'jing 白银作业眼镜
'bai'ying 白影
'bai'you 白鼬
'bai'you'ci'yu 白油刺鱼
'bai'yu'he'zui'chu 白羽鹤嘴锄
'bai'yu'liu'mu'duan'gong 白羽柳木短弓
'bai'yu'tang 白玉汤
'bai'yu'tu 白玉土
'bai'yu'xiang'mu'shi'ren'bang 白羽橡木石刃棒
'bai'yu'xiao'xiang 白玉小巷
'bai'yu'zhuang'bei'de'gai'liang'cai'liao 白愈装备的改良材料
'bai'yun'hua 白云花
'bai'yun'lie'ying 白云猎鹰
'bai'yun'mu 白云母
'bai'yun'mu'mo'dao'shi 白云母磨刀石
'bai'yun'shan'hu 白云珊瑚
'bai'yun'ya 白云崖
'bai'ze'de'huo'zhi'yan 白泽的火之眼
'bai'ze'de'jin'zhi'yan 白泽的金之眼
'bai'ze'de'mu'zhi'yan 白泽的木之眼
'bai'ze'de'shui'zhi'yan 白泽的水之眼
'bai'ze'de'tu'zhi'yan 白泽的土之眼
'bai'ze'de'wu'xing'yan 白泽的五行眼
'bai'zhang'yu 白章鱼
'bai'zhen'zhu 白珍珠
'bai'zhen'zhu'er'zhui 白珍珠耳坠
'bai'zhen'zhu'jie'zhi 白珍珠戒指
'bai'zhen'zhu'shou'zhuo 白珍珠手镯
'bai'zhen'zhu'xiang'huan 白珍珠项环
'bai'zhi'yu 白纸鱼
'bai'zong'mao 白鬃毛
'ban'dian 斑点
'ban'dian'man 斑点鳗
'ban'dian'pan'lu 斑点攀鲈
'ban'dian'que'shan 斑点雀鳝
'ban'dian'tun 斑点鲀
'ban'gao'hua'pen 半高花盆
'ban'jie'xia 斑节虾
'ban'jue'shou 斑攫兽
'ban'lan'ju'shi'luo 斑斓菊石螺
'ban'ling'ao'zi'ma 半灵奥兹玛
'ban'shou'yu 半寿鱼
'ban'tong'kuang 斑铜矿
'ban'wen'nian 斑纹鲶
'ban'wen'pi'pa'yu 斑纹琵琶鱼
'ban'wen'xia'hu 斑纹虾虎
'ban'xiong'de'cu'pi 半熊的粗皮
'ban'xiong'ge 半熊革
'ban'yan 板岩
'ban'yan'mo'dao'shi 板岩磨刀石
'ban'yao 斑鳐
'ban'yue'chang'ren'fu 半月长刃斧
'ban'yue'gu 半月谷
'ban'yun'mo'shi'jing 搬运魔石精
'bang'ba'mi 邦巴米
'bao'bao'xiang 宝宝箱
'bao'biao'da'wu'lang 保镖大五郎
'bao'biao'jian'mie'zhan 保镖歼灭战
'bao'bing'zhang'yu 薄饼章鱼
'bao'dan'diao'yi 爆弹吊椅
'bao'dan'guai 爆弹怪
'bao'dan'guai'de'hui 爆弹怪的灰
'bao'dan'jian'guo 爆弹煎锅
'bao'dan'zai 爆弹仔
'bao'dan'zhi'mu 爆弹之母
'bao'fa 爆发
'bao'feng'lu'men 暴风陆门
'bao'feng'sui 暴风碎
'bao'feng'yan 暴风岩
'bao'feng'zhan 暴风斩
'bao'lei 暴雷
'bao'long 暴龙
'bao'nu'zhen'fu 暴怒震斧
'bao'nu'zhen'fu'fu'tou 暴怒震斧斧头
'bao'shi'sha'lun'ji 宝石砂轮机
'bao'shi'shui'mu 宝石水母
'bao'shi'xie 暴食蟹
'bao'xin'gan'lan 包心甘蓝
'bao'xin'qiu'ji 包心球蓟
'bao'yan 爆炎
'bao'yu 豹鱼
'bao'yun'mian'hua'tang 孢云棉花糖
'bao'zhao'lie'shou 豹爪猎手
'bao'zhao'quan'shou 豹爪拳手
'bao'zhao'tou'lie'shou 豹爪偷猎手
'bao'zuo'shui'jing'kuai 宝座水晶块
'bei'bei 杯贝
'bei'dong'ji'neng 被动技能
'bei'fang 北方
'bei'fang'gou'yu 北方狗鱼
'bei'ji'xing'deng'ta 北极星灯塔
'bei'jing'sheng'hao 北境生蚝
'bei'la'ha'di'ya 贝拉哈迪亚
'bei'la'ha'di'ya'bo'li 贝拉哈迪亚玻璃
'bei'la'ha'di'ya'shui'jing'deng 贝拉哈迪亚水晶灯
'bei'la'ha'di'ya'yin'pian 贝拉哈迪亚银片
'bei'nan'fang'bo'di 北南防波堤
'bei'nu'niao 贝努鸟
'bei'sa'na'lan 北萨纳兰
'bei'tan'fei'quan 悲叹飞泉
'bei'tan'xi'gu 悲叹溪谷
'bei'tian'yi'long 蓓天翼龙
'bei'tian'yi'long'ge 蓓天翼龙革
'bei'wei'cang'yan'shan 北为苍岩山
'bei'xi'mo'si 贝希摩斯
'bei'xi'mo'si'bao'bao 贝希摩斯宝宝
'bei'xi'mo'si'bi'gua 贝希摩斯壁挂
'bei'xi'mo'si'de'mao'pi 贝希摩斯的毛皮
'bei'xi'mo'si'zhi'jiao 贝希摩斯之角
'bei'xian'xue'bin 北鲜血滨
'bei'yang'zhi'min 北洋之民
'bei'yang'zhu'dao 北洋诸岛
'bei'zhou'lu 北洲鲈
'ben'duo'gui'si 本多圭司
'beng'quan 崩拳
'bi'a'na'ke'da'di 比阿纳可大帝
'bi'a'na'ke'diao'yu 比阿纳可鲷鱼
'bi'a'na'ke'ge'li 比阿纳可蛤蜊
'bi'bu'lu'si 比布鲁斯
'bi'er'ge 比尔格
'bi'er'ge'de'zhu'fu 比尔格的祝福
'bi'ge'si 比格斯
'bi'ge'si'wei'ji 比格斯魏吉
'bi'hai'ren'ou'hao 碧海人偶号
'bi'hu 庇护
'bi'lan'fu'mo'mo'shui 碧蓝附魔墨水
'bi'lan'gao'wei'fu'mo'mo'shui 碧蓝高位附魔墨水
'bi'lang'pang'xie 比朗螃蟹
'bi'qi'e 碧企鹅
'bi'qi'e'dan 碧企鹅蛋
'bi'qi'e'dan'juan 碧企鹅蛋卷
'bi'qi'e'mian'mao 碧企鹅绵毛
'bi'shu'li'gong'ma'li'ka'da'jing 避暑离宫马利卡大井
'bi'si'mai 俾斯麦
'bi'si'mai'can'ting 俾斯麦餐厅
'bi'si'mai'ji'dan'san'ming'zhi 俾斯麦鸡蛋三明治
'bi'si'mai'jian'ji'zhan 俾斯麦歼殛战
'bi'si'mai'jian'mie'zhan 俾斯麦歼灭战
'bi'si'mai'mo'jiao 俾斯麦魔角
'bi'si'mai'zhi'jiao 俾斯麦之角
'bi'si'mai'zhi'xing 俾斯麦之形
'bi'xi 碧玺
'bi'xi 鼻息
'bi'xi'er'zhui 碧玺耳坠
'bi'xi'jie'zhi 碧玺戒指
'bi'xi'shou'zhuo 碧玺手镯
'bi'xi'xiang'huan 碧玺项环
'bi'xi'yuan'shi 碧玺原石
'bi'yu'shui 碧玉水
'bi'yu'tou 碧玉头
'bi'zhi'de'ku'jing 笔直的枯茎
'bian'fu 蝙蝠
'bian'fu'de'chi'bang 蝙蝠的翅膀
'bian'fu'ya 蝙蝠牙
'bian'ping'de'shi'cai 扁平的石材
'bian'se'long 变色龙
'bian'tao 扁桃
'bian'xing'yu 变形鱼
'bin'hai'di'ban 滨海地板
'bing'chuan'he 冰川核
'bing'dong 冰冻
'bing'du 病毒
'bing'dui'huo'jiao 兵队火蛟
'bing'dui'shui'long'xi 兵队水龙蜥
'bing'feng 冰封
'bing'guang'li 冰光砾
'bing'guang'shi 冰光石
'bing'hai'shu'jing 病害树精
'bing'he'chang'xue 冰河长靴
'bing'he'shui'jing 冰河水晶
'bing'he'wai'tao 冰河外套
'bing'hua'huan'zhang 冰华幻杖
'bing'hua'zhou'jiao 冰华咒角
'bing'ji'ping'zhang 冰棘屏障
'bing'jie 冰结
'bing'sha'li 冰砂砾
'bing'shen'yu 冰神鱼
'bing'shuang'lei'jiao 冰霜雷蛟
'bing'sun 冰笋
'bing'tie'kuang 饼铁矿
'bing'tuan'hu 兵团虎
'bing'xing'yan 冰性岩
'bing'xue'fei'bao'mu'wei'ta 冰雪废堡暮卫塔
'bing'xue'luan'wu 冰雪乱舞
'bing'yan'shi 冰眼石
'bing'yao'ma'bo'rui'a'si 冰妖马玻瑞阿斯
'bing'yuan'jing 冰元精
'bing'zhan'shen 冰战神
'bing'zhi'jing'cu 冰之晶簇
'bing'zhi'shui'jing 冰之水晶
'bing'zhi'sui'jing 冰之碎晶
'bing'zhi'wu'nv 冰之巫女
'bing'zhi'yin'ji 冰之印记
'bo'he'suan'nai'xi 薄荷酸奶昔
'bo'li'ban 玻璃板
'bo'li'ci'yu 玻璃刺鱼
'bo'li'ge 玻璃革
'bo'li'man 玻璃鳗
'bo'li'xian'wei 玻璃纤维
'bo'luo'dan'gao 菠萝蛋糕
'bo'luo'luo'ge 波罗罗格
'bo'luo'zhi 菠萝汁
'bo'qi 波奇
'bo'qiao'xie 薄壳蟹
'bo'quan 狛犬
'bo'shi'mo'jing'shi 博识魔晶石
'bo'tai'lang 波太郎
'bo'tan'zhang'yu 薄毯章鱼
'bo'wu'zhan'jian'wu'xian'hui'lang 博物战舰无限回廊
'bo'wu'zong'guan 博物总管
'bo'xue'lin'xiao 博学林鸮
'bo'xue'yong'zhou'wu'shu 博学咏咒巫书
'bo'xue'zhi'yu'wu'shu 博学治愈巫书
'bu'bing'jian 步兵剑
'bu'chuan 卜传
'bu'ding'yu 不定鱼
'bu'dui 部队
'bu'dui'chu'wu'gui 部队储物柜
'bu'guang'hua'de'cu'pi 不光滑的粗皮
'bu'hui'gong'shou 不悔弓手
'bu'hui'quan'shou 不悔拳手
'bu'hui'zhan'dou'huo'jiao 不悔战斗火蛟
'bu'hui'zhan'quan 不悔战泉
'bu'hui'zhan'zhen 不悔战阵
'bu'hui'zhou'shu'fa'shi 不悔咒术法师
'bu'huo'jin'bi'gui 捕获金币龟
'bu'jie'cun'luo 不洁村落
'bu'jie'gu'xiang 不洁古像
'bu'jie'san'ta 不洁三塔
'bu'lei'fu'luo'ke'si'ye'ying'di 布雷福洛克斯野营地
'bu'li'na 布莉娜
'bu'liu'wa'deng'ta 布留瓦灯塔
'bu'man'tai'xian'de'ting'yuan'shi 布满苔藓的庭院石
'bu'ming'fei'xing'wu 不明飞行物
'bu'ming'wu'ti 不明物体
'bu'shi 捕食
'bu'shuo'hua'de'feng'niao 不说话的蜂鸟
'bu'si'yu 不死鱼
'bu'xing'xiao'tu 不幸小兔
'bu'xiu'ju'yu 不朽巨鱼
'bu'yu'ren 捕鱼人
'bu'yu'wang'xiang 不语王像
'bu'zhong'she 不忠蛇
'cai'bao'chuan'shuo'po'jian'dao 财宝传说破舰岛
'cai'bei'dong 采贝洞
'cai'dan'xi'tong 彩蛋系统
'cai'ding'yu 裁定鱼
'cai'feng'shi 裁缝师
'cai'fu'fu 采夫妇
'cai'hong'jing 彩虹晶
'cai'hong'qing'jiang 彩虹青鳉
'cai'hong'se'su 彩虹色素
'cai'hong'shao'xing'yu'er 彩虹勺形鱼饵
'cai'hong'xia 彩虹虾
'cai'ji'xi 采集系
'cai'jue 采掘
'cai'jue'dui'yong'ai'hao 采掘队用艾蒿
'cai'jue'dui'yong'bai'xie 采掘队用白蝎
'cai'jue'dui'yong'ban'yan 采掘队用板岩
'cai'jue'dui'yong'can'yong 采掘队用蚕蛹
'cai'jue'dui'yong'cao'mei 采掘队用草莓
'cai'jue'dui'yong'da'hai'luo 采掘队用大海螺
'cai'jue'dui'yong'da'li'shi'you'chong 采掘队用大理石幼虫
'cai'jue'dui'yong'da'shu'zhi'lin 采掘队用大树之鳞
'cai'jue'dui'yong'dai'zi'zun'yu 采掘队用带子鳟鱼
'cai'jue'dui'yong'dan'shui'hai'mian 采掘队用淡水海绵
'cai'jue'dui'yong'du'nian'yu 采掘队用毒鲶鱼
'cai'jue'dui'yong'feng'chao 采掘队用蜂巢
'cai'jue'dui'yong'gen'jing 采掘队用根茎
'cai'jue'dui'yong'gu'pian 采掘队用骨片
'cai'jue'dui'yong'hai'luo 采掘队用海螺
'cai'jue'dui'yong'hei'qian 采掘队用黑铅
'cai'jue'dui'yong'hu'bian'zhao'chao'xie 采掘队用弧边招潮蟹
'cai'jue'dui'yong'hu'po 采掘队用琥珀
'cai'jue'dui'yong'hui'shi 采掘队用辉石
'cai'jue'dui'yong'hui'tong'kuang'cu 采掘队用辉铜矿簇
'cai'jue'dui'yong'jian'guo 采掘队用坚果
