'a'deng'mu'niu'quan 阿登牧牛犬
'ge'ling'lan'quan 格陵兰犬
'ge'luo'nan'dai'mu'yang 格罗南代牧羊
'gu'lao'dan'mai'xiang'dao'quan 古老丹麦向导犬
'gu'lao'ying'guo'dou'niu'quan 古老英国斗牛犬
'gu'lao'ying'guo'mu'yang'quan 古老英国牧羊犬
'gui'fu'quan 贵妇犬
'guo'wang'mu'yang'quan 国王牧羊犬
'guo'wang'qi'shi'huang 国王骑士獚
'ha'ba'gou 哈巴狗
'ha'wa'na'quan 哈瓦那犬
'hai'ji'ni'lie'quan 海吉尼猎犬
'han'mi'er'dun'si'dao'wa 汉密尔顿斯道瓦
'han'nuo'wei'lie'quan 汉诺威猎犬
'he'lan'mu'yang'quan'huo'fu'wa'er'te'quan 荷兰牧羊犬霍夫瓦尔特犬
'he'lan'si'mou'xiong'de'quan 荷兰斯牟雄德犬
'he'lan'zhe'gu'quan 荷兰鹧鸪犬
'hei'he'se'huan'xiong'lie'quan 黑褐色浣熊猎犬
'hei'sen'lin'lie'quan 黑森林猎犬
'hong'gu'huan'xiong'lie'quan 红骨浣熊猎犬
'huo'ou'dan'ni'si'dao'wa 霍欧丹尼斯道瓦
'ji'si'lie'quan 基斯猎犬
'ji'wa'wa'quan 吉娃娃犬
'jia'li'ke'se'quan 加利克瑟犬
'jia'na'da'ai'si'ji'mo 加拿大爱斯基摩
'jia'na'li'lie'quan 加那利猎犬
'jia'na'li'quan 加那利犬
'jia'nan'quan 加南犬
'jia'si'ke'ni'lan'ai'quan 加斯科尼蓝矮犬
'jia'si'ke'ni'xiang'dao'quan 加斯科尼向导犬
'jia'tai'luo'ni'ya'mu'yang 加泰罗尼亚牧羊
'jie'ke'la'sai'er'quan'geng'quan 杰克拉塞尔犭更犬
'jie'ke'lang'quan 捷克狼犬
'jie'ke'quan'geng'quan 捷克犭更犬
'jin'duo'quan 金多犬
'jin'mao'xun'hui'quan 金毛巡回犬
'ju'xing'shi'na'ze'quan 巨型施娜则犬
'juan'mao'mi'shi'quan 卷毛觅拾犬
'ka'ai'quan 卡爱犬
'ka'de'bei'si'tai'er'quan 卡德卑斯太尔犬
'ka'di'bo'quan 卡迪博犬
'ka'di'wei'er'shi'ke'ji 卡狄威尔士柯基
'ka'lei'li'a'xiong'quan 卡累利阿熊犬
'ka'luo'lai'na'quan 卡罗来纳犬
'ka'ta'hao'la'bao'quan 卡他豪拉豹犬
'kai'en'quan'geng'quan 凯恩犭更犬
'kai'li'ao'quan 凯里奥犬
'kao'di'fei'le'de'mai'gu 考迪菲勒得迈谷
'ke'leng'bo'huang 克冷勃獚
'ke'li'xiao'lie'quan 克里小猎犬
'ke'luo'di'ya'mu'yang'quan 克罗地亚牧羊犬
'ke'luo'mu'fei'lan'de'quan 克罗姆费兰德犬
'ke'meng'duo'quan 克蒙多犬
'ku'ke'po'quan 库克颇犬
'ku'yi'ke'hao'de'jie'quan 库依克豪德杰犬
'la'bu'la'duo'de'li'quan 拉布拉多德利犬
'la'bu'la'duo'xun'hui'quan 拉布拉多巡回犬
'la'chang'quan 腊肠犬
'la'ge'tuo'luo'ma'ge'nuo'lu 拉戈托罗马阁挪露
'la'ke'nuo'si 拉克诺斯
'la'pin'po'kao'ya'quan 拉品坡考亚犬
'la'sa'shi'zi'gou 拉萨狮子狗
'lai'ang'bei'ge'quan 莱昂贝格犬
'lai'ke'lan'de'quan'geng'quan 莱克兰德犭更犬
'lan'kai'xia'gen'jiao'quan 兰开夏跟脚犬
'lan'se'pi'ka'di'huang 蓝色皮卡迪獚
'lan'xi'er'quan 兰西尔犬
'lao'chen'quan 劳臣犬
'le'che'quan 勒车犬
'lie'lu'quan 猎鹿犬
'lie'tu'quan 猎兔犬
'lu'ka'si'quan'geng'quan 卢卡斯犭更犬
'lu'si'na'lao'fo'quan 卢斯纳劳佛犬
'lun'de'lie'quan 伦德猎犬
'luo'de'xi'ya'bei'quan 罗德西亚背犬
'luo'te'wei'le'quan 罗特韦勒犬
'ma'er'ta'quan 马耳他犬
'ma'la'mo'te'xue'qiao'quan 马拉摩特雪橇犬
'ma'lei'ma'mu'yang'quan 玛雷玛牧羊犬
'ma'lun'mu'yang'quan 玛伦牧羊犬
'man'che'si'te'quan'geng'quan 曼彻斯特犭更犬
'mei'guo'ai'si'ji'mo'quan 美国爱斯基摩犬
'mei'guo'chang'mao'huang 美国长毛獚
'mei'zhou'chang'mao'chui'er'quan 美洲长毛垂耳犬
'mei'zhou'dou'niu'quan 美洲斗牛犬
'mei'zhou'dou'niu'quan'geng'quan 美洲斗牛犭更犬
'mei'zhou'lie'hu'quan 美洲猎狐犬
'mei'zhou'lie'lu'quan 美洲猎鹿犬
'mei'zhou'si'ta'fu'de'xia'quan'geng 美洲斯塔福德夏犭更
'mei'zhou'wan'ju'quan'geng 美洲玩具犭更
'mei'zhou'wu'mao'quan'geng'quan 美洲无毛犭更犬
'mi'ni'xue'na'rui'quan 迷你雪纳瑞犬
'mo'xi'ge'wu'mao'wan'shang'quan 墨西哥无毛玩赏犬
'mu'di'quan 牧迪犬
'na'bo'li'ao'quan 拿波里獒犬
'nai'de'lao'fo'quan 奈德劳佛犬
'nan'si'la'fu'san'se'quan 南斯拉夫三色犬
'nan'si'la'fu'shan'di'quan 南斯拉夫山地犬
'ni'wei'nei'chang'juan'mao'quan 尼韦内长卷毛犬
'niu'ao 牛獒
'niu'fen'lan'quan 纽芬兰犬
'nuo'fu'ke'quan'geng'quan 诺福克犭更犬
'nuo'li'qi'quan'geng'quan 诺里奇犭更犬
'nuo'man'di'a'tu'wa'quan 诺曼底阿图瓦犬
'nuo'wei'bu'ha'de'quan 挪威布哈德犬
'nuo'wei'hei'lie'lu'quan 挪威黑猎鹿犬
'nuo'wei'lie'lu'quan 挪威猎鹿犬
'ou'ya'quan 欧亚犬
'pa'sen'la'sai'er'quan'geng'quan 帕森拉塞尔犭更犬
'pa'te'da'le'quan'geng'quan 帕特大勒犭更犬
'pei'bi'lun'quan 佩比伦犬
'pi'ka'di'huang 皮卡迪獚
'pi'ka'di'mu'yang'quan 皮卡迪牧羊犬
'ping'hua'mao'ke'li'quan 平滑毛柯利犬
'ping'hua'mao'lie'hu'quan'geng'quan 平滑毛猎狐犭更犬
'ping'hua'mao'mi'shi'quan 平滑毛觅拾犬
'ping'si'che'xiu'zhen'quan 平斯澈袖珍犬
'po'sai'ke'lie'quan 颇赛克猎犬
'pu'de'er'zhi'shi'quan 普德尔指示犬
'pu'lu'ma'quan'geng'quan 普露马犭更犬
'pu'mi'quan 普密犬
'pu'tao'ya'bo'deng'ke'quan 葡萄牙波登可犬
'pu'tao'ya'mu'niu'quan 葡萄牙牧牛犬
'pu'tao'ya'mu'yang'quan 葡萄牙牧羊犬
'pu'tao'ya'shou'wei'quan 葡萄牙守卫犬
'pu'tao'ya'shui'quan 葡萄牙水犬
'pu'tao'ya'xiang'dao'lie'quan 葡萄牙向导猎犬
'pu'wa'tu'quan 普瓦图犬
'qi'nu'ke'quan 奇努克犬
'qie'sa'pi'ke'mi'shi'quan 切萨皮克觅拾犬
'quan'shi'quan 拳师犬
'ri'ben'qiu'tian'quan 日本秋田犬
'ri'ben'quan'geng'quan 日本犭更犬
'ri'ben'quan'zhong'quan 日本犭中犬
'ri'ben'rong'mao'quan 日本绒毛犬
'ru'la'bu'lu'nuo'lie'quan 汝拉布鲁诺猎犬
'ruan'mao'dan'huang'se'quan'geng'quan 软毛淡黄色犭更犬
'rui'dian'la'pu'he'de'quan 瑞典拉普赫德犬
'rui'dian'lie'lu'quan 瑞典猎鹿犬
'rui'dian'wa'han'de'quan 瑞典瓦汉德犬
'rui'mu'po'ling'quan'shi'quan 瑞木颇灵犭是犬
'sa'a'lu'si'lang'lie'quan 撒阿路斯狼猎犬
'sa'lu'ji'quan'si'lu'fu'lie'quan 萨卢基犬斯卢夫猎犬
'sa'mo'ye'de'quan 萨莫耶德犬
'sai'ba'ying'nu'quan 塞巴英努犬
'sai'bu'si'ao'chang'er'quan 赛布斯奥长耳犬
'sai'si'kai'fu'se'ke'quan 塞斯凯福瑟克犬
'sha'pi'quan 沙皮犬
'shan'di'quan 山地犬
'sheng'bo'na'quan 圣伯纳犬
'sheng'dong'ji'quan 圣东基犬
'sheng'ri'er'man'xiang'dao'lie'quan 圣日耳曼向导猎犬
'shi'na'ze'quan 施娜则犬
'shi'zi'quan'yue'ke'quan 狮子犬约克犬
'shu'cong'huan'xiong'lie'quan 树丛浣熊猎犬
'shui'ta'lie'quan 水獭猎犬
'si'cha'le'si'dao'wa'quan 斯差勒斯道瓦犬
'si'guo'lie'quan 四国猎犬
'si'kai'quan'geng'quan 斯凯犭更犬
'si'luo'fa'ke'ku'wa'ke 斯洛伐克库瓦克
'si'luo'wen'si'kai'quan 斯洛文斯凯犬
'si'ma'lan'si'dao'wa'quan 斯玛兰斯道瓦犬
'si'ta'bi'hao'quan 斯塔比嚎犬
'si'ta'fu'dou'niu'quan'geng 斯塔福斗牛犭更
'si'ta'li'ya'cu'mao'shan'di 斯塔利亚粗毛山地
'si'wei'ze'lao'fo'quan 斯维则劳佛犬
'su'ge'lan'quan'geng'quan 苏格兰犭更犬
'su'sai'ke'si'huang 苏赛克斯獚
'ta'te'la'shan'mu'yang'quan 塔特拉山牧羊犬
'tai'guo'ji'bei'quan 泰国脊背犬
'te'wu'lun'quan 特武伦犬
'tu'lai'ya'er'rong'mao'quan 图莱亚尔绒毛犬
'tu'zuo'quan 土佐犬
'wang'dai'chang'juan'mao'lie'quan 旺代长卷毛猎犬
'wei'bi'te'quan 威比特犬
'wei'er'shi'ji'fei'lie'quan 威尔士激飞猎犬
'wei'er'shi'ke'ji'quan 威尔士柯基犬
'wei'er'shi'quan'geng'quan 威尔士犭更犬
'wei'te'hao'quan 韦特豪犬
'wo'pai'nao'quan 斡派瑙犬
'xi'ban'ya'ao 西班牙獒
'xi'ban'ya'ling'quan'shi'quan'xiong'ya'li'ling'quan'shi'quan 西班牙灵犭是犬匈牙利灵犭是犬
'xi'ban'ya'shui'quan 西班牙水犬
'xi'ban'ya'xiang'dao'lie'quan 西班牙向导猎犬
'xi'bo'ge'quan 希伯格犬
'xi'bo'li'ya'ji'mo'quan 西伯利亚基摩犬
'xi'la'lie'quan 希腊猎犬
'xi'la'mu'yang'quan 希腊牧羊犬
'xi'le'di'mu'quan 喜乐帝牧犬
'xi'li'han'quan'geng'quan 西里汉犭更犬
'xi'ma'la'ya'mu'yang'quan 喜玛拉雅牧羊犬
'xi'shi'quan 西施犬
'xi'xi'bo'li'ya'lai'ka 西西伯利亚莱卡
'xi'zang'ao 西藏獒
'xi'zang'huang 西藏獚
'xi'zang'kai'li'a'se'quan 西藏凯里阿瑟犬
'xi'zang'quan'geng'quan 西藏犭更犬
'xia'gu'xing'yi'ma'er'quan 峡谷型依马尔犬
'xia'yi'luo'mu'yang'quan 夏伊洛牧羊犬
'xiao'chang'juan'mao'ai'tui'quan 小长卷毛矮腿犬
'xiao'jia'si'ke'ni'juan'mao 小加斯科尼卷毛
'xiao'jia'si'ke'ni'lan'quan 小加斯科尼蓝犬
'xiao'lie'tu'quan 小猎兔犬
'xiao'ming'si'te'lan'de'quan 小明斯特兰德犬
'xiao'xing'dou'niu'quan'geng'quan 小型斗牛犭更犬
'xiao'xing'mo'xi'ge'wu'mao 小型墨西哥无毛
'xiao'xing'pu'tao'ya'ke'quan 小型葡萄牙可犬
'xiao'xing'yin'jia'wu'mao'quan 小型印加无毛犬
'xin'ji'nei'ya'ge'chang'quan 新几内亚歌唱犬
'xin'si'ke'she'mi'shi'quan 新斯科舍觅拾犬
'xin'xi'lan'han'te'wei'quan 新西兰汉特威犬
'xiong'ya'li'ku'wei'si'quan 匈牙利库维斯犬
'xiong'ya'li'pu'li'quan 匈牙利普里犬
'xiong'ya'li'wei'si'la'quan 匈牙利维斯拉犬
'xun'xue'lie 寻血猎
'ye'huang 野獚
'yi'da'li'bu'la'ke'quan 意大利布拉科犬
'yi'da'li'ling'quan'shi'quan 意大利灵犭是犬
'yi'da'li'sai'gu'ao'quan 意大利塞古奥犬
'yi'da'li'si'pi'ao'ni 意大利斯皮奥尼
'yi'li'li'ya'mu'yang'quan 伊利里亚牧羊犬
'yi'si'te'li'en'cu'mao 伊斯特里恩粗毛
'yi'si'te'li'en'lie'quan 伊斯特里恩猎犬
'yi'si'te'li'en'mu'yang 伊斯特里恩牧羊
'ying'fa'xiao'lie'quan 英法小猎犬
'ying'guo'chang'mao'huang 英国长毛獚
'ying'guo'chang'mao'lie'quan 英国长毛猎犬
'ying'guo'huan'xiong'lie'quan 英国浣熊猎犬
'ying'guo'lie'hu'quan 英国猎狐犬
'ying'guo'si'pu'lin'jie'huang 英国斯普林杰獚
'ying'guo'wan'ju'quan'geng'quan 英国玩具犭更犬
'ying'guo'xiang'dao'lie'quan 英国向导猎犬
'ying'mao'juan'mao'xiang'dao'quan 硬毛卷毛向导犬
'ying'mao'lie'hu'quan 硬毛猎狐犬
'ying'te'bu'che'shan'quan 英特布彻山犬
'yu'bei'er'lie'quan 于贝尔猎犬
'yue'ke'xia'quan'geng'quan 约克夏犭更犬
'zhong'guo'guan'mao'quan 中国冠毛犬
'zhong'guo'song'shi'quan 中国松狮犬
'zhong'xing'yin'jia'wu'mao'quan 中型印加无毛犬
'zhong'ya'mu'yang'quan 中亚牧羊犬
'zhui'wo'quan 赘沃犬
