'nian'duo'tang 粘多糖
'ya'xi'zhi'suan'na 亚锡植酸钠
'ya'xiao'xin'zhi 亚硝辛酯
'ya'xiao'yi'zhi 亚硝乙酯
'ya'ye'suan 亚叶酸
'ya'you'suan'gai 亚油酸钙
'ya'you'suan'wan 亚油酸丸
'ya'you'suan'yi'zhi'gai 亚油酸乙酯钙
'ya'zhou'kang'yao'gao 牙周康药膏
'ya'zhou'ling 牙周灵
'ya'zi'jian 芽子碱
'yan'an'tai 眼氨肽
'yan'can'jian'wei 延参健胃
'yan'dan 延丹
'yan'dan'wei'shu 延丹胃舒
'yan'dan'yi'xin 延丹益心
'yan'du'qing 炎毒清
'yan'guo'zhi'ke 岩果止咳
'yan'hou'ning 咽喉宁
'yan'hou'qing'hou 咽喉清喉
'yan'hou'xiao'yan 咽喉消炎
'yan'hu'suo'suan'bi'suo'luo'er 延胡索酸比索洛尔
'yan'hu'suo'suan'pu'pi 延胡索酸普匹
'yan'hu'wei'an 延胡胃安
'yan'huang'lian 岩黄连
'yan'ji'can 延寄参
'yan'jian'ning 炎见宁
'yan'jing'ding'chun 烟肼丁醇
'yan'kang 咽康
'yan'ke'ning 炎可宁
'yan'li'jing 炎痢净
'yan'li'qing 炎立清
'yan'li'shuang 咽立爽
'yan'li'shuang 眼立爽
'yan'li'xiao 炎立消
'yan'ling'chang'chun 延龄长春
'yan'lu'ru'kang 岩鹿乳康
'yan'ning 炎宁
'yan'qi'shui 盐汽水
'yan're'qing 炎热清
'yan'she 盐蛇
'yan'sheng'yan'yao'shui 眼圣眼药水
'yan'shi'kang 厌食康
'yan'shou 延寿
'yan'shu 咽舒
'yan'su'kang 咽速康
'yan'suan'a'bi'duo'er'ke'li 盐酸阿比多尔颗粒
'yan'suan'a'di'fen'ning 盐酸阿地芬宁
'yan'suan'a'di'fen'ning'pian 盐酸阿地芬宁片
'yan'suan'a'di'fen'ning'zhu'she'ye 盐酸阿地芬宁注射液
'yan'suan'a'ding'huang 盐酸吖啶黄
'yan'suan'a'ding'huang'rong'ye 盐酸吖啶黄溶液
'yan'suan'a'fen'tai'ni 盐酸阿芬太尼
'yan'suan'a'luo'luo'er 盐酸阿罗洛尔
'yan'suan'a'luo'si'qiong 盐酸阿洛司琼
'yan'suan'a'mo'luo'fen 盐酸阿莫罗芬
'yan'suan'a'ni'li'ding 盐酸阿尼利定
'yan'suan'a'rou'bi'xing 盐酸阿柔比星
'yan'suan'a'ti'luo'er 盐酸阿替洛尔
'yan'suan'a'zha'huan'chun 盐酸阿扎环醇
'yan'suan'an'a'ding 盐酸安吖啶
'yan'suan'an'a'ding 盐酸氨吖啶
'yan'suan'an'huang'bi'li 盐酸氨磺必利
'yan'suan'an'rou'bi'xing 盐酸氨柔比星
'yan'suan'ba'an'xi'lin 盐酸巴氨西林
'yan'suan'ba'ma'ting 盐酸巴马汀
'yan'suan'ba'mei'xi'lin 盐酸巴美西林
'yan'suan'ba'mi'pin 盐酸巴米品
'yan'suan'ba'ni'di'ping 盐酸巴尼地平
'yan'suan'ban'guang'an'suan'jia'zhi 盐酸半胱氨酸甲酯
'yan'suan'bei'fan'luo'er 盐酸贝凡洛尔
'yan'suan'bei'na'ti'qin 盐酸贝那替秦
'yan'suan'bei'ta'luo'er 盐酸倍他洛尔
'yan'suan'bei'ta'zuo 盐酸倍他唑
'yan'suan'ben'an'mi'zuo'lin 盐酸苯氨咪唑啉
'yan'suan'bi'pai'li'deng 盐酸比哌立登
'yan'suan'bi'rou'bi'xing 盐酸吡柔比星
'yan'suan'bi'sheng'qun 盐酸比生群
'yan'suan'bian'an'cha'jian 盐酸苄胺茶碱
'yan'suan'bian'ma'fei 盐酸苄吗啡
'yan'suan'bing'an'ka'yin 盐酸丙胺卡因
'yan'suan'bing'bei'ka'yin 盐酸丙贝卡因
'yan'suan'bing'mei'ka'yin 盐酸丙美卡因
'yan'suan'bing'qin 盐酸丙嗪
'yan'suan'bing'xian'ma'qin 盐酸丙酰马嗪
'yan'suan'bing'yang'ka'yin 盐酸丙氧卡因
'yan'suan'bo'lai'mei'su 盐酸博莱霉素
'yan'suan'bu'ke'li'qin 盐酸布克力嗪
'yan'suan'bu'na'zuo'qin 盐酸布那唑嗪
'yan'suan'bu'ta'sha'ming 盐酸布他沙明
'yan'suan'cha'bing'te'luo 盐酸茶丙特罗
'yan'suan'chang'chun'an 盐酸长春胺
'yan'suan'cu'tuo'fei 盐酸醋托啡
'yan'suan'di'la'pu'li 盐酸地拉普利
'yan'suan'di'la'zhuo 盐酸地拉卓
'yan'suan'di'mei'huan'su 盐酸地美环素
'yan'suan'di'meng'ding 盐酸地孟丁
'yan'suan'di'xi'pa'ming 盐酸地昔帕明
'yan'suan'ding'fu'ming 盐酸丁福明
'yan'suan'ding'ka'yin'jiao 盐酸丁卡因胶
'yan'suan'du'luo'xi'ting 盐酸度洛西汀
'yan'suan'dui'lv'ben'ding'an 盐酸对氯苯丁胺
'yan'suan'duo'pi'ke'ming 盐酸多匹可明
'yan'suan'duo'rou'bi'xing 盐酸多柔比星
'yan'suan'duo'rou'bi'xing'zhi'zhi'ti 盐酸多柔比星脂质体
'yan'suan'e'luo'ti'ni 盐酸厄洛替尼
'yan'suan'en'bu'la'min 盐酸恩布拉敏
'yan'suan'en'ka'ni 盐酸恩卡尼
'yan'suan'en'xi'la'qin 盐酸恩西拉嗪
'yan'suan'er'ben'jia'yang'jia'pai'ding 盐酸二苯甲氧甲哌啶
'yan'suan'er'ben'zuo'lin 盐酸二苯唑啉
'yan'suan'er'cu'ma'fei 盐酸二醋吗啡
'yan'suan'er'lv'ben'shen 盐酸二氯苯胂
'yan'suan'er'yi'qin 盐酸二乙嗪
'yan'suan'fa'di'na'fei 盐酸伐地那非
'yan'suan'fen'bu'zhi 盐酸芬布酯
'yan'suan'fen'fang'ji'jian 盐酸粉防己碱
'yan'suan'fen'nai'jing 盐酸奋乃静
'yan'suan'fen'nai'jing'cu'zhi 盐酸奋乃静醋酯
'yan'suan'fen'si'pi'li 盐酸芬司匹利
'yan'suan'fen'tuo'la'ming 盐酸酚妥拉明
'yan'suan'fu'ba'ni'zhi 盐酸氟巴尼酯
'yan'suan'fu'pai'sai'dun 盐酸氟哌噻吨
'yan'suan'fu'xi'pan 盐酸氟西泮
'yan'suan'gan'lu'chun'dan'jie 盐酸甘露醇氮芥
'yan'suan'gao'lv'huan'qin 盐酸高氯环秦
'yan'suan'ge'lie'qi'te 盐酸格列齐特
'yan'suan'ge'luo'pa'mi 盐酸戈洛帕米
'yan'suan'gua'fa'xin 盐酸胍法辛
'yan'suan'hai'ke'ka'yin 盐酸海克卡因
'yan'suan'hai'suo'na'lin 盐酸海索那林
'yan'suan'huai'ding'jian 盐酸槐定碱
'yan'suan'huan'bing'jia'qiang'er'qiang'ma'fei'tong 盐酸环丙甲羟二羟吗啡酮
'yan'suan'huan'ding'shen'shang'xian'su 盐酸环丁肾上腺素
'yan'suan'huan'lv'gua 盐酸环氯胍
'yan'suan'huang'an'mi'long 盐酸磺胺米隆
'yan'suan'jia'ji'duo'ba 盐酸甲基多巴
'yan'suan'jia'pai'ka'yin 盐酸甲哌卡因
'yan'suan'jia'yang'lv'pu'an 盐酸甲氧氯普胺
'yan'suan'jia'zhi 烟酸甲酯
'yan'suan'jia'zuo'chun 盐酸甲唑醇
'yan'suan'ka'la'mei'fen 盐酸卡拉美芬
'yan'suan'ka'pi'pa'ming 盐酸卡匹帕明
'yan'suan'ka'ti'luo'er 盐酸卡替洛尔
'yan'suan'ke'li'mi'zuo 盐酸克立咪唑
'yan'suan'kui'ning 盐酸奎宁
'yan'suan'lao'ka'ni 盐酸劳卡尼
'yan'suan'le'ka'di'ping 盐酸乐卡地平
'yan'suan'li'tuo'jun 盐酸利托君
'yan'suan'liu'li'da'qin 盐酸硫利达嗪
'yan'suan'lu'fan'qun 盐酸卤泛群
'yan'suan'luo'sha'ping 盐酸洛沙平
'yan'suan'lv'bi'la'min 盐酸氯吡拉敏
'yan'suan'lv'ding'ti'nuo 盐酸氯丁替诺
'yan'suan'lv'gua 盐酸氯胍
'yan'suan'lv'pai'sai'dun 盐酸氯哌噻吨
'yan'suan'lv'pai'zuo'tong 盐酸氯哌唑酮
'yan'suan'lv'pu'sai'dun 盐酸氯普噻吨
'yan'suan'ma'fei'a'tuo'pin 盐酸吗啡阿托品
'yan'suan'ma'lin'huan'su 盐酸吗啉环素
'yan'suan'ma'pai'li'ding 盐酸吗哌利定
'yan'suan'ma'yin'tong 盐酸吗茚酮
'yan'suan'mao'guo'yun'xiang'jian 盐酸毛果芸香碱
'yan'suan'mei'bei'wei'lin 盐酸美贝维林
'yan'suan'mei'jin'gang 盐酸美金刚
'yan'suan'mei'ka'la'ming 盐酸美卡拉明
'yan'suan'mei'ke'luo'qin 盐酸美克洛嗪
'yan'suan'mei'li'qu'xin 盐酸美利曲辛
'yan'suan'mei'pu'ta'fen 盐酸美普他酚
'yan'suan'mei'tuo'tong 盐酸美托酮
'yan'suan'mi'da'pu'li 盐酸咪达普利
'yan'suan'mi'da'zuo'lun 盐酸咪达唑仑
'yan'suan'mi'na'pu'lin 盐酸米那普林
'yan'suan'mi'pa'lin 盐酸米帕林
'yan'suan'mi'tuo'gua'zong 盐酸米托胍腙
'yan'suan'mo'xi'sha'xing 盐酸莫西沙星
'yan'suan'na'bu'fei 盐酸纳布啡
'yan'suan'na'ke'ding 盐酸那可丁
'yan'suan'ni'fei'ka'lan 盐酸尼菲卡兰
'yan'suan'ni'ke'ma'fei 盐酸尼可吗啡
'yan'suan'nuo'fu'sha'xing 盐酸诺氟沙星
'yan'suan'pa'ji'lin 盐酸帕吉林
'yan'suan'pi'an'xi'lin 盐酸匹氨西林
'yan'suan'pi'kao'pai'lin 盐酸匹考哌林
'yan'suan'pi'mei'xi'lin 盐酸匹美西林
'yan'suan'pu'lu'tuo'chun 盐酸普鲁托醇
'yan'suan'pu'luo'fen'an 盐酸普罗吩胺
'yan'suan'pu'luo'ma'zhi 盐酸普罗吗酯
'yan'suan'pu'nuo'di'qin 盐酸普诺地嗪
'yan'suan'qiang'gu'an 盐酸羟钴胺
'yan'suan'qiang'kao'tong 盐酸羟考酮
'yan'suan'qing'kao'tong 盐酸氢考酮
'yan'suan'qing'ma'fei'tong 盐酸氢吗啡酮
'yan'suan'qing'mei'an 盐酸青霉胺
'yan'suan'qing'pu'la'ming 盐酸氢普拉明
'yan'suan'qiu'yi'an 盐酸巯乙胺
'yan'suan'qu'en'ting 盐酸曲恩汀
'yan'suan'qu'jia'ti'lin 盐酸去甲替林
'yan'suan'qu'mei'bian'an 盐酸曲美苄胺
'yan'suan'qu'ta'wei'lin 盐酸屈他维林
'yan'suan'qu'tuo'kui'fen 盐酸曲托喹酚
'yan'suan'rong'jun'mei 盐酸溶菌酶
'yan'suan'sai'ke'li'ming 盐酸赛克立明
'yan'suan'san'fu'bing'qin 盐酸三氟丙嗪
'yan'suan'sha'ge'lei'zhi 盐酸沙格雷酯
'yan'suan'shan'lang'dang'jian 盐酸山莨菪碱
'yan'suan'shen'shang'xian'su 盐酸肾上腺素
'yan'suan'shen'shang'xian'tong 盐酸肾上腺酮
'yan'suan'shi'de'ning 盐酸士的宁
'yan'suan'shi'suan'jian 盐酸石蒜碱
'yan'suan'shuang'jing'qu'qin 盐酸双肼屈嗪
'yan'suan'shuang'qing'kui'ni'ding 盐酸双氢奎尼丁
'yan'suan'si'mi'zuo 盐酸四咪唑
'yan'suan'si'qing'zuo'lin 盐酸四氢唑林
'yan'suan'song'qi'la'min 盐酸松齐拉敏
'yan'suan'ta'luo'xi'ming 盐酸他洛昔明
'yan'suan'tan'suo'luo'xin 盐酸坦索罗辛
'yan'suan'ti'luo'long 盐酸替洛隆
'yan'suan'ti'nuo'li'ding 盐酸替诺立定
'yan'suan'ti'tuo'ni'ding 盐酸替托尼定
'yan'suan'tou'bao'ta'mei 盐酸头孢他美
'yan'suan'tu'gen'fen'jian 盐酸吐根酚碱
'yan'suan'tuo'bo'ti'kang 盐酸托泊替康
'yan'suan'tuo'pu'pa'min 盐酸托普帕敏
'yan'suan'xi'bing'luo'er 盐酸烯丙洛尔
'yan'suan'xi'bing'ma'fei 盐酸烯丙吗啡
'yan'suan'xi'mi'ti'ding 盐酸西咪替丁
'yan'suan'xi'ni'er'an 盐酸西尼二胺
'yan'suan'xi'si'ge'ding 盐酸希司咯定
'yan'suan'xi'tuo'wo 盐酸西托肟
'yan'suan'xiao'nuo'mei'su 盐酸小诺霉素
'yan'suan'xiao'xuan'shan'lang'dang'jian 盐酸消旋山莨菪碱
'yan'suan'xie'geng'xi'luo'wei 盐酸缬更昔洛韦
'yan'suan'xin'ke'ka'yin 盐酸辛可卡因
'yan'suan'xin'ke'ning 盐酸辛可宁
'yan'suan'xiu'ma'qin 盐酸溴马秦
'yan'suan'yang'dan'jie 盐酸氧氮芥
'yan'suan'yang'xi'luo'er 盐酸氧烯洛尔
'yan'suan'yi'ben'e'ding 盐酸乙苯恶啶
'yan'suan'yi'bian'hai'ming 盐酸乙苄海明
'yan'suan'yi'bing'qin'shang'feng'zhi'ke'tang'jiang 盐酸异丙嗪伤风止咳糖浆
'yan'suan'yi'ke'li'ding 盐酸异可利定
'yan'suan'yi'mi'ding 盐酸依米丁
'yan'suan'yi'ti'ka'yin 盐酸依替卡因
'yan'suan'yi'xi'pen'di 盐酸异西喷地
'yan'suan'yi'xian'luo'sha'ti'ding 盐酸乙酰罗沙替丁
'yan'suan'yi'yi'ding'qin 盐酸乙异丁嗪
'yan'suan'yi'zhi 烟酸乙酯
'yan'suan'yin'luo'qin 盐酸茚洛秦
'yan'suan'yin'zuo'lin 盐酸茚唑林
'yan'suan'you'bian'ti'mi'te 盐酸右苄替米特
'yan'suan'you'bing'yang'fen 盐酸右丙氧芬
'yan'suan'you'mei'sha'fen 盐酸右美沙芬
'yan'suan'yu'heng'bin 盐酸育亨宾
'yan'suan'zi'mei'su 盐酸紫霉素
'yan'suan'zu'an 盐酸组胺
'yan'suan'zu'an'suan'dan'shui'he'wu 盐酸组氨酸单水合物
'yan'suan'zuo'bi'tan 盐酸唑吡坦
'yan'suan'zuo'ka'ba'si'ting 盐酸左卡巴斯汀
'yan'tong'shu'gao 炎痛舒膏
'yan'xiao'di'na'er 炎消迪娜儿
'yan'yan'qing 咽炎清
'yan'you 艳友
'yan'zhi'dan 延枳丹
'yan'zhi'hong 胭脂红
'yang'can'bao'fei 洋参保肺
'yang'can'yi'shen 阳参益肾
'yang'chun 阳春
'yang'chun'yu 阳春玉
'yang'dan 羊胆
'yang'dan'jie 氧氮芥
'yang'dan'shui 羊胆水
'yang'di'huang 洋地黄
'yang'fei 养肺
'yang'fu'sha'xing'gan'lu'chun 氧氟沙星甘露醇
'yang'gan'hai'jing 养肝还睛
'yang'gan'ming'mu 养肝明目
'yang'gan'ming'mu 羊肝明目
'yang'gan'yi'shen 养肝益肾
'yang'he'jie'ning 阳和解凝
'yang'he'wan 阳和丸
'yang'hua'gai 氧化钙
'yang'hua'ke'dai'yin 氧化可待因
'yang'hua'qian 氧化铅
'yang'hua'xian'wei'su 氧化纤维素
'yang'hua'xin'liu 氧化锌硫
'yang'hua'xin'sheng'hua'liu 氧化锌升华硫
'yang'huo'san'chuan 羊藿三川
'yang'huo'san'qi 羊藿三七
'yang'jiao'niu'gan 羊角拗苷
'yang'ming'bao 养命宝
'yang'qing'hua'gong 氧氰化汞
'yang'rong 养荣
'yang'rong'bai'cao 养荣百草
'yang'shen 洋参
'yang'shen'chong'cao'yi'shen 洋参虫草益肾
'yang'shen'gui'ling 洋参龟灵
'yang'shen'huo'xue 养肾活血
'yang'shen'wu'jia 洋参五加
'yang'sheng 养升
'yang'wei 养胃
'yang'wei'ning 养胃宁
'yang'wei'shu 养胃舒
'yang'xian'feng 羊痫疯
'yang'xian'feng'dian 羊痫疯癫
'yang'xin 养心
'yang'xin'an'mian 养心安眠
'yang'xin'an'shen 养心安神
'yang'xin'ding'ji 养心定悸
'yang'xin'ning'shen 养心宁神
'yang'xin'sheng'mai 养心生脉
'yang'xin'shi 养心氏
'yang'xiong'long 氧雄龙
'yang'xue 养血
'yang'xue'an'shen 养血安神
'yang'xue'bu'shen 养血补肾
'yang'xue'dang'gui 养血当归
'yang'xue'gu'ben 养血固本
'yang'xue'qing'nao 养血清脑
'yang'xue'rong'fa 养血荣发
'yang'xue'rong'jin 养血荣筋
'yang'xue'sheng'fa 养血生发
'yang'xue'tiao'jing 养血调经
'yang'xue'yin 养血饮
'yang'xue'yu'feng 养血愈风
'yang'yan 养妍
'yang'yin'hu'chi 养阴护齿
'yang'yin'jiang'tang 养阴降糖
'yang'yin'jiang'ya 养阴降压
'yang'yin'kou'xiang 养阴口香
'yang'yin'qing'fei 养阴清肺
'yang'yin'qing'wei 养阴清胃
'yang'yin'sheng'xue 养阴生血
'yang'yin'tong'mi 养阴通秘
'yang'yin'zhen'jing 养阴镇静
'yang'zheng 养正
'yang'zheng'xiao'ji 养正消积
'yang'zhi'cha 养志茶
'yao'bi'tong 腰痹通
'yao'shen 腰肾
'yao'su'ying'yang 要素营养
'yao'teng 腰疼
'yao'tong 腰痛
'yao'tong'ning 腰痛宁
'yao'tui'tong 腰腿痛
'yao'xi'tong 腰息痛
'yao'yong'quan'ji'dian'fen 药用醛基淀粉
'yao'yong'song'jie'you 药用松节油
'yao'yong'yin'zi'se'gao 药用印字色膏
'yao'zhi'gan'lan 药制橄榄
'yao'zhi'gui'ling 药制龟苓
'yao'zhui'bi'tong 腰椎痹痛
'ye'bai'he'jian 野百合碱
'ye'dian'jian 野靛碱
'ye'ge 噎膈
'ye'jin'pai'shi 叶金排石
'ye'lu'zhi'ke 椰露止咳
'ye'ma'zhui 野马追
'ye'mu'dan'zhi'li 野牡丹止痢
'ye'mu'gua 野木瓜
'ye'ning 夜宁
'ye'ping'liao 液平疗
'ye'shan'hua 野山花
'ye'su 野苏
'ye'suan'na 叶酸钠
'ye'suan'wei 叶酸维
'ye'xia'zhu 叶下珠
'ye'you'zhi 椰油脂
'yi'an'bi'qin'li'fu'yi'yan 乙胺吡嗪利福异烟
'yi'bai'niao'tong 益白尿通
'yi'ben'e'ding 乙苯恶啶
'yi'ben'tuo'pin 乙苯托品
'yi'ben'tuo'ying 乙苯妥英
'yi'bi 益鼻
'yi'bian 易便
'yi'bian'hai'ming 乙苄海明
'yi'bing'bi'lun 异丙吡仑
'yi'bing'dong'jian 异丙东碱
'yi'bing'qin'dan'zhi 异丙嗪胆汁
'yi'bing'tuo'pin 异丙托品
'yi'bing'wu'nuo'qian'lie'tong 异丙乌诺前列酮
'yi'bing'xi'lin 异丙西林
'yi'bing'xi'lin'jia 异丙西林钾
'yi'bu'li 益补力
'yi'can 薏参
'yi'can 蚁参
'yi'can'hu'gan 蚁参护肝
'yi'chen'gu'se 蚁陈固涩
'yi'da'bi'xing 伊达比星
'yi'dan 益胆
'yi'dan'shu 胰胆舒
'yi'dan'yan 胰胆炎
'yi'di'suan 依地酸
'yi'dian'you 乙碘油
'yi'ding'shen 异丁肾
'yi'er'an 乙二胺
'yi'er'huang'suan'ka'la'mei'fen 乙二磺酸卡拉美芬
'yi'fei 益肺
'yi'fei'jian'pi 益肺健脾
'yi'fei'qing'hua 益肺清化
'yi'fei'ta'ming 乙非他明
'yi'fei'zhi'ke 益肺止咳
'yi'fen'an 乙芬胺
'yi'fen'lv'an 依酚氯铵
'yi'fu 异福
'yi'fu'di'sai'mi'song 乙呋地塞米松
'yi'fu'kang 伊扶康
'yi'fu'lin 异氟磷
'yi'fu'ning 一服宁
'yi'fu'xian'an 异福酰胺
'yi'fu'zhi'xue 益妇止血
'yi'gai'ling 益钙灵
'yi'gan 益肝
'yi'gan'bao 乙肝宝
'yi'gan'chu'shi 益肝除湿
'yi'gan'fu'zheng 乙肝扶正
'yi'gan'hu'zheng 乙肝护正
'yi'gan'huo'xue'ming'mu 益肝活血明目
'yi'gan'jian 乙肝健
'yi'gan'jie'du 乙肝解毒
'yi'gan'jie'du 益肝解毒
'yi'gan'le 宜肝乐
'yi'gan'le 益肝乐
'yi'gan'ling 乙肝灵
'yi'gan'ling 益肝灵
'yi'gan'ming'mu 益肝明目
'yi'gan'ning 乙肝宁
'yi'gan'qing're'jie'du 乙肝清热解毒
'yi'gan'shu'kang 乙肝舒康
'yi'gan'yang'yin'huo'xue 乙肝养阴活血
'yi'gan'yi'qi'jie'yu 乙肝益气解郁
'yi'gong'ning'xue 益宫宁血
'yi'he'chun 颐和春
'yi'huan'li'ding 乙环利定
'yi'huang'suan'pi'mi'nuo'ding 乙磺酸匹米诺定
'yi'huang'tong'luo 蚁黄通络
'yi'huang'zhang'su 异黄樟素
'yi'ji'xiang'cao'quan 乙基香草醛
'yi'jia'sai'ding 乙甲噻丁
'yi'jin'jiang'tang 益津降糖
'yi'jing 益精
'yi'ka'bei'te'na 依卡倍特钠
'yi'ka'niao 乙卡脲
'yi'kang 抑亢
'yi'kang 益康
'yi'kang'bei'song 益康倍松
'yi'kang'bu'yuan 益康补元
'yi'kang'gan'shu 益康肝舒
'yi'kang'huai'xue'suan 异抗坏血酸
'yi'kang'zuo 异康唑
'yi'ke'dian'zhi 依可碘酯
'yi'ke'li'ding 异可利定
'yi'ke'ti'niao 依克替脲
'yi'kun'ning 益坤宁
'yi'la'di'ping 伊拉地平
'yi'la'xi'tan 乙拉西坦
'yi'lang'dang'ting 异莨菪亭
'yi'li'jiang'ya 伊丽降压
'yi'li'luo'di 依利罗地
'yi'li'tuo 易理妥
'yi'li'zhi'tong 一粒止痛
'yi'liang'ji'gan 异两肌苷
'yi'liu'qing'suan'ying'guang'su 异硫氰酸荧光素
'yi'liu'yi'yan'an 乙硫异烟胺
'yi'lu'ka'yin 依鲁卡因
'yi'luo'qian'lie'su 伊洛前列素
'yi'lv'er'fu'jia'wan 一氯二氟甲烷
'yi'lv'er'fu'yi'wan 一氯二氟乙烷
'yi'lv'wei'nuo 乙氯维诺
'yi'ma'da'zheng'hong'hua'you 依马打正红花油
'yi'ma'lu'ding 乙吗芦丁
'yi'mai'kang 益脉康
'yi'mei'sha'tong 异美沙酮
'yi'mei'ting 异美汀
'yi'mi'an'zhi 依米氨酯
'yi'mi'mei 胰糜酶
'yi'mi'ni'er 异米尼尔
'yi'mi'su 胰泌素
'yi'mo'fa'zong 依莫法宗
'yi'mu 益母
'yi'mu'kang 益母康
'yi'mu'tiao'jing 益母调经
'yi'nao 益脑
'yi'nao'fu'jian 益脑复健
'yi'nao'ning 益脑宁
'yi'nao'su 益脑素
'yi'nao'xin 益脑心
'yi'niao'ting 遗尿停
'yi'nuo 益诺
'yi'nuo'fa 依诺伐
'yi'nuo'qi 乙诺奇
'yi'pi'kang 乙匹康
'yi'pi'pai'ding 依匹哌啶
'yi'pi'si'ting 依匹斯汀
'yi'pi'zhuang'shen 益脾壮身
'yi'pi'zuo 依匹唑
'yi'qi'an'shen 益气安神
'yi'qi'bu'shen 益气补肾
'yi'qi'bu'xue 益气补血
'yi'qi'cong'ming 益气聪明
'yi'qi'fu'mai 益气复脉
'yi'qi'gu'shen 益气固肾
'yi'qi'huo'xue 益气活血
'yi'qi'jian'pi 益气健脾
'yi'qi'liu'jun 益气六君
'yi'qi'qiang'shen 益气强身
'yi'qi'qu'tan 益气祛痰
'yi'qi'run'chang 益气润肠
'yi'qi'sheng'jin'jiang'tang 益气生津降糖
'yi'qi'shu'gan 益气舒肝
'yi'qi'tang'kang 益气糖康
'yi'qi'ti'shen 益气提神
'yi'qi'wei'xue 益气维血
'yi'qi'wen'yang 益气温阳
'yi'qi'xiao'ke 益气消渴
'yi'qi'yang'xin 益气养心
'yi'qi'yang'xue 益气养血
'yi'qi'yang'yin 益气养阴
'yi'qi'yang'yuan 益气养元
'yi'qi'zeng'ru 益气增乳
'yi'qi'zhi'xue 益气止血
'yi'qian'lie'chun 依前列醇
'yi'qian'lie'chun'na 依前列醇钠
'yi'qing 一清
'yi'que'nuo'tong 异炔诺酮
'yi'sao'guang 一扫光
'yi'se'an 乙色胺
'yi'se'gan'suan'na 异色甘酸钠
'yi'shen 益肾
'yi'shen 颐神
'yi'shen'an'shen 益肾安神
'yi'shen'bu'gu 益肾补骨
'yi'shen'jian'gu 益肾健骨
'yi'shen'juan'bi 益肾蠲痹
'yi'shen'kang 益肾康
'yi'shen'ling 益肾灵
'yi'shen'ling 益身灵
'yi'shen'ning 益神宁
'yi'shen'qiang'shen 益肾强身
'yi'shen'sheng'fa 益肾生发
'yi'shen'shi'qi'wei 益肾十七味
'yi'shen'wei'ke 怡神唯克
'yi'shen'wu'fa 益肾乌发
'yi'shen'xiao'ke 益肾消渴
'yi'shen'xiao'zhong 益肾消肿
'yi'shen'xing'yang 益肾兴阳
'yi'shen'yang'yuan 益肾养元
'yi'shen'zhuang'gu 益肾壮骨
'yi'sheng'zheng'qi 颐生正气
'yi'shi 益视
'yi'shou'da'bu 益寿大补
'yi'shou'ning 益寿宁
'yi'shou'qiang'shen 益寿强身
'yi'shuang'ma'lin 乙双吗啉
'yi'shuang'xiang'dou'su 乙双香豆素
'yi'shui'tan'suan'na 一水碳酸钠
'yi'suan'que'nuo'tong'jia'que'ci'chun 乙酸炔诺酮加炔雌醇
'yi'sui 益髓
