'an'hai'jing'shi 暗海晶石
'mo'di'chuan'song'men'kuang'jia 末地传送门框架
'mo'di'shi 末地石
'mo'di'zhu 末地烛
'mo'lu'zhi'di 末路之地
'mo'ying'long 末影龙
'mo'ying'shui'jing 末影水晶
'mo'ying'xiang 末影箱
'mo'ying'zhen'zhu 末影珍珠
'mo'ying'zhi'yan 末影之眼
'mo'zhi'an'shan'yan 磨制安山岩
'mo'zhi'hua'gang'yan 磨制花岗岩
'mo'zhi'shan'chang'yan 磨制闪长岩
'mo'zhi'shen'ban'yan 磨制深板岩
'mu'se'sen'lin 暮色森林
'na'jia 娜迦
'nai'jiu 耐久
'nan'gua'deng 南瓜灯
'nan'gua'geng 南瓜梗
'ni'tu'tai'jie 泥土台阶
'nian'tu'kuai 粘土块
'nian'xing'huo'sai 粘性活塞
'nian'ye'kuai 粘液块
'niang'zao'tai 酿造台
'ning'hui'yan 凝灰岩
'pa'xing'zhe'de'tou 爬行者的头
'pang'guan'mo'shi 旁观模式
'pang'guan'zhe'mo'shi 旁观者模式
'pen'jian'xing 喷溅型
'pin'hong'se'yang'mao 品红色羊毛
'ping'hua'sha'shi 平滑沙石
'ping'hua'shi 平滑石
'qi'zhi'tu'an 旗帜图案
'qiang'duo 抢夺
'qiao'chi 鞘翅
'qing'jin'shi 青金石
'qing'jin'shi'kuai 青金石块
'qing'jin'shi'kuang'shi 青金石矿石
'qing'se'yang'mao 青色羊毛
'qu'mo 祛魔
'qu'pi'bai'hua'yuan'mu 去皮白桦原木
'qu'pi'cong'lin'yuan'mu 去皮丛林原木
'qu'pi'fei'hong'jun'he 去皮绯红菌核
'qu'pi'gui'yi'jun'he 去皮诡异菌核
'qu'pi'he'jin'huan'yuan'mu 去皮合金欢原木
'qu'pi'shen'se'xiang'mu'yuan'mu 去皮深色橡木原木
'qu'pi'xiang'mu'yuan'mu 去皮橡木原木
'qu'pi'yun'shan'yuan'mu 去皮云杉原木
'ran'se'mu'ban 染色木板
'ran'se'nian'tu 染色粘土
'ran'shao'de'rong'lu 燃烧的熔炉
'sha'li 沙砾
'sha'li 砂砾
'sha'mo'shen'dian 沙漠神殿
'sha'shi 沙石
'sha'tu 砂土
'shan'chang'yan 闪长岩
'shan'shuo'de'xi'gua'pian 闪烁的西瓜片
'shang'hai'yao'shui 伤害药水
'shang'suo'de'xiang'zi 上锁的箱子
'shen'ban'yan 深板岩
'shen'ban'yan'yuan'shi 深板岩圆石
'shen'ceng'hong'shi'kuang'shi 深层红石矿石
'shen'ceng'jin'kuang'shi 深层金矿石
'shen'ceng'lv'bao'shi'kuang'shi 深层绿宝石矿石
'shen'ceng'mei'kuang'shi 深层煤矿石
'shen'ceng'qing'jin'shi'kuang'shi 深层青金石矿石
'shen'ceng'tie'kuang'shi 深层铁矿石
'shen'ceng'tong'kuang'shi 深层铜矿石
'shen'ceng'zuan'shi'kuang'shi 深层钻石矿石
'shen'gui'yao'shui 神龟药水
'shen'hai'tan'suo'zhe 深海探索者
'shen'se'xiang'mu 深色橡木
'shen'se'xiang'mu'mu'ban 深色橡木木板
'shen'se'xiang'mu'yuan'mu 深色橡木原木
'sheng'cun'ce'shi 生存测试
'sheng'cun'mo'shi 生存模式
'shi'cai'qie'ge'ji 石材切割机
'shi'hai'mian 湿海绵
'shi'huo'shan'hu 失活珊瑚
'shi'huo'shan'hu'kuai 失活珊瑚块
'shi'jie'bian'jie 世界边界
'shi'jie'jie'xian 世界界限
'shi'ying'kuai 石英块
'shi'yong'fang'kuai 实用方块
'shi'yun 时运
'shi'zhuan 石砖
'shu'wen'shi'ying'kuai 竖纹石英块
'shua'guai'xiang 刷怪箱
'shuai'luo'bao'hu 摔落保护
'shui'xia'hu'xi 水下呼吸
'shui'xia'su'jue 水下速掘
'tai'shi 苔石
'tai'shi'zhuan 苔石砖
'tai'xian 苔藓
'tai'xian'di'tan 苔藓地毯
'tai'xian'kuai 苔藓块
'tan'ce'tie'gui 探测铁轨
'tan'she'wu'bao'hu 弹射物保护
'tiao'wen'zhi'di 条纹之地
'tie'kuai 铁块
'tie'kuang'shi 铁矿石
'tie'lan'gan 铁栏杆
'tie'li 铁粒
'tong'kuai 铜块
'tong'kuang'shi 铜矿石
'tou'zhi'qi 投掷器
'wan'sheng'jie'geng'xin 万圣节更新
'wang'ling'sha'shou 亡灵杀手
'wu'xian 无限
'wu'xian'shui'yuan 无限水源
'wu'xian'yan'jiang'yuan 无限岩浆源
'wu'yao'wang 巫妖王
'xi'gua'geng 西瓜梗
'xi'mie'de'hong'shi'huo'ba 熄灭的红石火把
'xia'jie 下界
'xia'jie'chuan'song'men'fang'kuai 下界传送门方块
'xia'jie'fan'ying'he 下界反应核
'xia'jie'he'jin'kuai 下界合金块
'xia'jie'he'jin'sui'pian 下界合金碎片
'xia'jie'jin'kuang'shi 下界金矿石
'xia'jie'shi'ying'kuang'shi 下界石英矿石
'xia'jie'zhi'xing 下界之星
'xian'jing'xiang 陷阱箱
'xiang'jin'hei'shi 镶金黑石
'xiang'mu'mu'ban 橡木木板
'xiang'mu'yuan'mu 橡木原木
'xiao'lv 效率
'xiao'shi'zu'zhou 消失诅咒
'xie'dai'ban'ping'zhang 携带版屏障
'xin'biao 信标
'xu'ruo'yao'shui 虚弱药水
'xuan'wu'yan 玄武岩
'xue'kuai 雪块
'ya'li'ban 压力板
'yan'jiang'gao 岩浆膏
'yan'jiang'guai 岩浆怪
'yan'jiang'kuai 岩浆块
'yang'guang'chuan'gan'qi 阳光传感器
'yang'hua'tong'kuai 氧化铜块
'ye'shi'yao'shui 夜视药水
'yi'dong'de'huo'sai'bi 移动的活塞臂
'yin'fu'he 音符盒
'yin'lei 引雷
'ying'guang'mo'nang 荧光墨囊
'ying'guang'wu'pin'zhan'shi'kuang 荧光物品展示框
'ying'hua'nian'tu 硬化粘土
'ying'shi'fen 萤石粉
'ying'shi'kuai 萤石块
'you'kuai 疣块
'you'xi'geng'xin'fang'kuai 游戏更新方块
'you'zhu'shou 疣猪兽
'yuan'gu'can'hai 远古残骸
'yuan'shi 圆石
'yuan'shi'qiang 圆石墙
'yun'sha'mu 云杉木
'yun'shan'mu'ban 云杉木板
'yun'shan'yuan'mu 云杉原木
'yun'shu'kuang'che 运输矿车
'zai'e'qi'zhi 灾厄旗帜
'zan'zhi'sha'shi 錾制沙石
'zan'zhi'shen'ban'yan 錾制深板岩
'zan'zhi'shi'ying'kuai 錾制石英块
'zan'zhi'shi'zhuan 錾制石砖
'zha'lan'men 栅栏门
'zhan'dou'geng'xin 战斗更新
'zhao'ze'xiao'wu 沼泽小屋
'zhe'guang'bo'li 遮光玻璃
'zhen'ce'qi 侦测器
'zhi'jian'tai 制剑台
'zhi'liu'xing 滞留型
'zhi'tu'tai 制图台
'zhi'zhu'yan 蜘蛛眼
'zhong'cheng 忠诚
'zhong'ji'qi 中继器
'zhu'ling 猪灵
'zhu'ling'man'bing 猪灵蛮兵
'zhuan'kuai 砖块
'zhuan'kuai'jin'zi'ta 砖块金字塔
'zi'se'yang'mao 紫色羊毛
'zi'shui'jing'kuai 紫水晶块
'zi'shui'jing'mu'yan 紫水晶母岩
'zi'shui'jing'sui'pian 紫水晶碎片
'zi'song 紫颂
'zi'song'guo 紫颂果
'zong'se'yang'mao 棕色羊毛
'zuan'shi'kuai 钻石块
'zuan'shi'kuang'shi 钻石矿石
