'a'er'bo'te 阿尔伯特
'bao'tou'yi'ji 爆头一击
'bao'yan 爆炎
'bao'yan'dan 爆炎弹
'bao'yan'pao 爆炎炮
'bao'zao'de'tie'quan 暴躁的铁拳
'bao'zou 暴走
'bei'er'ma'er 贝尔玛尔
'bei'er'ma'er'gong'yuan 贝尔玛尔公园
'bei'ji 背击
'bei'la'te'li'ke'si 贝拉特里克斯
'bei'lie'zhong'jia'zhuan'jing 卑劣重甲专精
'bei'ming'dong'xue 悲鸣洞穴
'bei'ming'te'ke 悲鸣特科
'bei'shuai 背摔
'bei'shuai'qiang'hua 背摔强化
'bei'ya'na'dou'shen 贝亚娜斗神
'bei'zu'zhou'de'mao'yao 被诅咒的猫妖
'bei'zu'zhou'de'qian'chi 被诅咒的前齿
'beng'shan'ji 崩山击
'beng'shan'lie'di'zhan 崩山裂地斩
'bi'er'ma'ke'di'guo'shi'yan'chang 比尔马克帝国实验场
'bi'er'ma'ke'di'guo'shi'yan'chang 比尔马克帝国试验场
'bi'kai 臂铠
'bi'sha 必杀
'bi'shi'shua'ping 鄙视刷屏
'bi'yu'hu'tui 碧玉护腿
'bian'ta 鞭挞
'bing'chi'sha'fan'te 冰齿沙凡特
'bing'dong'dan 冰冻弹
'bing'dong'shou'lei 冰冻手雷
'bing'jing'ling'shi'su'ke 冰精灵史苏克
'bing'jing'shi 冰晶石
'bing'nai'si 冰奈斯
'bing'nv 冰女
'bing'qiang 冰墙
'bing'ren 冰刃
'bing'shu'xing 冰属性
'bing'shuang'ge'bu'lin 冰霜哥布林
'bing'shuang'ke'la'he 冰霜克拉赫
'bing'shuang'shi'fu'zhang 冰霜十夫长
'bing'shuang'xue'ren 冰霜雪人
'bing'shuang'you'an'mi'lin 冰霜幽暗密林
'bing'shuang'zhi'sa'ya 冰霜之萨亚
'bing'xi 冰系
'bing'xin 冰心
'bing'xin'shao'nian 冰心少年
'bing'zhi'ai'si'dun 冰之埃斯顿
'bo'dong'ban'jia'zhuan'jing 波动板甲专精
'bo'dong'bao'fa 波动爆发
'bo'dong'jian 波动剑
'bo'dong'ke'yin 波动刻印
'bo'er'lun'tao'zhuang 泊尔伦套装
'bo'jin'xing'wen'tao'zhuang 铂金星纹套装
'bo'ken 博肯
'bo'li'shou'zhuo 玻璃手镯
'bu'dong'ming'wang'zhen 不动明王阵
'bu'er'ling 布尔灵
'bu'jia 布甲
'bu'jia'jing'tong 布甲精通
'bu'lai'si 布莱斯
'bu'lan'zi 布兰兹
'bu'mie'zhi'bo'luo'ding 不灭之菠萝丁
'bu'mie'zhi'wang'xun'zhang 不灭之王勋章
'bu'qiang 步枪
'bu'qu'yi'zhi 不屈意志
'cai'jue'zhi'jia 裁决之甲
'cai'jue'zhi'jian 裁决之剑
'cai'liao 材料
'can'que'de'ge'li'ya 残缺的歌利亚
'can'sha'zhe'zhi'jian 残杀者之剑
'can'ying'jian 残影剑
'can'ying'zhi'kai'jia 残影之凯贾
'cang'ku 仓库
'cang'qiong'ci'ke 苍穹刺客
'cang'qiong'zhi'zhu 苍穹之主
'cang'tian'sheng'mang'shi'zi'jia 苍天圣芒十字架
'cha'kan'ge'ren'xin'xi 查看个人信息
'cha'li 查理
'chang'chun'teng'shou'zhuo 常春藤手镯
'chang'jiao'luo'te'si 长脚罗特斯
'chang'mao 长矛
'chen'mo'de'heng'pu'li 沉默的亨普利
'chen'xi'zhi'lu 晨曦之露
'cheng'hao 称号
'cheng'ju 橙巨
'cheng'tai 橙太
'cheng'zhu'gong'dian 城主宫殿
'cheng'zhuang 橙装
'chi'dao'sui'xing'hua'jie 赤道碎星花结
'chi'ge'bu'lin 赤哥布林
'chi'long'shou'hu'mao 赤龙守护矛
'chi're'bi'nuo'xiu 炽热彼诺修
'chi'xing'mo'he 炽星魔盒
'chong'ji'wang 冲级王
'chong'wang'lu'gu 虫王戮蛊
'chong'wu 宠物
'chong'zhi 充值
'chu'ji'mo'fa'shi'chang'pao 初级魔法师长袍
'chu'ji'mo'fa'shi'pi'jian 初级魔法师披肩
'chu'ji'mo'fa'shi'tao'zhuang 初级魔法师套装
'chu'ji'mo'fa'shi'xia'zhuang 初级魔法师下装
'chu'shi'hua 初始化
'chu'shi'hua'ji'neng 初始化技能
'chu'xu 触须
'chuan'cheng'shen'sheng'zhi'ku'bi'er'zhong'xing'tao'zhuang 传承神圣之库比尔重型套装
'chuan'cheng'shen'sheng'zhi'si'luo'ni'yang'mao'shang'yi 传承神圣之斯罗尼羊毛上衣
'chuan'cheng'shen'sheng'zhi'si'luo'ni'yang'mao'tao'zhuang 传承神圣之斯罗尼羊毛套装
'chuan'cheng'shen'sheng'zhi'si'luo'ni'yang'mao'xia'zhuang 传承神圣之斯罗尼羊毛下装
'chuan'cheng'shen'sheng'zhi'te'la'li'yang'mao'tao'zhuang 传承神圣之特拉理羊毛套装
'chuan'cheng'te'la'li'tao'zhuang 传承特拉理套装
'chuan'cheng'wu'qi 传承武器
'chuan'cheng'zhuang 传承装
'chuan'cheng'zhuang'bei 传承装备
'chuan'jia 穿甲
'chuan'jia'dan 穿甲弹
'chuan'shuo'zhong'de'xun'zhang 传说中的勋章
'chui'wang'bo'luo'ding 锤王波罗丁
'chun'bai'zhi'ren 纯白之刃
'ci'pin'xin'pian 次品芯片
'cong'lin'jiang'shi 丛林僵尸
'cong'lin'shu'jing 丛林树精
'cun'quan 寸拳
'cuo'zhe'yi'zhi 挫折意志
'da'an'hei'tian 大暗黑天
'da'bai 大白
'da'di'lao'yin'tao'zhuang 大地烙印套装
'da'di'zhu'fu'bang'tui 大地祝福绑腿
'da'di'zhu'fu'jian'jia 大地祝福肩甲
'da'di'zhu'fu'xiong'jia 大地祝福胸甲
'da'fu'ni 达芙妮
'da'ji'si 大祭司
'da'jiang'jun 大将军
'da'jiang'yi'ai 大将伊埃
'da'qiang 大枪
'da'ren'zhi'qi'yue 达人之契约
'da'shu 大叔
'dan'jia 弹夹
'dan'jia'kuo'chong 弹夹扩充
'dan'xia'kuo'chong 弹匣扩充
'dan'xiao'de'ge'bu'lin 胆小的哥布林
'dan'xiao'ge'bu'lin 胆小哥布林
'dan'yao 弹药
'dan'yao'zhu'zai 弹药主宰
'dan'yao'zhuan'jia 弹药专家
'dao'hun'zhi'ka'zan 刀魂之卡赞
'dao'ji'you'hun 盗技幽魂
'dao'shi'li'bao 导师礼包
'dao'shi'tao'zhuang 导师套装
'dao'shi'zhe'gu'yu'xi 盗尸者骨狱昔
'de'li'la 德利拉
'de'luo'si'di'guo 德罗斯帝国
'di'er'ji'zhui 第二脊椎
'di'lei'ji 堤雷基
'di'lie'bo'dong'jian 地裂波动剑
'di'xia'cheng'yu'yong'shi 地下城与勇士
'di'xia'cheng'yu'yong'shi'guan'fang'wang'zhan 地下城与勇士官方网站
'di'yi'ji'zhui 第一脊椎
'di'yu'lie'yan 地狱烈炎
'di'yu'ming'yan'zhi'zhuo 地狱冥炎之镯
'di'yu'xie'mu 地狱邪目
'dian'juan 点卷
'diao'bao'gong 碉堡工
'diao'xian'cheng 掉线城
'diao'xue 掉血
'dong'fang'gun 东方棍
'dong'jie 冻结
'dou'zhi'pi'jia'zhuan'jing 斗志皮甲专精
'dou'zhi'sui'pian 斗志碎片
'dou'zhi'zhi'ge 斗志之歌
'du'lei'yin'bao 毒雷引爆
'du'mao'wang 毒猫王
'du'mao'wang'de'du'ya 毒猫王的毒牙
'du'she'pao 毒蛇炮
'du'wang 毒王
'du'ying'zhen 毒影针
'duan'dao 短刀
'duan'jian 短剑
'duan'jian'jing'tong 短剑精通
'dui'wu'xin'xi 队伍信息
'dui'zhang 队长
'dun'fu 蹲伏
'dun'qi 钝器
'dun'qi'jing'tong 钝器精通
'duo'chong'bao'tou 多重爆头
'duo'er'fu 多尔夫
'duo'luo'de'dao'zei 堕落的盗贼
'duo'luo'de'dian'tang 堕落的殿堂
'duo'luo'qi'shi'de'shi'zi'jia 堕落骑士的十字架
'duo'ming'du'long'jian 夺命毒龙剑
'duo'ni'er 多尼尔
'e'lei 恶雷
'e'lei'qin'yue'chang'xue 恶雷擒月长靴
'e'lei'qin'yue'hu'jian 恶雷擒月护肩
'e'lei'qin'yue'hu'tui 恶雷擒月护腿
'e'lei'qin'yue'xiong'jia 恶雷擒月胸甲
'e'lei'qin'yue'yao'dai 恶雷擒月腰带
'e'wai'shang'hai 额外伤害
'er'dao'liu 二刀流
'fa'luo'wan 法罗湾
'fa'qu 法驱
'fa'zhang 法杖
'fan'hui'cheng'zhen 返回城镇
'fan'pai 翻牌
'fang'kuai 方块
'fei'long'huan'ying'gun 飞龙幻影棍
'fei'tuo'li 菲托利
'fei'yi'shou'qiang 飞翼手枪
'fen'ju 粉巨
'fen'se'zhuang'bei 粉色装备
'fen'shen 分身
'fen'tai 粉太
'fen'zhuang 粉装
'feng'bao 风暴
'feng'hua'de'sui'gu 风化的碎骨
'feng'kuang'dao'zei'tuan 疯狂盗贼团
'feng'kuang'nv'dao'zei 疯狂女盗贼
'feng'kuang'tu'lu 疯狂屠戮
'feng'kuang'yi'fan 疯狂伊凡
'feng'kuang'yi'fan'shang'xiao 疯狂伊凡上校
'feng'li'de'jian'ci 锋利的尖刺
'feng'li'de'lang'ya 锋利的狼牙
'feng'shen'ying'yue'gun 风神映月棍
'feng'yin'jie'chu 封印解除
'feng'zhen 风振
'feng'zhi'qi'xi 风之气息
'feng'zhi'wo'su 风之涡苏
'fu'chong 俯冲
'fu'chou'ling'hun'zhi'dao 复仇灵魂之刀
'fu'chou'zhe 复仇者
'fu'hu'ba'wang'quan 伏虎霸王拳
'fu'huo'bi 复活币
'fu'jian 福建
'fu'kong 浮空
'fu'kong'chan 浮空铲
'fu'kong'dan 浮空弹
'fu'quan 腹拳
'fu'wu'qi'la'ba 服务器喇叭
'fu'zhi'qu'zhu'zhe 斧之驱逐者
'gai'ban 改版
'gai'bo'jia'zhi'quan 盖波加之拳
'gai'liang 改良
'gan'dian 感电
'gan'dian'shou'lei 感电手雷
'gan'rao'fa'she'qi 干扰发射器
'gang'jin'tie'gu 钢筋铁骨
'gang'tie'ren'ou'shi 钢铁人偶师
'gang'tie'ren'xing'shi 钢铁人形师
'gang'tie'shi'ju'ren 钢铁石巨人
'gao'shi 锆石
'ge'bu'lin 哥布林
'ge'bu'lin'de'hu'xu 哥布林的胡须
'ge'bu'lin'de'mao'pi 哥布林的毛皮
'ge'bu'lin'de'shou'gu 哥布林的手骨
'ge'bu'lin'mao'pi 哥布林毛皮
'ge'bu'lin'tou'zhi'bing 哥布林投掷兵
'ge'bu'lin'tou'zhi'shi'fu'zhang 哥布林投掷十夫长
'ge'bu'lin'tu'ji'dui 哥布林突击队
'ge'bu'lin'zong'he'li'wu'tao'zhuang 哥布林综合礼物套装
'ge'dang 格挡
'ge'dou'jia 格斗家
'ge'dou'tian'wang 格斗天王
'ge'la'en 格拉恩
'ge'la'en'bu'er'ling'de'jiu'jia'ke 格拉恩布尔灵的旧夹克
'ge'la'ka 格拉卡
'ge'la'ka'de'wu'gu 格拉卡的五谷
'ge'lan'di'si 歌兰蒂斯
'ge'lan'zhi'sen 格兰之森
'ge'lei'an'de'zhan'gun 格雷安的战棍
'ge'lin'ji'qiang 格林机枪
'gen'jing 根茎
'gong'gao'lan 公告栏
'gong'ji 攻击
'gong'ji'su'du 攻击速度
'gou'mai 购买
'gou'quan'zhui'ji 勾拳追击
'gu'fen 骨粉
'gu'gu'lai'en'de'shi'jing'tu'teng 古古莱恩的石晶图腾
'gu'gu'lai'en'shan'yao 古古莱恩闪耀
'gu'jie 骨戒
'gu'lao'de'tian'kong'tao'zhuang 古老的天空套装
'gu'teng 蛊藤
'guan'wang 官网
'guang'fu'zhou 光符咒
'guang'jian 光剑
'guang'jian'jing'tong 光剑精通
'guang'jian'zhang'wo 光剑掌握
'guang'shu'xing 光属性
'guang'xi 光系
'guang'zhi'bing'ren 光之兵刃
'guang'zhi'cheng'zhu'sai'ge'ha'te 光之城主赛格哈特
'guang'zhi'qin'he 光之亲和
'guang'zhi'wo'de'ge'si 光之沃德咯斯
'guang'zhi'wu'shou'zhuo 光之舞手镯
'gui'hun 鬼魂
'gui'jian'shi 鬼剑士
'gui'qi 鬼泣
'gui'yin'sha 鬼印杀
'gui'yin'zhu 鬼印珠
'gui'ying'bu 鬼影步
'gui'ying'shan 鬼影闪
'gui'zhan 鬼斩
'gun'bang 棍棒
'gun'bang'jing'tong 棍棒精通
'ha'mu'lin 哈穆林
'hai'de 骇德
'hai'lan'bao'shi 海蓝宝石
'han'bing'hu 寒冰虎
'han'bing'ren'xing'shi'sha'du 寒冰人形师沙杜
'han'guang'zhan'yan'jian 含光斩岩剑
'han'qi'jie'jing 寒气结晶
'hao'you 好友
'he'de'er 赫德尔
'he'dun'ma'er 赫顿玛尔
'he'dun'ma'er'gui'zu'bu'xie 赫顿玛尔贵族布鞋
'he'dun'ma'er'gui'zu'chang'pao 赫顿玛尔贵族长袍
'he'dun'ma'er'gui'zu'pi'jian 赫顿玛尔贵族披肩
'he'dun'ma'er'gui'zu'shi'dai 赫顿玛尔贵族饰带
'he'dun'ma'er'gui'zu'tao'zhuang 赫顿玛尔贵族套装
'he'dun'ma'er'gui'zu'xia'zhuang 赫顿玛尔贵族下装
'he'er'de 赫尔德
'he'ji 合击
'he'lun'huang'di'de'yin'zhang 赫伦皇帝的印章
'hei'an'mao'yao 黑暗猫妖
'hei'an'xuan'lang 黑暗玄廊
'hei'bai 黑白
'hei'lian 黑莲
'hei'long'ji'xing 黑龙汲星
'hei'mei'gui'te'gong'dui 黑玫瑰特工队
'hei'mei'gui'te'zhong'zhan'dui 黑玫瑰特种战队
'hei'se'da'jing'ti 黑色大晶体
'hei'se'xiao'jing'kuai 黑色小晶块
'hei'yao'shi 黑曜石
'hei'ying'de'wu'zhi 黑硬的物质
'hei'ying'jie'jing 黑硬结晶
'hei'ying'wu'zhi 黑硬物质
'hei'yu 黑鱼
'hei'yue 黑月
'hei'zuan 黑钻
'hong'bao'dan 轰爆弹
'hong'la'ba 红喇叭
'hong'se'da'jing'ti 红色大晶体
'hong'se'xiao'jing'kuai 红色小晶块
'hong'yan 红眼
'hong'yao'shui 红药水
'hong'yu 红鱼
'hou'tiao'zhan 后跳斩
'hu'pi'tao'zhuang 虎皮套装
'hu'xi 虎袭
'hua'mo 化魔
'huan'man'yu'he 缓慢愈合
'huan'ying'bao'sui 幻影爆碎
'huan'ying'hua'shen 幻影化身
'huan'ying'jian'wu 幻影剑舞
'huang'hun'zhi'chuan'dao'shi 黄昏之传道师
'huang'jin'ka'pai 黄金卡牌
'huang'jin'sheng'can 黄金圣餐
'huang'jin'shi'ju'ren 黄金石巨人
'huang'jin'shi'tou'ju'ren 黄金石头巨人
'huang'jin'yao'shi'pu'la'ta'ni 黄金妖使普拉塔尼
'huang'jin'zhan'shi'yao'dai 黄金战士腰带
'huang'long'yan'yue 煌龙偃月
'huang'tong'jian'ci'tao'zhuang 黄铜尖刺套装
'hui'bi 回避
'hui'bi'lv 回避率
'hui'fu 恢复
'hui'mo 回魔
'hui'tou'yi'ji 回头一击
'hui'xing'si'chou'tao'zhuang 彗星丝绸套装
'hui'xuan'jiao 回旋脚
'hui'xuan'ti 回旋踢
'hun'jing 魂晶
'hun'luan 混乱
'huo'de 获得
'huo'guan 火罐
'huo'nv 火女
'huo'qiang 火枪
'huo'shu'xing 火属性
'huo'xi 火系
'huo'xi'yi'pi'tao'zhuang 火蜥蜴皮套装
'huo'yan'e'mo'de'yao'qing'han 火焰恶魔的邀请函
'huo'yan'ge'bu'lin 火焰哥布林
'huo'yan'long'tou'pao 火焰龙头炮
'huo'yan'long'xi'sai'lun 火焰龙息塞仑
'huo'yan'shi 火焰石
'huo'yan'shi'fu'zhang 火焰十夫长
'huo'yan'zhi'po'mo'shi 火焰之破魔石
'ji'bing'sheng'yan 极冰盛宴
'ji'e'de'jiang'shi 饥饿的僵尸
'ji'e'jiang'shi 饥饿僵尸
'ji'guang'pao 激光炮
'ji'hun'qi'ri 寂魂祈日
'ji'jing'cheng 寂静城
'ji'jing'ling'hun'chang'xue 寂静灵魂长靴
'ji'jing'ling'hun'hu'jian 寂静灵魂护肩
'ji'jing'ling'hun'hu'tui 寂静灵魂护腿
'ji'jing'ling'hun'xiong'jia 寂静灵魂胸甲
'ji'jing'ling'hun'yao'dai 寂静灵魂腰带
'ji'kong'xuan'feng'po 疾空旋风破
'ji'neng 技能
'ji'neng'lan 技能栏
'ji'su'ju'feng'quan 极速飓风拳
'ji'su'shan'bi 急速闪避
'ji'xie 机械
'ji'xie'bi'kai 机械臂铠
'ji'xie'fu'chou 机械复仇
'ji'xie'gai'liang 机械改良
'ji'xie'niu 机械牛
'ji'xie'shi 机械师
'ji'xie'yin'bao 机械引爆
'ji'xie'zhan'shen 机械战神
'ji'ying'shou 疾影手
'ji'zhou 极昼
'jia'bi'si'zhi'li'liang'bu'xie 伽毕斯之力量布鞋
'jia'bi'si'zhi'li'liang'hu'jian 伽毕斯之力量护肩
'jia'bi'si'zhi'li'liang'shang'yi 伽毕斯之力量上衣
'jia'bi'si'zhi'li'liang'tao'zhuang 伽毕斯之力量套装
'jia'bi'si'zhi'li'liang'xia'zhuang 伽毕斯之力量下装
'jia'bi'si'zhi'li'liang'yao'dai 伽毕斯之力量腰带
'jia'dian 加点
'jia'er 加尔
'jia'ni'sa'shen 迦尼萨神
'jia'su 加速
'jian'hun 剑魂
'jian'jing'shi 尖晶石
'jian'ren'de'chu'xu 坚韧的触须
'jian'shao 减少
'jian'xi'mo'fa'shi'tao'zhuang 见习魔法师套装
'jiang'di 降低
'jiang'su 江苏
'jiao'cha 交叉
'jiao'cha'she'ji 交叉射击
'jiao'da'zhu'jiao 教大主教
'jiao'ji'si 教祭司
'jiao'ming'yu'xin'tu'xun'zhang 教名誉信徒勋章
'jiao'shen'guan 教神官
'jiao'shui 胶水
'jiao'xin'tu 教信徒
'jiao'zhu'jiao 教主教
'jie'ba 街霸
'jie'ke'bao'dan 杰克爆弹
'jie'ke'jiang'lin 杰克降临
'jie'shou'de'ren'wu 接受的任务
'jie'tou'feng'bao 街头风暴
'jin'bi 金币
'jin'dian 金淀
'jin'diao'xiang 金雕像
'jin'ding 金锭
'jin'gang'shi 金刚石
'jin'gang'shi'tao'zhuang 金刚石套装
'jin'guan 金罐
'jin'ku 金库
'jin'shen 金身
'jin'shen'de'ding'gao 谨慎的仃高
'jing'ling'de'zhu'fu'tao'zhuang 精灵的祝福套装
'jing'ling'mu'di 精灵墓地
'jing'ling'wang 精灵王
'jing'ling'xian'ji 精灵献祭
'jing'ling'zhao'huan 精灵召唤
'jing'ling'zhi'ge 精灵之歌
'jing'ling'zhu'fu'duan'xue 精灵祝福短靴
'jing'shen 精神
'jing'ti 晶体
'jing'yan'zhi 经验值
'jiu'ba 酒吧
'jiu'guan 酒馆
'ju'bo'tao'zhuang 聚波套装
'ju'du'di'kang 剧毒抵抗
'ju'ji'qiang 狙击枪
'ju'jian 巨剑
'ju'jian'jing'tong 巨剑精通
'ju'jiao'pen'huo'qi 聚焦喷火器
'ju'jiao'pen'huo'qiang 聚焦喷火枪
'ju'jiao'zhuang'che 锯角撞车
'ju'kong'gu'yu 巨空骨鱼
'ju'ming 聚冥
'ju'ming'bang'tui 聚冥绑腿
'ju'ming'hu'jian 聚冥护肩
'ju'ming'pi'xue 聚冥皮靴
'ju'ming'tao'zhuang 聚冥套装
'ju'ming'xiong'jia 聚冥胸甲
'ju'ming'yao'dai 聚冥腰带
'ju'niu'tou'shou 巨牛头兽
'ju'shi'cao'kong'shi 巨石操控师
'ju'shu 巨鼠
'ju'shu'shou'hu'zhe'luo'ding 巨树守护者罗丁
'ju'xing'hei'zhang'yu 巨型黑章鱼
'ju'xuan'feng 巨旋风
'jue'dou'chang 决斗场
'jue'dou'zhan'ji 决斗战绩
'jue'jiang'de'ha'ni'ke 倔强的哈尼克
'jue'se'ming 角色名
'jue'sha'fu'she 绝杀蝮蛇
'jue'sha'xiang'wei'she 绝杀响尾蛇
'jue'sheng'dian 决胜点
'jue'xing 觉醒
'jue'xing'ji'neng 觉醒技能
'ka'en 卡恩
'ka'er'zha'ke 卡尔扎克
'ka'ge 卡格
'ka'kun 卡坤
'ka'kun 卡昆
'ka'kun'de'xiao'tai'dao 卡坤的小太刀
'ka'lu'ya'chang'pao 卡路亚长袍
'ka'lu'ya'di'jiao'dao'zhao'dan 卡露亚的教导照胆
'ka'lu'ya'di'xi'wang 卡路亚的希望
'ka'lu'ya'jian'jia 卡路亚肩甲
'ka'luo'she'yan 卡罗蛇眼
'ka'ni'na 卡妮娜
'ka'ni'na 卡尼娜
'ka'ni'na'de'xi'wang 卡妮娜的希望
'ka'xi'ya'si 卡西亚斯
'ka'zan'de'zu'zhou 卡赞的诅咒
'kai'guan'zhi'wang'xun'zhang 开罐之王勋章
'kai'li 凯丽
'kai'li'de'nian'ying'zuo'lun 凯丽的念影左轮
'kai'nuo'de'mao'pi 凯诺的毛皮
'kai'sa'de'yin'zhang 凯撒的印章
'kang'xing 抗性
'ke'er'dun'de'yin'zhang 克尔顿的印章
'ke'er'te'hei'zuan'feng'mang 柯尔特黑钻锋芒
'ke'lun'te 克伦特
'kong'gu'yu 空骨鱼
'kong'jiao'chui 空绞锤
'kong'tou'zhi'yuan 空投支援
'kong'zhan'da 空斩打
'kong'zhan'ji'xie 空战机械
'kong'zhong'lian'zhan 空中连斩
'kong'zhong'she'ji 空中射击
'ku'han'ke'la'he 酷寒克拉赫
'ku'la'de 库拉德
'ku'lan'de'lie'yan'jian 库兰的烈焰剑
'ku'lou'kai'en 骷髅凯恩
'ku'luo'mao'yao 库罗猫妖
'kuai'su'ba'qiang 快速拔枪
'kuang'bao'xing'wan'ju'shi'bing 狂暴型玩具士兵
'kuang'bao'zhe 狂暴者
'kuang'bao'zhong'jia'zhuan'jing 狂暴重甲专精
'kuang'long'zhi'hou 狂龙之吼
'kuang'luan'chui'ji 狂乱锤击
'kuang'mang 狂蟒
'kuang'zhan'shi 狂战士
'kuo'chong 扩充
'la'ba 喇叭
'la'luo'de'mi'shi'zhi'jie 拉罗的迷失之戒
'lan'bing'e'mo'de'yao'qing'han 蓝冰恶魔的邀请函
'lan'bing'e'mo'de'yao'qing'quan 蓝冰恶魔的邀请券
'lan'bing'wan'yue'jian 蓝冰弯月剑
'lan'quan'sheng'shi 蓝拳圣使
'lan'se'da'jing'ti 蓝色大晶体
'lan'se'sheng'bei 蓝色圣杯
'lan'se'sheng'can 蓝色圣餐
'lan'se'sheng'jing 蓝色圣经
'lan'se'xiao'jing'kuai 蓝色小晶块
'lan'se'zhuang'bei 蓝色装备
'lan'yao'shui 蓝药水
'lan'yi'long 蓝翼龙
'lan'yue'long'ling'jian 蓝月龙呤剑
'lan'zhang'yu 蓝章鱼
'lan'zhuang 蓝装
'lang'pi 狼皮
'lao'shi'de'di'guo'zuo'lun 老是的帝国左轮
'lao'shu 老鼠
'lao'tou 老头
'le'ge'en 勒格恩
'lei'e'ta'si'tao'zhuang 雷厄塔斯套装
'lei'guang'zhu 雷光珠
'lei'huan'xiu'si 雷环休斯
'lei'mi'de'yuan'zhu 雷米的援助
'lei'ming'fei'xu 雷鸣废墟
'lei'nuo 雷诺
'lei'shen'shan'ying'nu 雷神闪影弩
'lei'ting'bei'shuai 雷霆背摔
'lei'wo'si 雷沃斯
'lei'xuan 雷旋
'leng'que'shui 冷却水
'li'fa 力法
'li'fu'chang'xue 礼服长靴
'li'fu'shang'yi 礼服上衣
'li'fu'yao'dai 礼服腰带
'li'gui'jian'shu 里鬼剑术
'li'ming'qi'xing'tao'zhuang 黎明七星套装
'li'ming'zhi'chuan'dao'shi 黎明之传道师
'li'mu'yao'dai 栗木腰带
'li'qu 力驱
'lian'dao 镰刀
'lian'ji 连击
'lian'ji'shu 连击数
'lian'tu'ci 连突刺
'lian'yu 炼狱
'lian'yu'wang'zhe 炼狱王者
'liang'chan'xing'wan'ju'shi'bing 量产型玩具士兵
'liang'zi'bao'dan 量子爆弹
'lie'bo'zhan 裂波斩
'lie'ren'zhi'zhua 猎人之抓
'lie'ri'guang'hui 烈日光辉
'lie'yan 烈炎
'lie'yan'bi'nuo'xiu 烈焰彼诺修
'lie'yan'chong'ji 烈焰冲击
'lie'yan'ge'bu'lin 烈焰哥布林
'lie'yan'ge'la'ka 烈焰格拉卡
'lie'yan'qi'shi'tao'zhuang 烈焰骑士套装
'lie'yan'zhan'shen 烈焰战神
'lin'en'de'yin'zhang 琳恩的印章
'lin'na'si 林纳斯
'lin'yan 磷岩
'ling'hun'hui'ji'zhe'tao'zhuang 灵魂回击者套装
'ling'hun'jing'shi 灵魂晶石
'ling'kong'zhui'ji 凌空追击
'ling'xi'zhi'xin 灵犀之心
'ling'zhu 领主
'liu'guang 流光
'liu'xing'shan'ying'ji 流星闪影击
'liu'xing'zhi'ying'tao'zhuang 流星之影套装
'long'hua'ba 龙花霸
'long'ji 龙脊
'long'lin'sha'xue'zhao 龙鳞煞血爪
'long'ming 龙鸣
