'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'bao'mi'zheng'ming'cai'liao 保密证明材料
'bao'mi'zhuan'li 保密专利
'bao'mi'zhuan'li'shen'qing 保密专利申请
'bao'mi'zhuang'tai 保密状态
'bao'quan 保全
'bao'quan'cheng'xu 保全程序
'bao'quan'cheng'xu'jie'shu'tong'zhi'shu 保全程序结束通知书
'bao'quan'cheng'xu'kai'shi'tong'zhi'shu 保全程序开始通知书
'bao'quan'cuo'shi 保全措施
'bao'quan'qi'xian 保全期限
'bao'quan'qi'xian'yan'chang 保全期限延长
'bao'quan'qi'xian'yan'chang'tong'zhi'shu 保全期限延长通知书
'bei'an 备案
'bei'bi'she'ji 被比设计
'bei'dai'li'ren 被代理人
'bei'gao'suo'zai'di 被告所在地
'bei'gao'zhu'suo'di 被告住所地
'bei'jing'ji'shu 背景技术
'bei'jing'shi'hai'dian'qu'ji'men'qiao'xi'tu'cheng'lu'liu'hao 北京市海淀区蓟门桥西土城路六号
'bei'kong'qin'quan'ren 被控侵权人
'bei'kong'qin'quan'wu 被控侵权物
'bei'qin'quan'ren 被侵权人
'bei'qing'qiu'fang 被请求方
'bei'qing'qiu'ren 被请求人
'bei'qing'qiu'ren'suo'zai'di 被请求人所在地
'bei'ren'wei'che'hui 被认为撤回
'bei'ren'wei'wei'ti'jiao 被认为未提交
'bei'ren'wei'wei'ti'jiao'bao'cang 被认为未提交保藏
'bei'ren'wei'wei'yao'qiu 被认为未要求
'bei'shou'yu'zhuan'li'quan 被授予专利权
'bei'wei'tuo'fang 被委托方
'bei'wei'tuo'ren 被委托人
'bei'xu'ke'ren 被许可人
'bei'xu'ke'shi'shi'zhuan'li'ren 被许可实施专利人
'ben'an 本案
'ben'bo'hui'jue'ding 本驳回决定
'ben'dan'wei 本单位
'ben'fa'ming 本发明
'ben'guo'bu'fen'you'xian'quan 本国部分优先权
'ben'guo'duo'xiang'you'xian'quan 本国多项优先权
'ben'guo'fa 本国法
'ben'guo'you'xian'quan 本国优先权
'ben'guo'you'xian'quan'shen'cha'ji'lu'dan 本国优先权审查记录单
'ben'guo'you'xian'quan'shu'ju 本国优先权数据
'ben'ji'shu'ling'yu 本技术领域
'ben'jue'ding 本决定
'ben'ling'yu 本领域
'ben'ling'yu'ji'shu'ren'yuan 本领域技术人员
'ben'ling'yu'pu'tong'ji'shu'ren'yuan 本领域普通技术人员
'ben'shen'qing 本申请
'ben'shi'yong'xin'xing 本实用新型
'ben'tong'zhi'shu 本通知书
'ben'wai'guan'she'ji 本外观设计
'ben'zhuan'li 本专利
'ben'zhuan'li'chan'pin 本专利产品
'ben'zhuan'li'fang'fa 本专利方法
'ben'zhuan'li'shen'qing 本专利申请
'bi'jiao'li 比较例
'bi'lu 笔录
'bi'mian'chong'fu'shou'quan 避免重复授权
'bi'mian'chong'fu'shou'yu'zhuan'li'quan 避免重复授予专利权
'bi'mian'chong'fu'shou'yu'zhuan'li'quan'de'tong'zhi'shu 避免重复授予专利权的通知书
'bi'mian'shen'ji'sun'shi'yuan'ze 避免审级损失原则
'bi'ran'chan'sheng 必然产生
'bi'ran'xuan'ze 必然选择
'bi'yao'ji'shu'te'zheng 必要技术特征
'bi'yao'shi 必要时
'bi'yao'te'zheng 必要特征
'bian'cheng 辩称
'bian'geng 变更
'bian'geng'chu'fen'jue'ding 变更处分决定
'bian'geng'chu'fen'jue'ding'shen'pi'tong'zhi'shu 变更处分决定审批通知书
'bian'geng'li'you 变更理由
'bian'geng'mi'ji 变更密级
'bian'geng'shou'xu 变更手续
'bian'geng'xiang'mu 变更项目
'bian'geng'yuan'jue'ding 变更原决定
'bian'hao'gui'ze 编号规则
'bian'lun'yuan'ze 辩论原则
'bian'pai'gui'ze 编排规则
'biao'da'fang'shi 表达方式
'biao'di 标的
'biao'ge'dai'ma 表格代码
'biao'ge'dai'ma'gui'ze 表格代码规则
'biao'ge'ge'shi'gui'ze 表格格式规则
'biao'ge'ge'shi'he'dai'ma'biao'zhun 表格格式和代码标准
'biao'ge'shu'xing'ma 表格属性码
'biao'ji'quan 标记权
'biao'zhi'dai'ma 标识代码
'biao'zhu 标注
'biao'zhu'fang'shi 标注方式
'biao'zhu'quan 标注权
'biao'zhun'biao'ge 标准表格
'biao'zhun'ge'shi 标准格式
'biao'zhun'yu'duan 标准语段
'bing'lie'du'li'quan'li'yao'qiu 并列独立权利要求
'bing'lie'ji'shu'fang'an 并列技术方案
'bing'lie'xuan'ze 并列选择
'bing'lie'xuan'ze'fang'shi 并列选择方式
'bing'lie'xuan'ze'fang'shi'gai'kuo 并列选择方式概括
'bing'lie'xuan'ze'yao'su 并列选择要素
'bo'fang'ri 播放日
'bo'hui 驳回
'bo'hui'deng'ji'shen'qing 驳回登记申请
'bo'hui'jue'ding 驳回决定
'bo'hui'li'you 驳回理由
'bo'hui'lv 驳回率
'bo'hui'shen'qing 驳回申请
'bo'hui'shen'qing'de'jue'ding 驳回申请的决定
'bo'hui'shi'ji 驳回时机
'bo'hui'tiao'jian 驳回条件
'bu'an'bao'mi'zhuan'li'shen'qing'chu'li 不按保密专利申请处理
'bu'bi'jian'suo 不必检索
'bu'chi'yi'yi 不持异议
'bu'chong'fen 不充分
'bu'chong'jian'suo 补充检索
'bu'chong'jian'suo'bao'gao 补充检索报告
'bu'chong'zheng'ju 补充证据
'bu'da'pei'si'tiao'yue 布达佩斯条约
'bu'dang'shi'yong 不当试用
'bu'de'jie'shi'wei 不得解释为
'bu'de'shi'yong'de'biao'da 不得使用的表达
'bu'dui'wai'gong'kai 不对外公开
'bu'fen'chong'die 部分重叠
'bu'fen'gai'bian'yuan'jue'ding 部分改变原决定
'bu'fen'wu'xiao 部分无效
'bu'fen'wu'xiao'xuan'gao'qing'qiu 部分无效宣告请求
'bu'fen'xiang'tong 部分相同
'bu'fen'you'xian'quan 部分优先权
'bu'fen'zhu'ti 部分主题
'bu'gou'cheng 不构成
'bu'gou'cheng'qin'fan'zhuan'li'quan 不构成侵犯专利权
'bu'gou'cheng'qin'quan 不构成侵权
'bu'jian 补检
'bu'jian'yao 不简要
'bu'jiao 补交
'bu'jiao 补缴
'bu'jiao'quan'li'yao'qiu'fu'jia'fei'tong'zhi'shu 补缴权利要求附加费通知书
'bu'jiao'shuo'ming'shu'fu'jia'fei'tong'zhi'shu 补缴说明书附加费通知书
'bu'jiao'yi'jian'huan'fei'yong'tong'zhi'shu 补缴已减缓费用通知书
'bu'ju'bei 不具备
'bu'ju'bei'chuang'zao'xing 不具备创造性
'bu'ju'bei'dan'yi'xing 不具备单一性
'bu'ju'bei'shi'yong'xing 不具备实用性
'bu'ju'bei'xin'ying'xing 不具备新颖性
'bu'ju'you 不具有
'bu'ju'you'chuang'zao'xing 不具有创造性
'bu'ju'you'dan'yi'xing 不具有单一性
'bu'ju'you'shi'yong'xing 不具有实用性
'bu'ju'you'xian'ding'zuo'yong 不具有限定作用
'bu'ju'you'xin'ying'xing 不具有新颖性
'bu'ju'you'zhui'su'li 不具有追溯力
'bu'ke'kang'ju'de'shi'you 不可抗拒的事由
'bu'ke'yu'jian 不可预见
'bu'ke'yu'jian'xing 不可预见性
'bu'li'guan'xi 不利关系
'bu'men'gui'zhang 部门规章
'bu'ming'xian'pai'chu 不明显排除
'bu'neng'jin'xing'you'yi'yi'de'jian'suo 不能进行有意义的检索
'bu'neng'jin'xing'you'yi'yi'de'shen'cha 不能进行有意义的审查
'bu'neng'qu'de'zhuan'li'quan 不能取得专利权
'bu'neng'xing'cheng'you'yi'yi'de'yi'jian 不能形成有意义的意见
'bu'qi'xian'ding'zuo'yong 不起限定作用
'bu'qiang 补强
'bu'qiang'zheng'ju 补强证据
'bu'qiang'zheng'ju'gui'ze 补强证据规则
'bu'qin'quan 不侵权
'bu'qing'chu 不清楚
'bu'quan'mian'shen'cha 不全面审查
'bu'que'ding 不确定
'bu'que'ding'xing 不确定性
'bu'ru 补入
'bu'ru'quan'li'yao'qiu 补入权利要求
'bu'ru'quan'li'yao'qiu'shu 补入权利要求书
'bu'sang'shi 不丧失
'bu'sang'shi'xin'ying'xing 不丧失新颖性
'bu'sang'shi'xin'ying'xing'de'gong'kai 不丧失新颖性的公开
'bu'sang'shi'xin'ying'xing'kuan'xian'qi 不丧失新颖性宽限期
'bu'sang'shi'xin'ying'xing'kuan'xian'qi'sheng'ming 不丧失新颖性宽限期声明
'bu'sang'shi'xin'ying'xing'zheng'ming 不丧失新颖性证明
'bu'shi'wei 不视为
'bu'shi'wei'qin'fan'zhuan'li'quan 不视为侵犯专利权
'bu'shi'wei'qin'quan 不视为侵权
'bu'shou'li 不受理
'bu'shou'li'cheng'xu 不受理程序
'bu'shou'quan'zhu'ti 不授权主题
'bu'shou'yu'zhuan'li'quan 不授予专利权
'bu'shou'yu'zhuan'li'quan'de'ke'ti 不授予专利权的客体
'bu'te'ding'de 不特定的
'bu'te'ding'duo'shu 不特定多数
'bu'tong'de'bao'hu'fan'wei 不同的保护范围
'bu'tong'yu 不同于
'bu'tu'she'ji 布图设计
'bu'tu'she'ji'chuang'zuo'zhe 布图设计创作者
'bu'tu'she'ji'deng'ji 布图设计登记
'bu'tu'she'ji'deng'ji'bu 布图设计登记簿
'bu'tu'she'ji'deng'ji'fei 布图设计登记费
'bu'tu'she'ji'deng'ji'gong'bao 布图设计登记公报
'bu'tu'she'ji'deng'ji'gong'gao 布图设计登记公告
'bu'tu'she'ji'deng'ji'shen'qing 布图设计登记申请
'bu'tu'she'ji'deng'ji'shen'qing'ren 布图设计登记申请人
'bu'tu'she'ji'deng'ji'zheng'shu 布图设计登记证书
'bu'tu'she'ji'gong'gao 布图设计公告
'bu'tu'she'ji'quan'li'ren 布图设计权利人
'bu'tu'she'ji'shen'qing 布图设计申请
'bu'tu'she'ji'zhuan'you'quan 布图设计专有权
'bu'xiang'jin'si 不相近似
'bu'xiang'tong 不相同
'bu'yan'ji 不延及
'bu'yao'qiu'guo'ji'jian'suo'dan'wei'jian'suo'de'zhu'ti 不要求国际检索单位检索的主题
'bu'yu'bao'mi 不予保密
'bu'yu'bao'mi'jue'ding'shu 不予保密决定书
'bu'yu'bao'mi'tong'zhi'shu 不予保密通知书
'bu'yu'cai'na 不予采纳
'bu'yu'cai'xin 不予采信
'bu'yu'hui'fu 不予恢复
'bu'yu'jie'shou 不予接受
'bu'yu'kao'lv 不予考虑
'bu'yu'li'an 不予立案
'bu'yu'shou'li 不予受理
'bu'yu'shou'li'tong'zhi'shu 不予受理通知书
'bu'yu'zhi'chi 不予支持
'bu'yu'zhi'xing 不予执行
'bu'yu'zhi'xing'cai'chan'bao'quan 不予执行财产保全
'bu'yu'zhi'xing'cai'chan'bao'quan'tong'zhi 不予执行财产保全通知
'bu'yu'zhi'yi 不予置疑
'bu'yun'xu'de'gai'bian 不允许的改变
'bu'yun'xu'de'shan'chu 不允许的删除
'bu'yun'xu'de'xiu'gai 不允许的修改
'bu'yun'xu'de'zeng'jia 不允许的增加
'bu'zheng 补正
'bu'zheng'dang'jing'zheng'xing'wei 不正当竞争行为
'bu'zheng'shu 补正书
'bu'zheng'tong'zhi'shu 补正通知书
'bu'zheng'wen'jian 补正文件
'bu'zhi'chi 不支持
'bu'zhi'jian 部质检
'bu'zhong'zhi'chu'li 不中止处理
'bu'zhong'zhi'su'song 不中止诉讼
'bu'zu'yi 不足以
'bu'zuo'jian'suo 不作检索
'bu'zuo'shen'cha 不作审查
'cai'chan'bao'quan 财产保全
'cai'chan'bao'quan'cai'ding'shen'cha'yi'jian'shu 财产保全裁定审查意见书
'cai'chan'quan 财产权
'cai'chan'quan'li 财产权利
'cai'ding 裁定
'cai'jue 裁决
'cai'jue'cheng'xu 裁决程序
'cai'jue'cheng'xu'zhong'zhi 裁决程序终止
'cai'jue'jue'ding 裁决决定
'cai'liao'bu 材料部
'cai'liao'gong'cheng'bu 材料工程部
'cai'liao'gong'cheng'fa'ming'shen'cha'bu 材料工程发明审查部
'cai'pan'wen'shu 裁判文书
'cai'xin 采信
'cai'yong'gong'li'biao'shi'ri'qi'gui'fan 采用公历标示日期规范
'can'jia'ren 参加人
'can'jian 参见
'can'kao'wen'jian 参考文件
'can'kao'wen'xian 参考文献
'can'kao'zi'liao 参考资料
'can'shen'yuan 参审员
'can'shu'biao'zheng 参数表征
'can'shu'fan'wei 参数范围
'can'shu'te'zheng 参数特征
'can'shu'xian'ding 参数限定
'can'zhao'fu'tu 参照附图
'cao'zuo'bu'zhou 操作步骤
'cao'zuo'gui'fan 操作规范
'cao'zuo'liu'cheng 操作流程
'cao'zuo'tiao'jian 操作条件
'cha'chu 查处
'cha'chu'jia'mao'ta'ren'zhuan'li'he'mao'chong'zhuan'li'xing'wei 查处假冒他人专利和冒充专利行为
'cha'shi 查实
'cha'xun'han 查询函
'cha'xun'shi'xiao 查询时效
'cha'xun'shou'xu 查询手续
'cha'zheng 查证
'cha'zheng'fang'shi 查证方式
'chan'pin'fa'ming 产品发明
'chan'pin'ming'cheng 产品名称
'chan'pin'mu'lu 产品目录
'chan'pin'quan'li'yao'qiu 产品权利要求
'chan'pin'shuo'ming'shu 产品说明书
'chan'pin'xian'ding 产品限定
'chan'pin'yang'ben 产品样本
'chang'gui'ji'shu'shou'duan 常规技术手段
'chang'gui'she'ji 常规设计
'chang'gui'shi'yan'shou'duan 常规实验手段
'chang'gui'xuan'ze 常规选择
'chao'chang'an 超长案
'chao'chu'guo'ji'shen'qing'ti'chu'shi'dui'fa'ming'gong'kai'de'fan'wei 超出国际申请提出时对发明公开的范围
'chao'chu'shuo'ming'shu'gong'kai'de'fan'wei 超出说明书公开的范围
'chao'chu'yuan'shen'qing'gong'kai'de'fan'wei 超出原申请公开的范围
'chao'chu'yuan'shuo'ming'shu'he'quan'li'yao'qiu'shu'ji'zai'de'fan'wei 超出原说明书和权利要求书记载的范围
'chao'chu'yuan'tu'pian'huo'zhe'zhao'pian'biao'shi'de'fan'wei 超出原图片或者照片表示的范围
'chao'fan'wei 超范围
'chao'xing 超星
'chao'xing'liu'lan'qi 超星浏览器
'chao'xing'shu'zi'tu'shu'guan 超星数字图书馆
'che'hui 撤回
'che'hui'fu'shen'qing'qiu 撤回复审请求
'che'hui'qi'fu'shen'qing'qiu 撤回其复审请求
'che'hui'qing'qiu 撤回请求
'che'hui'shen'qing 撤回申请
'che'hui'zhuan'li'shen'qing 撤回专利申请
'che'hui'zhuan'li'shen'qing'sheng'ming 撤回专利申请声明
'che'jian 撤件
'che'xiao'bu'tu'she'ji'deng'ji 撤销布图设计登记
'che'xiao'jue'ding 撤销决定
'che'xiao'jue'ding'shu 撤销决定书
'che'xiao'shen'cha'tong'zhi'shu 撤销审查通知书
'che'xiao'yuan'bo'hui'jue'ding 撤销原驳回决定
'che'xiao'yuan'bo'hui'shen'qing'de'jue'ding 撤销原驳回申请的决定
'che'xiao'yuan'jue'ding 撤销原决定
'chen'shu'yi'jian 陈述意见
'cheng'ban'ren'yuan 承办人员
'cheng'tao'chan'pin 成套产品
'cheng'tao'chu'shou'huo'zhe'shi'yong 成套出售或者使用
'cheng'tao'wai'guan'she'ji 成套外观设计
'cheng'xu'jie'duan'ma 程序阶段码
'cheng'xu'jie'yue'yuan'ze 程序节约原则
'cheng'xu'jing'ji'yuan'ze 程序经济原则
'cheng'xu'zhong'zhi 程序终止
'cheng'yuan'guo 成员国
'chi'you'ren 持有人
'chong'fen'gong'kai 充分公开
'chong'fen'shi'shi 充分实施
'chong'fen'zhi'chi 充分支持
'chong'fu'shou'quan 重复授权
'chong'fu'shou'yu'zhuan'li'quan 重复授予专利权
'chong'jiao 重缴
'chong'xin'hua'jie 重新划界
'chong'xin'que'ding 重新确定
'chong'xin'que'ding'de'ji'shu'wen'ti 重新确定的技术问题
'chong'xin'que'ding'shen'qing'ri 重新确定申请日
'chong'xin'que'ding'shen'qing'ri'tong'zhi'shu 重新确定申请日通知书
'chong'xin'zuo'chu'shen'cha'jue'ding 重新作出审查决定
'chou'yang'qu'zheng 抽样取证
'chu'an 出案
'chu'an'ri 出案日
'chu'an'ri'qi 出案日期
'chu'ban'fang'shi 出版方式
'chu'ban'fang'shi'gong'kai 出版方式公开
'chu'ban'ri 出版日
'chu'ban'ri'qi 出版日期
'chu'ban'wu'fang'shi'gong'kai 出版物方式公开
'chu'ban'wu'gong'kai 出版物公开
'chu'ban'zai'ti 出版载体
'chu'ban'zai'ti'gong'kai 出版载体公开
'chu'bu'shen'cha 初步审查
'chu'bu'shen'cha'fei 初步审查费
'chu'bu'shen'cha'fu'jia'fei 初步审查附加费
'chu'bu'shen'cha'he'ge 初步审查合格
'chu'bu'shen'cha'he'ge'tong'zhi'shu 初步审查合格通知书
'chu'bu'shen'cha'yi'jian'tong'zhi'shu 初步审查意见通知书
'chu'bu'shen'cha'zhi 初步审查制
'chu'fen'jue'ding 处分决定
'chu'ju 出具
'chu'li'jue'ding 处理决定
'chu'li'ri'qi 处理日期
'chu'li'yi'jian 处理意见
'chu'li'zhuan'li'qin'quan'jiu'fen 处理专利侵权纠纷
'chu'shen 初审
'chu'shen'fei 初审费
'chu'shen'fu'jia'fei 初审附加费
'chu'shen'he'ge 初审合格
'chu'shen'ji'liu'cheng'guan'li'bu 初审及流程管理部
'chu'shen'ji'liu'cheng'guan'li'bu'dui'xing'zheng'fu'yi'de'da'fu'yi'jian 初审及流程管理部对行政复议的答复意见
'chu'shen'liu'cheng 初审流程
'chu'shen'liu'cheng'bu 初审流程部
'chu'shen'shen'cha'yuan 初审审查员
'chu'shen'yuan 初审员
'chu'shi 处室
'chu'shi'cai'jue 处室裁决
'chu'zhi 出质
'chu'zhi'jian 处质检
'chu'zhi'ren 出质人
'chu'zhi'zhuan'li'quan 出质专利权
'chuan'bo'fan'wei 传播范围
'chuan'bo'zai'ti 传播载体
'chuan'bo'zhe 传播者
'chuan'kong'ri 穿孔日
'chuan'lai'zheng'ju 传来证据
'chuan'shu'fang'shi 传输方式
'chuan'song 传送
'chuan'song'fei 传送费
'chuan'song'guo'ji'jian'suo'bao'gao'huo'xuan'bu'he'guo'ji'jian'suo'dan'wei'shu'mian'yi'jian'de'tong'zhi'shu 传送国际检索报告或宣布和国际检索单位书面意见的通知书
'chuan'song'zhuan'li'xing'guo'ji'chu'bu'bao'gao'de'tong'zhi'shu 传送专利性国际初步报告的通知书
'chuan'wen'zheng'ju 传闻证据
'chuan'zhen'fang'shi 传真方式
'chuan'zhen'jian 传真件
'chuang'zao'xing 创造性
'chuang'zao'xing'de'lao'dong 创造性的劳动
'chuang'zao'xing'gong'xian 创造性贡献
'chuang'zao'xing'lao'dong 创造性劳动
'chuang'zao'xing'pan'duan 创造性判断
'chuang'zao'xing'yao'qiu 创造性要求
'chuang'zuo'zhe 创作者
'chun'cui'zhi'li'xing'wei 纯粹智力行为
'chun'gong'neng'xing'de'quan'li'yao'qiu 纯功能性的权利要求
'ci'qu'wei'tuo 辞去委托
'cong'qi'yue'ding 从其约定
'cong'quan 从权
'cong'shu'quan'li'yao'qiu 从属权利要求
'cong'shu'zhuan'li 从属专利
'cong'zheng'ti'shang'fan'ying 从整体上反映
'cui'shen 催审
'cun'huo'zheng'ming 存活证明
'cun'zai'de'ji'shu'wen'ti 存在的技术问题
'cuo'jiao 错缴
'da'bian 答辩
'da'bian'shu 答辩书
'da'dao'ji'ben'xiang'tong'de'xiao'guo 达到基本相同的效果
'da'fa'ming 大发明
'da'fu 答复
'da'fu'qi'xian 答复期限
'da'fu'yi'jian 答复意见
'da'kong'ri 打孔日
'da'lei 大类
'da'zu 大组
'dai'ban'chu 代办处
'dai'ban'chu'qing'qiu'geng'zheng'cuo'wu'bao'gao 代办处请求更正错误报告
'dai'ban'chu'shi'wu'tong'zhi'shu 代办处失误通知书
'dai'ban'chu'shu'ju'chuan'shu'zhou'bao'biao 代办处数据传输周报表
'dai'biao'ren 代表人
'dai'hui 待回
'dai'hui'an'juan 待回案卷
'dai'jie 待结
'dai'li'an'jian 代理案件
'dai'li'fei 代理费
'dai'li'hang'ye 代理行业
'dai'li'ji'gou 代理机构
'dai'li'ji'gou'bian'geng 代理机构变更
'dai'li'ji'gou'ming'cheng 代理机构名称
'dai'li'ji'gou'zheng'shu 代理机构证书
'dai'li'quan 代理权
'dai'li'quan'xian 代理权限
'dai'li'ren 代理人
'dai'li'ren'bian'geng 代理人变更
'dai'li'ren'dai'ma 代理人代码
'dai'li'ren'gong'zuo'zheng 代理人工作证
'dai'li'ren'kao'shi 代理人考试
'dai'li'ren'xie'hui 代理人协会
'dai'li'ren'xing'ming 代理人姓名
'dai'li'ren'zhi'ye'zheng 代理人执业证
'dai'li'ren'zi'ge 代理人资格
'dai'li'ren'zi'ge'kao'shi 代理人资格考试
'dai'li'ren'zi'ge'zheng'shu 代理人资格证书
'dai'li'shi'wu'suo 代理事务所
'dai'li'suo 代理所
'dai'li'wei'tuo'shu 代理委托书
'dai'li'xing'wei 代理行为
'dai'li'ye'wu 代理业务
'dai'li'you'xian'gong'si 代理有限公司
'dai'li'zhi'du 代理制度
'dai'shen 待审
'dai'shen'an'juan 待审案卷
'dai'shen'shen'qing 待审申请
'dai'wei'ban'li 代为办理
'dai'zheng'shi'shi 待证事实
'dan'du'dui'bi 单独对比
'dan'du'dui'bi'yuan'ze 单独对比原则
'dan'mian'da'yin 单面打印
'dan'yi'xing 单一性
'dan'yi'xing'hui'fu 单一性恢复
'dan'yi'xing'hui'fu'fei 单一性恢复费
'dan'yi'xing'pan'duan 单一性判断
'dan'yi'xing'yao'qiu 单一性要求
'dan'yi'xing'yi'yi'fei 单一性异议费
'dan'yi'xing'yuan'ze 单一性原则
'dang'an'cai'liao 档案材料
'dang'an'hao 档案号
'dang'shi'ren 当事人
'dang'shi'ren'chen'shu 当事人陈述
'dang'shi'ren'chu'zhi'yuan'ze 当事人处置原则
'dang'shi'ren'fan'hui 当事人反悔
'dang'shi'ren'que'xi'kou'tou'shen'li 当事人缺席口头审理
'dang'shi'ren'shuang'fang 当事人双方
'dang'shi'ren'zhong'tu'tui'ting 当事人中途退庭
'dang'shi'ren'zi'ren 当事人自认
'dao'yin'biao'ti 导引标题
'dao'zhi'qi'quan'li'sang'shi 导致其权利丧失
'de'dao'shuo'ming'shu'de'zhi'chi 得到说明书的支持
'de'wen'te 德温特
'de'wen'te'fen'lei 德温特分类
'de'zhi'huo'zhe'ying'dang'de'zhi 得知或者应当得知
'deng'bu'zheng 等补正
'deng'dai'da'fu 等待答复
'deng'dai'da'fu'qi'xian 等待答复期限
'deng'ji'ben 登记本
'deng'ji'bu 登记簿
'deng'ji'fei 登记费
'deng'ji'he'gong'gao 登记和公告
'deng'ji'shou'xu 登记手续
'deng'ji'xi'shu 等级系数
'deng'ji'yin'shua'fei 登记印刷费
'deng'ji'zheng'ming'wen'jian 登记证明文件
'deng'ji'zheng'shu 登记证书
'deng'ji'zhi 登记制
'deng'ji'zhi'du 登记制度
'deng'ji'zhi'ri 登记之日
'deng'tong 等同
'deng'tong'shou'duan 等同手段
'deng'tong'te'zheng 等同特征
'deng'tong'ti'dai 等同替代
'deng'tong'ti'dai'fang'shi 等同替代方式
'deng'tong'wu 等同物
'deng'tong'yuan'ze 等同原则
'deng'tong'zhuan'li'qin'quan 等同专利侵权
'deng'xiao'ti'huan 等效替换
'deng'xiao'zhi'huan 等效置换
'deng'yi'tong'da'fu 等一通答复
'deng'zhong'tong'da'fu 等中通答复
'di'chu'shen'qing 抵触申请
'di'er'ci'shen'cha'yi'jian'tong'zhi'shu 第二次审查意见通知书
'di'er'ci'shen'cha'yi'jian'tong'zhi'shu'zheng'wen 第二次审查意见通知书正文
'di'fang'biao'zhun 地方标准
'di'jiao 递交
'di'jiao'ri 递交日
'di'qu'xing'zhuan'li'zu'zhi 地区性专利组织
'di'qu'zhuan'li'zu'zhi 地区专利组织
'di'san'ci'shen'cha'yi'jian'tong'zhi'shu 第三次审查意见通知书
'di'san'ci'shen'cha'yi'jian'tong'zhi'shu'zheng'wen 第三次审查意见通知书正文
'di'san'ren 第三人
'di'si'ci'shen'cha'yi'jian'tong'zhi'shu 第四次审查意见通知书
'di'si'ci'shen'cha'yi'jian'tong'zhi'shu'zheng'wen 第四次审查意见通知书正文
'di'yi'ci'shen'cha'yi'jian'tong'zhi'shu 第一次审查意见通知书
'di'yi'ci'shen'cha'yi'jian'tong'zhi'shu'zheng'wen 第一次审查意见通知书正文
'di'yi'ci'yan'chang'qi'xian'qing'qiu'fei 第一次延长期限请求费
'di'yi'du'li'quan'li'yao'qiu 第一独立权利要求
'di'yi'qing'qiu'ren 第一请求人
'di'yi'shen'qing'ren 第一申请人
'di'yu'xian'zhi 地域限制
'di'yu'xing 地域性
'di'yue'guo 缔约国
'dian'hua'tao'lun 电话讨论
'dian'hua'tao'lun'ji'lu 电话讨论记录
'dian'shu 点数
'dian'xue'bu 电学部
'dian'xue'fa'ming'bu 电学发明部
'dian'xue'fa'ming'shen'cha'bu 电学发明审查部
