'a'ka 阿卡
'xiong'di'men'gei'wo'shang 兄弟们给我上
'xu'ying 虚影
'ya'jiao'bu 压脚步
'ya'qiang 压枪
'yan'hu'wo'chai 掩护我拆
'yan'jiu'suo 研究所
'yan'lei 烟雷
'yan'wu'dan 烟雾弹
'yan'zhen'jian 眼真尖
'yao'si'de'qu'jia'xue 要死的去加血
'yao'zha'le 要炸了
'yi'deng'bing 一等兵
'yi'ge'yi'ge'shang 一个一个上
'yi'kuai'zou 一块走
'yi'qi'chong 一起冲
'yi'qi'zou 一起走
'yi'ren'yan'hu'wo 一人掩护我
'yin'bao 银爆
'yin'kai'ta'men 引开他们
'yin'ren 阴人
'yin'se'bao'tou 银色暴头
'yin'se'bao'tou 银色爆头
'yin'shen'yi 隐身衣
'ying'yan 鹰眼
'yong'dao 用刀
'yong'dao'tong 用刀捅
'yong'qiang'zhe 用枪者
'yong'qiang'zhe'zi'jue'zou 用枪者自觉走
'yong'shou'qiang 用手枪
'you'jing'shang'lou'le 有警上楼了
'you'ling'mo'shi 幽灵模式
'you'ren'jin'ji'di 有人进基地
'you'ren'yong'qiang 有人用枪
'you'su'zhi'de'yong'dao 有素质的用刀
'yun'shu'chuan 运输船
'zai'ce'suo 在厕所
'zai'fen'keng 在粪坑
'zha'dan'zai'zhe 炸弹在这
'zha'le 炸了
'zhan'dui 战队
'zhan'dui'shou'ren 战队收人
'zhao'ren 招人
'zhong'dao 重刀
'zhong'jiang 中将
'zhong'men 中门
'zhu'yi'su'zhi 注意素质
'zi'dan'jia 子弹夹
'zi'ji'ren 自己人
'zi'jue'zou 自觉走
'zi'lei 自雷
'zu'dui 组队
'zui'hou'yi'ju 最后一局
